phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	1s	1913m	161Mi	1709m	8076Mi	38m	57Mi
41m	58Mi
48m	67Mi
37m	56Mi
39m	59Mi
38m	59Mi
107m	85Mi
56m	72Mi
38m	59Mi
running	11s		157m	8081Mi	7m	57Mi
8m	58Mi
5m	67Mi
6m	56Mi
5m	59Mi
7m	59Mi
7m	85Mi
7m	72Mi
7m	59Mi
running	21s		787m	8116Mi	31m	57Mi
38m	58Mi
41m	66Mi
36m	56Mi
36m	59Mi
34m	58Mi
70m	68Mi
47m	70Mi
31m	59Mi
running	32s		787m	8116Mi	31m	57Mi
38m	58Mi
41m	66Mi
36m	56Mi
36m	59Mi
34m	58Mi
70m	68Mi
47m	70Mi
31m	59Mi
running	42s	860m	40Mi	816m	8150Mi	37m	57Mi
50m	54Mi
43m	66Mi
37m	56Mi
36m	59Mi
36m	58Mi
82m	71Mi
54m	66Mi
39m	58Mi
running	52s	887m	36Mi	810m	8185Mi	35m	57Mi
46m	54Mi
50m	62Mi
37m	56Mi
39m	59Mi
42m	57Mi
76m	72Mi
59m	66Mi
37m	58Mi
running	63s	887m	36Mi	810m	8185Mi	35m	57Mi
46m	54Mi
50m	62Mi
37m	56Mi
39m	59Mi
42m	57Mi
76m	72Mi
59m	66Mi
37m	58Mi
running	73s	911m	38Mi	934m	8220Mi	36m	57Mi
44m	55Mi
44m	62Mi
36m	56Mi
36m	59Mi
36m	57Mi
76m	67Mi
57m	65Mi
43m	59Mi
running	83s	4612m	309Mi	7072m	8937Mi	61m	58Mi
49m	55Mi
85m	67Mi
56m	62Mi
57m	61Mi
58m	64Mi
219m	89Mi
101m	72Mi
56m	61Mi
running	94s	5156m	361Mi	11147m	10158Mi	57m	61Mi
41m	55Mi
92m	70Mi
59m	65Mi
63m	65Mi
61m	65Mi
247m	89Mi
107m	70Mi
59m	67Mi
running	104s	5156m	361Mi	11147m	10158Mi	57m	61Mi
41m	55Mi
92m	70Mi
59m	65Mi
63m	65Mi
61m	65Mi
247m	89Mi
107m	70Mi
59m	67Mi
running	114s	4745m	367Mi	11608m	11321Mi	60m	62Mi
45m	55Mi
88m	69Mi
58m	65Mi
60m	67Mi
61m	67Mi
247m	87Mi
112m	73Mi
57m	68Mi
running	125s	4301m	427Mi	10653m	12259Mi	62m	63Mi
41m	55Mi
91m	69Mi
58m	66Mi
62m	67Mi
61m	64Mi
254m	90Mi
108m	74Mi
58m	68Mi
