phase	pod	status	restarts	node
pre_steady	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	Running	0	node-1
pre_steady	elasticsearch-sb-esrev0-ctr-75b7c5495b-j99zs	Running	0	node-9
pre_steady	hometimeline-cache-sb-esrev0-ctr-7bc6c6d9d7-c2fzv	Running	0	node-1
pre_steady	hometimeline-service-sb-esrev0-ctr-bd8f457db-wljnh	Running	0	node-1
pre_steady	jaeger-sb-esrev0-ctr-6d7b8994f-48gwn	Running	0	node-9
pre_steady	media-service-sb-esrev0-ctr-79c66ddb77-vxv97	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-4xqpj	Running	0	node-8
pre_steady	otelcol-sb-esrev0-ctr-7jp5x	Running	0	node-3
pre_steady	otelcol-sb-esrev0-ctr-8qh9r	Running	0	node-9
pre_steady	otelcol-sb-esrev0-ctr-cz9gw	Running	0	node-6
pre_steady	otelcol-sb-esrev0-ctr-hj5zz	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-jp8w5	Running	0	node-7
pre_steady	otelcol-sb-esrev0-ctr-pjbcp	Running	0	node-1
pre_steady	otelcol-sb-esrev0-ctr-xksr2	Running	0	node-2
pre_steady	otelcol-sb-esrev0-ctr-z59lv	Running	0	node-4
pre_steady	post-cache-sb-esrev0-ctr-745f669478-srchn	Running	0	node-6
pre_steady	post-db-sb-esrev0-ctr-6b4477789c-n5r44	Running	0	node-6
pre_steady	post-storage-service-sb-esrev0-ctr-df7545c7d-gcbdf	Running	0	node-6
pre_steady	social-cache-sb-esrev0-ctr-d7dffbd79-z9xbh	Running	0	node-2
pre_steady	social-db-sb-esrev0-ctr-6d8dcd5d9d-8w7bf	Running	0	node-2
pre_steady	socialgraph-service-sb-esrev0-ctr-588794648c-4tvlz	Running	0	node-2
pre_steady	text-service-sb-esrev0-ctr-74f566b99b-6xd5j	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-2jc2j	Running	0	node-9
pre_steady	tracepressure-service-sb-esrev0-ctr-4cbjb	Running	0	node-4
pre_steady	tracepressure-service-sb-esrev0-ctr-7mhcx	Running	0	node-2
pre_steady	tracepressure-service-sb-esrev0-ctr-dv9lt	Running	0	node-1
