service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	spans_received	168377
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	spans_flushed	168377
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	spans_sent	168377
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	batches_sent	8882
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	spans_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	batches_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	cp_received	84188
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	lp_received	84189
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	cp_sent	84188
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	lp_sent	84189
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	cp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	lp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	send_deadline	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4rscq	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	spans_received	5804031
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	spans_flushed	5804031
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	spans_sent	5804031
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	batches_sent	33548
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	spans_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	batches_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	cp_received	5078526
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	lp_received	725505
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	cp_sent	5078526
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	lp_sent	725505
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wfbvb	cp_dropped	0
