pod	metric	value
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_memory_rss	217419776
otelcol-sb-esrev0-ctr-6kvc7	otelcol_processor_outgoing_items	822369
otelcol-sb-esrev0-ctr-6kvc7	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-6kvc7	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-6kvc7	otelcol_processor_batch_batch_send_size_sum	822369
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_runtime_heap_alloc_bytes	35321768
otelcol-sb-esrev0-ctr-6kvc7	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-6kvc7	otelcol_exporter_sent_spans	820491
otelcol-sb-esrev0-ctr-6kvc7	otelcol_exporter_queue_batch_send_size_sum	822369
otelcol-sb-esrev0-ctr-6kvc7	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_runtime_total_sys_memory_bytes	80570648
otelcol-sb-esrev0-ctr-6kvc7	otelcol_processor_batch_timeout_trigger_send	12711
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_uptime	2926
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_runtime_total_alloc_bytes	1441462704
otelcol-sb-esrev0-ctr-6kvc7	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-6kvc7	otelcol_processor_incoming_items	822369
otelcol-sb-esrev0-ctr-6kvc7	otelcol_exporter_queue_size	20
otelcol-sb-esrev0-ctr-6kvc7	otelcol_process_cpu_seconds	113
otelcol-sb-esrev0-ctr-6kvc7	otelcol_receiver_accepted_spans	822369
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_uptime	2927
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_runtime_total_sys_memory_bytes	158644520
otelcol-sb-esrev0-ctr-pgzlr	otelcol_processor_outgoing_items	4562581
otelcol-sb-esrev0-ctr-pgzlr	otelcol_processor_batch_batch_send_size_sum	4562581
otelcol-sb-esrev0-ctr-pgzlr	otelcol_exporter_sent_spans	4545568
otelcol-sb-esrev0-ctr-pgzlr	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-pgzlr	otelcol_receiver_accepted_spans	4562581
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_runtime_total_alloc_bytes	3715384952
otelcol-sb-esrev0-ctr-pgzlr	otelcol_exporter_queue_batch_send_size_sum	4562581
otelcol-sb-esrev0-ctr-pgzlr	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-pgzlr	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-pgzlr	otelcol_processor_batch_timeout_trigger_send	12729
otelcol-sb-esrev0-ctr-pgzlr	otelcol_exporter_queue_size	32
otelcol-sb-esrev0-ctr-pgzlr	otelcol_processor_incoming_items	4572489
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_memory_rss	231264256
otelcol-sb-esrev0-ctr-pgzlr	otelcol_receiver_refused_spans	9908
otelcol-sb-esrev0-ctr-pgzlr	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_cpu_seconds	135
otelcol-sb-esrev0-ctr-pgzlr	otelcol_process_runtime_heap_alloc_bytes	51811216
otelcol-sb-esrev0-ctr-bw7kd	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bw7kd	otelcol_processor_outgoing_items	8183634
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_runtime_heap_alloc_bytes	59361608
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_uptime	2928
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_runtime_total_sys_memory_bytes	193546552
otelcol-sb-esrev0-ctr-bw7kd	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-bw7kd	otelcol_processor_batch_timeout_trigger_send	12638
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_runtime_total_alloc_bytes	6040792624
otelcol-sb-esrev0-ctr-bw7kd	otelcol_exporter_sent_spans	8161628
otelcol-sb-esrev0-ctr-bw7kd	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bw7kd	otelcol_exporter_queue_batch_send_size_sum	8183634
otelcol-sb-esrev0-ctr-bw7kd	otelcol_exporter_queue_size	23
otelcol-sb-esrev0-ctr-bw7kd	otelcol_receiver_refused_spans	122287
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_memory_rss	242569216
otelcol-sb-esrev0-ctr-bw7kd	otelcol_processor_incoming_items	8305921
otelcol-sb-esrev0-ctr-bw7kd	otelcol_processor_batch_batch_send_size_sum	8183634
otelcol-sb-esrev0-ctr-bw7kd	otelcol_receiver_accepted_spans	8183634
otelcol-sb-esrev0-ctr-bw7kd	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-bw7kd	otelcol_process_cpu_seconds	195
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_uptime	2927
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_runtime_total_alloc_bytes	9117025056
otelcol-sb-esrev0-ctr-tdtzx	otelcol_exporter_queue_size	22
otelcol-sb-esrev0-ctr-tdtzx	otelcol_receiver_refused_spans	1457454
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_runtime_heap_alloc_bytes	69079336
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_cpu_seconds	240
otelcol-sb-esrev0-ctr-tdtzx	otelcol_processor_incoming_items	15848699
otelcol-sb-esrev0-ctr-tdtzx	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-tdtzx	otelcol_processor_batch_timeout_trigger_send	12678
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_memory_rss	262574080
otelcol-sb-esrev0-ctr-tdtzx	otelcol_exporter_sent_spans	14354959
otelcol-sb-esrev0-ctr-tdtzx	otelcol_receiver_accepted_spans	14391245
otelcol-sb-esrev0-ctr-tdtzx	otelcol_processor_outgoing_items	14391245
otelcol-sb-esrev0-ctr-tdtzx	otelcol_process_runtime_total_sys_memory_bytes	189380904
otelcol-sb-esrev0-ctr-tdtzx	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-tdtzx	otelcol_processor_batch_batch_send_size_sum	14391245
otelcol-sb-esrev0-ctr-tdtzx	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-tdtzx	otelcol_exporter_queue_batch_send_size_sum	14391245
otelcol-sb-esrev0-ctr-tdtzx	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-4fl6n	otelcol_processor_outgoing_items	4562286
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_uptime	2928
otelcol-sb-esrev0-ctr-4fl6n	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_cpu_seconds	141
otelcol-sb-esrev0-ctr-4fl6n	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_runtime_total_sys_memory_bytes	128727336
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_runtime_heap_alloc_bytes	44651952
otelcol-sb-esrev0-ctr-4fl6n	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_memory_rss	230473728
otelcol-sb-esrev0-ctr-4fl6n	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-4fl6n	otelcol_processor_batch_timeout_trigger_send	12720
otelcol-sb-esrev0-ctr-4fl6n	otelcol_process_runtime_total_alloc_bytes	3732403448
otelcol-sb-esrev0-ctr-4fl6n	otelcol_exporter_sent_spans	4545172
otelcol-sb-esrev0-ctr-4fl6n	otelcol_exporter_queue_batch_send_size_sum	4562286
otelcol-sb-esrev0-ctr-4fl6n	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-4fl6n	otelcol_receiver_accepted_spans	4562286
otelcol-sb-esrev0-ctr-4fl6n	otelcol_exporter_queue_size	32
otelcol-sb-esrev0-ctr-4fl6n	otelcol_processor_incoming_items	4562286
otelcol-sb-esrev0-ctr-4fl6n	otelcol_processor_batch_batch_send_size_sum	4562286
otelcol-sb-esrev0-ctr-rptsp	otelcol_receiver_refused_spans	8528027
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_batch_batch_size_trigger_send	2
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_cpu_seconds	536
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-rptsp	otelcol_exporter_sent_spans	29221313
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_batch_timeout_trigger_send	11383
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_outgoing_items	29425146
otelcol-sb-esrev0-ctr-rptsp	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-rptsp	otelcol_exporter_queue_size	60
otelcol-sb-esrev0-ctr-rptsp	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-rptsp	otelcol_receiver_accepted_spans	29425146
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_runtime_total_sys_memory_bytes	231926072
otelcol-sb-esrev0-ctr-rptsp	otelcol_exporter_queue_batch_send_size_sum	29425146
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_runtime_heap_alloc_bytes	126036768
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_memory_rss	319717376
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_batch_batch_send_size_sum	29425146
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_uptime	2925
otelcol-sb-esrev0-ctr-rptsp	otelcol_process_runtime_total_alloc_bytes	27455447360
otelcol-sb-esrev0-ctr-rptsp	otelcol_exporter_queue_capacity	1001
otelcol-sb-esrev0-ctr-rptsp	otelcol_processor_incoming_items	37953173
otelcol-sb-esrev0-ctr-cx848	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-cx848	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-cx848	otelcol_processor_incoming_items	4561482
otelcol-sb-esrev0-ctr-cx848	otelcol_processor_batch_timeout_trigger_send	12726
otelcol-sb-esrev0-ctr-cx848	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-cx848	otelcol_processor_outgoing_items	4561482
otelcol-sb-esrev0-ctr-cx848	otelcol_processor_batch_batch_send_size_sum	4561482
otelcol-sb-esrev0-ctr-cx848	otelcol_process_runtime_total_alloc_bytes	3671396552
otelcol-sb-esrev0-ctr-cx848	otelcol_receiver_accepted_spans	4561482
