pod	metric	value
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_timeout_trigger_send	2256
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_heap_alloc_bytes	42178104
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_memory_rss	213733376
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_total_sys_memory_bytes	84412696
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_cpu_seconds	22
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_incoming_items	362453
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_accepted_spans	362453
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_total_alloc_bytes	459242008
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_uptime	753
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_batch_send_size_sum	362453
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_sent_spans	362453
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_batch_send_size_sum	362453
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_accepted_spans	364400
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_total_alloc_bytes	473790424
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_sent_spans	364400
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_memory_rss	212410368
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_batch_send_size_sum	364400
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_heap_alloc_bytes	33880504
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_batch_send_size_sum	364400
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_total_sys_memory_bytes	88877336
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_incoming_items	364400
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_timeout_trigger_send	2258
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_cpu_seconds	21
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_uptime	753
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_incoming_items	2821054
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_accepted_spans	2821054
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_total_sys_memory_bytes	114923816
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_uptime	752
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_memory_rss	230748160
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_batch_send_size_sum	2821054
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_batch_send_size_sum	2821054
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_total_alloc_bytes	2467253928
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_cpu_seconds	57
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_timeout_trigger_send	2257
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_sent_spans	2821054
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_heap_alloc_bytes	32234816
otelcol-sb-esrev0-ctr-54csn	otelcol_process_runtime_total_sys_memory_bytes	85207320
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-54csn	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_queue_batch_send_size_sum	362098
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_batch_batch_send_size_sum	362098
otelcol-sb-esrev0-ctr-54csn	otelcol_process_runtime_heap_alloc_bytes	37862584
otelcol-sb-esrev0-ctr-54csn	otelcol_process_cpu_seconds	20
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-54csn	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-54csn	otelcol_process_uptime	753
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_batch_timeout_trigger_send	2255
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_sent_spans	362098
otelcol-sb-esrev0-ctr-54csn	otelcol_receiver_accepted_spans	362098
otelcol-sb-esrev0-ctr-54csn	otelcol_process_memory_rss	213024768
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_incoming_items	362098
otelcol-sb-esrev0-ctr-54csn	otelcol_process_runtime_total_alloc_bytes	448149352
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-kdhwx	otelcol_process_runtime_heap_alloc_bytes	27653048
otelcol-sb-esrev0-ctr-kdhwx	otelcol_process_runtime_total_alloc_bytes	247421672
otelcol-sb-esrev0-ctr-kdhwx	otelcol_receiver_accepted_spans	61077
otelcol-sb-esrev0-ctr-kdhwx	otelcol_process_cpu_seconds	23
otelcol-sb-esrev0-ctr-kdhwx	otelcol_process_runtime_total_sys_memory_bytes	72874248
otelcol-sb-esrev0-ctr-kdhwx	otelcol_exporter_sent_spans	61077
otelcol-sb-esrev0-ctr-kdhwx	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-kdhwx	otelcol_processor_incoming_items	61077
otelcol-sb-esrev0-ctr-kdhwx	otelcol_process_uptime	752
otelcol-sb-esrev0-ctr-kdhwx	otelcol_processor_batch_batch_send_size_sum	61077
