pod	metric	value
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_uptime	923
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_accepted_spans	167283
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_memory_rss	218509312
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_cpu_seconds	40
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_sent_spans	169285
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_heap_alloc_bytes	39045488
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_refused_spans	2002
otelcol-sb-esrev0-ctr-bsdbk	otelcol_processor_incoming_items	169285
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_total_sys_memory_bytes	89999640
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_total_alloc_bytes	579751408
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_batch_send_size_sum	169285
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_refused_spans	12642
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_uptime	923
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_total_alloc_bytes	1233172512
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_processor_incoming_items	895315
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_accepted_spans	882673
otelcol-sb-esrev0-ctr-bgngq	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_heap_alloc_bytes	36142584
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_total_sys_memory_bytes	88484120
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_cpu_seconds	40
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_batch_send_size_sum	895315
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_sent_spans	895315
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_memory_rss	222081024
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_cpu_seconds	55
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_memory_rss	227807232
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_refused_spans	13120
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_uptime	923
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_accepted_spans	1606973
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_runtime_total_alloc_bytes	1902460376
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_sent_spans	1620093
