pod	metric	value
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_uptime	608
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_accepted_spans	37285
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_memory_rss	215130112
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_cpu_seconds	14
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_sent_spans	37285
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_heap_alloc_bytes	37984760
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_processor_incoming_items	37285
otelcol-sb-esrev0-ctr-bsdbk	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_total_sys_memory_bytes	85797144
otelcol-sb-esrev0-ctr-bsdbk	otelcol_process_runtime_total_alloc_bytes	203053672
otelcol-sb-esrev0-ctr-bsdbk	otelcol_exporter_queue_batch_send_size_sum	37285
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_uptime	609
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_total_alloc_bytes	327115640
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_processor_incoming_items	163315
otelcol-sb-esrev0-ctr-bgngq	otelcol_receiver_accepted_spans	163315
otelcol-sb-esrev0-ctr-bgngq	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_heap_alloc_bytes	50058024
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_runtime_total_sys_memory_bytes	84273432
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_cpu_seconds	13
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_queue_batch_send_size_sum	163315
otelcol-sb-esrev0-ctr-bgngq	otelcol_exporter_sent_spans	163315
otelcol-sb-esrev0-ctr-bgngq	otelcol_process_memory_rss	222158848
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_cpu_seconds	16
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_memory_rss	221380608
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_uptime	609
otelcol-sb-esrev0-ctr-t6gph	otelcol_receiver_accepted_spans	288093
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_runtime_total_alloc_bytes	489933944
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_sent_spans	288093
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-t6gph	otelcol_processor_incoming_items	288093
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_runtime_total_sys_memory_bytes	88746264
otelcol-sb-esrev0-ctr-t6gph	otelcol_exporter_queue_batch_send_size_sum	288093
otelcol-sb-esrev0-ctr-t6gph	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-t6gph	otelcol_process_runtime_heap_alloc_bytes	44981464
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_runtime_heap_alloc_bytes	48027336
otelcol-sb-esrev0-ctr-7gtq4	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_uptime	609
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_runtime_total_alloc_bytes	368532192
otelcol-sb-esrev0-ctr-7gtq4	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-7gtq4	otelcol_exporter_queue_batch_send_size_sum	162089
otelcol-sb-esrev0-ctr-7gtq4	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-7gtq4	otelcol_receiver_accepted_spans	162089
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_cpu_seconds	14
otelcol-sb-esrev0-ctr-7gtq4	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_runtime_total_sys_memory_bytes	93915416
otelcol-sb-esrev0-ctr-7gtq4	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-7gtq4	otelcol_processor_incoming_items	162089
otelcol-sb-esrev0-ctr-7gtq4	otelcol_process_memory_rss	222134272
otelcol-sb-esrev0-ctr-7gtq4	otelcol_exporter_sent_spans	162089
otelcol-sb-esrev0-ctr-7gtq4	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_receiver_accepted_spans	275913
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_cpu_seconds	15
otelcol-sb-esrev0-ctr-v5x7r	otelcol_exporter_sent_spans	275913
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_uptime	612
otelcol-sb-esrev0-ctr-v5x7r	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-v5x7r	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_runtime_heap_alloc_bytes	45309952
otelcol-sb-esrev0-ctr-v5x7r	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_memory_rss	218230784
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_runtime_total_sys_memory_bytes	97921304
otelcol-sb-esrev0-ctr-v5x7r	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_exporter_queue_batch_send_size_sum	275913
otelcol-sb-esrev0-ctr-v5x7r	otelcol_process_runtime_total_alloc_bytes	437751336
otelcol-sb-esrev0-ctr-v5x7r	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-v5x7r	otelcol_processor_incoming_items	275913
otelcol-sb-esrev0-ctr-vmsts	otelcol_processor_incoming_items	163655
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_runtime_heap_alloc_bytes	34671904
otelcol-sb-esrev0-ctr-vmsts	otelcol_receiver_accepted_spans	163655
otelcol-sb-esrev0-ctr-vmsts	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-vmsts	otelcol_exporter_sent_spans	163655
otelcol-sb-esrev0-ctr-vmsts	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-vmsts	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-vmsts	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_uptime	609
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_runtime_total_alloc_bytes	343850016
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_memory_rss	220635136
otelcol-sb-esrev0-ctr-vmsts	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-vmsts	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_runtime_total_sys_memory_bytes	85461272
otelcol-sb-esrev0-ctr-vmsts	otelcol_process_cpu_seconds	14
otelcol-sb-esrev0-ctr-vmsts	otelcol_exporter_queue_batch_send_size_sum	163655
otelcol-sb-esrev0-ctr-z9bst	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_runtime_total_alloc_bytes	820704160
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_memory_rss	226168832
otelcol-sb-esrev0-ctr-z9bst	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_runtime_total_sys_memory_bytes	97806616
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_cpu_seconds	24
otelcol-sb-esrev0-ctr-z9bst	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-z9bst	otelcol_receiver_accepted_spans	615367
otelcol-sb-esrev0-ctr-z9bst	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-z9bst	otelcol_exporter_queue_batch_send_size_sum	615367
otelcol-sb-esrev0-ctr-z9bst	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_uptime	608
otelcol-sb-esrev0-ctr-z9bst	otelcol_exporter_sent_spans	615367
otelcol-sb-esrev0-ctr-z9bst	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-z9bst	otelcol_process_runtime_heap_alloc_bytes	48035456
otelcol-sb-esrev0-ctr-z9bst	otelcol_processor_incoming_items	615367
otelcol-sb-esrev0-ctr-8xpl6	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_cpu_seconds	41
otelcol-sb-esrev0-ctr-8xpl6	otelcol_exporter_queue_batch_send_size_sum	1296085
otelcol-sb-esrev0-ctr-8xpl6	otelcol_processor_incoming_items	1296085
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_memory_rss	253759488
otelcol-sb-esrev0-ctr-8xpl6	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_uptime	607
otelcol-sb-esrev0-ctr-8xpl6	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-8xpl6	otelcol_exporter_sent_spans	1296085
otelcol-sb-esrev0-ctr-8xpl6	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-8xpl6	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_runtime_total_alloc_bytes	1929417112
otelcol-sb-esrev0-ctr-8xpl6	otelcol_receiver_accepted_spans	1296085
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_runtime_total_sys_memory_bytes	127506728
otelcol-sb-esrev0-ctr-8xpl6	otelcol_process_runtime_heap_alloc_bytes	66727840
otelcol-sb-esrev0-ctr-8xpl6	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_memory_rss	220409856
otelcol-sb-esrev0-ctr-9mzjn	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-9mzjn	otelcol_exporter_queue_batch_send_size_sum	164400
otelcol-sb-esrev0-ctr-9mzjn	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_runtime_total_sys_memory_bytes	89786648
otelcol-sb-esrev0-ctr-9mzjn	otelcol_processor_incoming_items	164400
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_uptime	609
otelcol-sb-esrev0-ctr-9mzjn	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_runtime_heap_alloc_bytes	34983552
otelcol-sb-esrev0-ctr-9mzjn	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-9mzjn	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_runtime_total_alloc_bytes	353177128
otelcol-sb-esrev0-ctr-9mzjn	otelcol_process_cpu_seconds	14
otelcol-sb-esrev0-ctr-9mzjn	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-9mzjn	otelcol_receiver_accepted_spans	164400
otelcol-sb-esrev0-ctr-9mzjn	otelcol_exporter_sent_spans	164400
