phase	pod	status	restarts	node
pre_steady	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	Running	0	node-1
pre_steady	elasticsearch-sb-esrev0-ctr-75b7c5495b-pq274	Running	0	node-9
pre_steady	hometimeline-cache-sb-esrev0-ctr-7bc6c6d9d7-m4nkz	Running	0	node-1
pre_steady	hometimeline-service-sb-esrev0-ctr-bd8f457db-74s9d	Running	0	node-1
pre_steady	jaeger-sb-esrev0-ctr-7c5c4bf6f7-5tlxb	Running	0	node-9
pre_steady	media-service-sb-esrev0-ctr-79c66ddb77-dwthq	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-7gtq4	Running	0	node-4
pre_steady	otelcol-sb-esrev0-ctr-8xpl6	Running	0	node-1
pre_steady	otelcol-sb-esrev0-ctr-9mzjn	Running	0	node-8
pre_steady	otelcol-sb-esrev0-ctr-bgngq	Running	0	node-7
pre_steady	otelcol-sb-esrev0-ctr-bsdbk	Running	0	node-9
pre_steady	otelcol-sb-esrev0-ctr-t6gph	Running	0	node-3
pre_steady	otelcol-sb-esrev0-ctr-v5x7r	Running	0	node-2
pre_steady	otelcol-sb-esrev0-ctr-vmsts	Running	0	node-6
pre_steady	otelcol-sb-esrev0-ctr-z9bst	Running	0	node-5
pre_steady	post-cache-sb-esrev0-ctr-745f669478-s8wsq	Running	0	node-6
pre_steady	post-db-sb-esrev0-ctr-6b4477789c-tzqcs	Running	0	node-6
pre_steady	post-storage-service-sb-esrev0-ctr-df7545c7d-dw2rj	Running	0	node-6
pre_steady	social-cache-sb-esrev0-ctr-d7dffbd79-5btzq	Running	0	node-2
pre_steady	social-db-sb-esrev0-ctr-6d8dcd5d9d-knnsr	Running	0	node-2
pre_steady	socialgraph-service-sb-esrev0-ctr-588794648c-gpx4t	Running	0	node-2
pre_steady	text-service-sb-esrev0-ctr-74f566b99b-kcnqj	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-4x96w	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-ddk69	Running	0	node-9
pre_steady	tracepressure-service-sb-esrev0-ctr-f2ql6	Running	0	node-3
pre_steady	tracepressure-service-sb-esrev0-ctr-lksdx	Running	0	node-6
