service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	spans_received	169312
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	spans_flushed	169312
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	spans_sent	166870
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	batches_sent	8747
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	spans_dropped	2442
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	batches_dropped	111
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	cp_received	84655
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	lp_received	84657
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	cp_sent	83445
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	lp_sent	83425
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	cp_dropped	1210
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	lp_dropped	1232
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	send_deadline	111
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-4q6k6	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	spans_received	5808015
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	spans_flushed	5808015
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	spans_sent	2355450
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	batches_sent	16295
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	spans_dropped	3452565
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	batches_dropped	17260
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	cp_received	5082012
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	lp_received	726003
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	cp_sent	2060716
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	lp_sent	294734
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	cp_dropped	3021296
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	lp_dropped	431269
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	send_deadline	16358
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	send_unavailable	902
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wqjhs	send_other	0
