phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	0s	2m	25Mi	7m	5318Mi	5m	38Mi
4m	41Mi
4m	50Mi
5m	48Mi
4m	50Mi
4m	48Mi
4m	64Mi
5m	53Mi
4m	37Mi
running	10s		517m	5397Mi	15m	42Mi
39m	58Mi
14m	50Mi
14m	49Mi
15m	51Mi
17m	49Mi
13m	64Mi
15m	54Mi
23m	48Mi
running	21s		517m	5397Mi	15m	42Mi
39m	58Mi
14m	50Mi
14m	49Mi
15m	51Mi
17m	49Mi
13m	64Mi
15m	54Mi
23m	48Mi
running	31s	1603m	60Mi	1026m	5365Mi	73m	53Mi
214m	80Mi
74m	59Mi
68m	54Mi
77m	51Mi
89m	59Mi
71m	64Mi
72m	54Mi
124m	65Mi
running	41s	1655m	59Mi	1000m	5402Mi	74m	58Mi
207m	82Mi
73m	60Mi
64m	56Mi
85m	55Mi
91m	62Mi
70m	63Mi
70m	61Mi
124m	67Mi
running	52s	1655m	59Mi	1000m	5402Mi	74m	58Mi
207m	82Mi
73m	60Mi
64m	56Mi
85m	55Mi
91m	62Mi
70m	63Mi
70m	61Mi
124m	67Mi
running	62s	1609m	73Mi	1045m	5438Mi	75m	62Mi
224m	84Mi
72m	64Mi
67m	62Mi
83m	56Mi
83m	63Mi
69m	63Mi
73m	62Mi
130m	71Mi
running	72s	2534m	352Mi	2194m	5601Mi	83m	64Mi
254m	90Mi
82m	63Mi
75m	63Mi
84m	58Mi
99m	67Mi
73m	61Mi
77m	63Mi
135m	73Mi
running	83s	2534m	352Mi	2194m	5601Mi	83m	64Mi
254m	90Mi
82m	63Mi
75m	63Mi
84m	58Mi
99m	67Mi
73m	61Mi
77m	63Mi
135m	73Mi
running	93s	6222m	340Mi	9060m	6494Mi	106m	65Mi
406m	101Mi
96m	65Mi
102m	65Mi
81m	59Mi
135m	67Mi
98m	68Mi
102m	67Mi
194m	73Mi
running	103s	6323m	382Mi	9758m	7390Mi	106m	67Mi
400m	107Mi
88m	67Mi
89m	65Mi
77m	60Mi
129m	71Mi
92m	66Mi
93m	67Mi
190m	75Mi
running	114s	5799m	361Mi	10338m	8405Mi	102m	69Mi
406m	104Mi
93m	68Mi
92m	67Mi
81m	62Mi
128m	64Mi
89m	65Mi
97m	68Mi
189m	77Mi
running	124s	5799m	361Mi	10338m	8405Mi	102m	69Mi
406m	104Mi
93m	68Mi
92m	67Mi
81m	62Mi
128m	64Mi
89m	65Mi
97m	68Mi
189m	77Mi
running	134s	4936m	309Mi	10188m	9373Mi	83m	67Mi
321m	100Mi
77m	66Mi
76m	68Mi
63m	60Mi
104m	67Mi
72m	65Mi
79m	67Mi
162m	72Mi
running	145s	1472m	372Mi	5181m	7111Mi	28m	69Mi
89m	104Mi
23m	67Mi
24m	68Mi
20m	61Mi
32m	66Mi
26m	67Mi
23m	67Mi
47m	72Mi
running	155s	1472m	372Mi	5181m	7111Mi	28m	69Mi
89m	104Mi
23m	67Mi
24m	68Mi
20m	61Mi
32m	66Mi
26m	67Mi
23m	67Mi
47m	72Mi
running	165s	6421m	382Mi	8506m	7970Mi	99m	70Mi
395m	100Mi
93m	68Mi
85m	68Mi
81m	62Mi
131m	70Mi
101m	70Mi
100m	68Mi
194m	75Mi
running	176s	5690m	378Mi	11695m	9088Mi	105m	68Mi
404m	97Mi
89m	67Mi
87m	68Mi
73m	62Mi
141m	69Mi
90m	68Mi
107m	70Mi
191m	80Mi
running	186s	5690m	378Mi	11695m	9088Mi	105m	68Mi
404m	97Mi
89m	67Mi
87m	68Mi
73m	62Mi
141m	69Mi
90m	68Mi
107m	70Mi
191m	80Mi
running	196s	6035m	322Mi	11339m	10260Mi	112m	71Mi
397m	101Mi
87m	68Mi
89m	67Mi
77m	59Mi
143m	72Mi
94m	69Mi
97m	70Mi
194m	74Mi
running	207s	5199m	440Mi	10835m	11150Mi	103m	68Mi
401m	98Mi
89m	67Mi
88m	69Mi
80m	59Mi
133m	70Mi
96m	65Mi
101m	67Mi
192m	80Mi
running	217s	5199m	440Mi	10835m	11150Mi	103m	68Mi
401m	98Mi
89m	67Mi
88m	69Mi
80m	59Mi
133m	70Mi
96m	65Mi
101m	67Mi
192m	80Mi
running	227s	4728m	422Mi	9840m	11992Mi	109m	69Mi
321m	146Mi
106m	68Mi
95m	70Mi
84m	59Mi
138m	72Mi
97m	70Mi
110m	67Mi
192m	79Mi
running	238s	4668m	236Mi	11840m	9577Mi	109m	72Mi
384m	163Mi
106m	69Mi
108m	69Mi
77m	63Mi
139m	69Mi
94m	70Mi
107m	69Mi
208m	88Mi
running	248s	4668m	236Mi	11840m	9577Mi	109m	72Mi
384m	163Mi
106m	69Mi
108m	69Mi
77m	63Mi
139m	69Mi
94m	70Mi
107m	69Mi
208m	88Mi
running	258s	4799m	370Mi	5733m	10101Mi	102m	67Mi
504m	163Mi
94m	69Mi
97m	70Mi
97m	64Mi
129m	68Mi
95m	70Mi
102m	68Mi
196m	80Mi
running	269s	4542m	421Mi	6645m	10696Mi	104m	72Mi
495m	169Mi
97m	67Mi
92m	68Mi
87m	64Mi
125m	70Mi
93m	69Mi
100m	72Mi
192m	76Mi
running	279s	4811m	273Mi	6456m	11376Mi	99m	71Mi
504m	179Mi
92m	68Mi
87m	68Mi
83m	64Mi
129m	72Mi
92m	63Mi
100m	71Mi
189m	77Mi
running	289s	4811m	273Mi	6456m	11376Mi	99m	71Mi
504m	179Mi
92m	68Mi
87m	68Mi
83m	64Mi
129m	72Mi
92m	63Mi
100m	71Mi
189m	77Mi
running	300s	4634m	291Mi	7491m	12132Mi	102m	65Mi
495m	168Mi
88m	69Mi
91m	69Mi
97m	67Mi
125m	70Mi
90m	68Mi
97m	66Mi
192m	74Mi
running	310s	4643m	320Mi	7973m	12775Mi	99m	68Mi
501m	164Mi
95m	68Mi
92m	69Mi
87m	65Mi
128m	71Mi
92m	68Mi
99m	69Mi
194m	77Mi
running	320s	4643m	320Mi	7973m	12775Mi	99m	68Mi
501m	164Mi
95m	68Mi
92m	69Mi
87m	65Mi
128m	71Mi
92m	68Mi
99m	69Mi
194m	77Mi
running	330s	4253m	296Mi	7540m	12911Mi	102m	71Mi
497m	164Mi
91m	67Mi
92m	70Mi
89m	67Mi
126m	69Mi
91m	69Mi
99m	69Mi
193m	78Mi
running	341s	4482m	240Mi	7906m	10512Mi	107m	69Mi
499m	164Mi
95m	70Mi
88m	68Mi
85m	65Mi
124m	72Mi
92m	70Mi
100m	70Mi
193m	72Mi
running	351s	4482m	240Mi	7906m	10512Mi	107m	69Mi
499m	164Mi
95m	70Mi
88m	68Mi
85m	65Mi
124m	72Mi
92m	70Mi
100m	70Mi
193m	72Mi
running	361s	4834m	367Mi	6158m	11046Mi	107m	71Mi
504m	164Mi
95m	68Mi
85m	67Mi
89m	60Mi
125m	70Mi
93m	65Mi
98m	69Mi
191m	72Mi
running	372s	4717m	280Mi	5877m	11659Mi	103m	71Mi
494m	166Mi
95m	65Mi
93m	68Mi
90m	59Mi
126m	72Mi
96m	66Mi
101m	70Mi
193m	74Mi
running	382s	4717m	280Mi	5877m	11659Mi	103m	71Mi
494m	166Mi
95m	65Mi
93m	68Mi
90m	59Mi
126m	72Mi
96m	66Mi
101m	70Mi
193m	74Mi
running	392s	4795m	239Mi	7256m	12530Mi	98m	69Mi
502m	169Mi
92m	67Mi
96m	71Mi
87m	62Mi
125m	69Mi
90m	69Mi
99m	69Mi
194m	73Mi
running	403s	4504m	227Mi	8813m	13241Mi	104m	72Mi
500m	168Mi
94m	70Mi
91m	69Mi
83m	62Mi
124m	70Mi
93m	66Mi
98m	66Mi
197m	75Mi
running	413s	4504m	227Mi	8813m	13241Mi	104m	72Mi
500m	168Mi
94m	70Mi
91m	69Mi
83m	62Mi
124m	70Mi
93m	66Mi
98m	66Mi
197m	75Mi
running	423s	4556m	285Mi	6739m	13675Mi	103m	68Mi
498m	168Mi
93m	68Mi
88m	69Mi
80m	62Mi
124m	71Mi
92m	69Mi
96m	68Mi
187m	74Mi
running	434s	4315m	291Mi	7098m	12807Mi	100m	70Mi
499m	165Mi
90m	68Mi
88m	66Mi
87m	65Mi
127m	71Mi
87m	66Mi
99m	68Mi
189m	73Mi
running	444s	3760m	74Mi	7729m	11568Mi	82m	68Mi
503m	165Mi
79m	67Mi
74m	68Mi
69m	65Mi
100m	72Mi
75m	64Mi
78m	67Mi
150m	76Mi
running	454s	3760m	74Mi	7729m	11568Mi	82m	68Mi
503m	165Mi
79m	67Mi
74m	68Mi
69m	65Mi
100m	72Mi
75m	64Mi
78m	67Mi
150m	76Mi
