pod	metric	value
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_accepted_spans	3127316
otelcol-sb-esrev0-ctr-2w7qk	otelcol_processor_incoming_items	5252580
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_cpu_seconds	180
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_sent_spans	3315045
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_batch_send_size_sum	3318508
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_memory_rss	326918144
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_total_alloc_bytes	7126458184
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_refused_spans	2125264
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_uptime	522
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_total_sys_memory_bytes	216000824
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_heap_alloc_bytes	139320776
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_size	10
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_total_sys_memory_bytes	89606424
otelcol-sb-esrev0-ctr-xs4wz	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_uptime	525
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_memory_rss	220459008
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_sent_spans	895178
otelcol-sb-esrev0-ctr-xs4wz	otelcol_receiver_refused_spans	6366
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_total_alloc_bytes	1217411576
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_heap_alloc_bytes	40037144
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-xs4wz	otelcol_receiver_accepted_spans	888812
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_queue_batch_send_size_sum	895178
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_queue_size	0
