pod	metric	value
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_accepted_spans	1294956
otelcol-sb-esrev0-ctr-2w7qk	otelcol_processor_incoming_items	1296080
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_cpu_seconds	39
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_sent_spans	1296080
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_batch_send_size_sum	1296080
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_memory_rss	263303168
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_total_alloc_bytes	1879749048
otelcol-sb-esrev0-ctr-2w7qk	otelcol_receiver_refused_spans	1124
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_uptime	208
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_total_sys_memory_bytes	133470504
otelcol-sb-esrev0-ctr-2w7qk	otelcol_process_runtime_heap_alloc_bytes	62403056
otelcol-sb-esrev0-ctr-2w7qk	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_total_sys_memory_bytes	89065752
otelcol-sb-esrev0-ctr-xs4wz	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_uptime	210
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_memory_rss	215773184
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_sent_spans	163298
otelcol-sb-esrev0-ctr-xs4wz	otelcol_receiver_refused_spans	1530
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_total_alloc_bytes	336773464
otelcol-sb-esrev0-ctr-xs4wz	otelcol_process_runtime_heap_alloc_bytes	38313640
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_enqueue_failed_spans	0
otelcol-sb-esrev0-ctr-xs4wz	otelcol_receiver_accepted_spans	161768
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_queue_batch_send_size_sum	163298
otelcol-sb-esrev0-ctr-xs4wz	otelcol_exporter_queue_size	0
