phase	pod	status	restarts	node
pre_steady	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	Running	0	node-1
pre_steady	elasticsearch-sb-esrev0-ctr-75b7c5495b-l4ppm	Running	0	node-9
pre_steady	hometimeline-cache-sb-esrev0-ctr-7bc6c6d9d7-rr5p8	Running	0	node-1
pre_steady	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	Running	0	node-1
pre_steady	jaeger-sb-esrev0-ctr-6c56c69f4b-5trdp	Running	0	node-9
pre_steady	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-2w7qk	Running	0	node-1
pre_steady	otelcol-sb-esrev0-ctr-526nm	Running	0	node-3
pre_steady	otelcol-sb-esrev0-ctr-dsc68	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-ltvbk	Running	0	node-4
pre_steady	otelcol-sb-esrev0-ctr-qmw49	Running	0	node-9
pre_steady	otelcol-sb-esrev0-ctr-rldmf	Running	0	node-2
pre_steady	otelcol-sb-esrev0-ctr-v7zq6	Running	0	node-8
pre_steady	otelcol-sb-esrev0-ctr-vgfwk	Running	0	node-6
pre_steady	otelcol-sb-esrev0-ctr-xs4wz	Running	0	node-7
pre_steady	post-cache-sb-esrev0-ctr-745f669478-gdtqx	Running	0	node-6
pre_steady	post-db-sb-esrev0-ctr-6b4477789c-mxdvc	Running	0	node-6
pre_steady	post-storage-service-sb-esrev0-ctr-df7545c7d-lfcld	Running	0	node-6
pre_steady	social-cache-sb-esrev0-ctr-d7dffbd79-tw6lp	Running	0	node-2
pre_steady	social-db-sb-esrev0-ctr-6d8dcd5d9d-x8hfz	Running	0	node-2
pre_steady	socialgraph-service-sb-esrev0-ctr-588794648c-w2hbf	Running	0	node-2
pre_steady	text-service-sb-esrev0-ctr-74f566b99b-2m8s8	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-2j28d	Running	0	node-8
pre_steady	tracepressure-service-sb-esrev0-ctr-8m625	Running	0	node-6
pre_steady	tracepressure-service-sb-esrev0-ctr-hzc47	Running	0	node-2
pre_steady	tracepressure-service-sb-esrev0-ctr-k45g9	Running	0	node-4
pre_steady	tracepressure-service-sb-esrev0-ctr-pwdfr	Running	0	node-3
pre_steady	tracepressure-service-sb-esrev0-ctr-tl88t	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-v7kct	Running	0	node-7
pre_steady	tracepressure-service-sb-esrev0-ctr-vnrsf	Running	0	node-1
pre_steady	tracepressure-service-sb-esrev0-ctr-vxw59	Running	0	node-9
pre_steady	uniqueid-service-sb-esrev0-ctr-668dd5d579-z64mx	Running	0	node-3
pre_steady	urlshorten-db-sb-esrev0-ctr-84dd5cb7db-kfmhw	Running	0	node-7
pre_steady	urlshorten-service-sb-esrev0-ctr-55b98489b6-qkmjw	Running	0	node-7
pre_steady	user-cache-sb-esrev0-ctr-7b5dc458bf-6vh8v	Running	0	node-8
pre_steady	user-db-sb-esrev0-ctr-7c8c5cbcf8-zr6x5	Running	0	node-8
pre_steady	user-service-sb-esrev0-ctr-69997bb5f5-6jtvg	Running	0	node-8
pre_steady	userid-service-sb-esrev0-ctr-8497658b75-f4sf2	Running	0	node-5
pre_steady	usermention-service-sb-esrev0-ctr-788b768d44-b9wvh	Running	0	node-3
pre_steady	usertimeline-cache-sb-esrev0-ctr-56d49bd85d-d5jxt	Running	0	node-4
pre_steady	usertimeline-db-sb-esrev0-ctr-7d9b59bbb9-nf2x6	Running	0	node-4
pre_steady	usertimeline-service-sb-esrev0-ctr-74dd5ddbd6-bjt45	Running	0	node-4
pre_steady	wrk2api-service-sb-esrev0-ctr-69lwc	Running	0	node-6
pre_steady	wrk2api-service-sb-esrev0-ctr-7jj9s	Running	0	node-7
pre_steady	wrk2api-service-sb-esrev0-ctr-dj22d	Running	0	node-9
pre_steady	wrk2api-service-sb-esrev0-ctr-m5nmp	Running	0	node-1
pre_steady	wrk2api-service-sb-esrev0-ctr-m6wxf	Running	0	node-5
pre_steady	wrk2api-service-sb-esrev0-ctr-mzgqw	Running	0	node-2
pre_steady	wrk2api-service-sb-esrev0-ctr-r7trq	Running	0	node-8
pre_steady	wrk2api-service-sb-esrev0-ctr-snmrv	Running	0	node-4
pre_steady	wrk2api-service-sb-esrev0-ctr-tlhjk	Running	0	node-3
post_steady	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	Running	0	node-1
post_steady	elasticsearch-sb-esrev0-ctr-75b7c5495b-l4ppm	Running	0	node-9
post_steady	hometimeline-cache-sb-esrev0-ctr-7bc6c6d9d7-rr5p8	Running	0	node-1
post_steady	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	Running	0	node-1
post_steady	jaeger-sb-esrev0-ctr-6c56c69f4b-5trdp	Running	0	node-9
post_steady	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	Running	0	node-5
post_steady	otelcol-sb-esrev0-ctr-2w7qk	Running	0	node-1
post_steady	otelcol-sb-esrev0-ctr-526nm	Running	0	node-3
post_steady	otelcol-sb-esrev0-ctr-dsc68	Running	0	node-5
post_steady	otelcol-sb-esrev0-ctr-ltvbk	Running	0	node-4
post_steady	otelcol-sb-esrev0-ctr-qmw49	Running	0	node-9
post_steady	otelcol-sb-esrev0-ctr-rldmf	Running	0	node-2
post_steady	otelcol-sb-esrev0-ctr-v7zq6	Running	0	node-8
post_steady	otelcol-sb-esrev0-ctr-vgfwk	Running	0	node-6
post_steady	otelcol-sb-esrev0-ctr-xs4wz	Running	0	node-7
post_steady	post-cache-sb-esrev0-ctr-745f669478-gdtqx	Running	0	node-6
post_steady	post-db-sb-esrev0-ctr-6b4477789c-mxdvc	Running	0	node-6
