service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_received	169665
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_flushed	169665
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_sent	168570
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	batches_sent	8810
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_dropped	1095
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	batches_dropped	46
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_received	84832
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_received	84833
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_sent	84285
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_sent	84285
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_dropped	547
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_dropped	548
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_deadline	46
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_received	5807207
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_flushed	5807207
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_sent	2309735
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	batches_sent	16081
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_dropped	3497472
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	batches_dropped	17478
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_received	5081305
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_received	725902
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_sent	2020474
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_sent	289261
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_dropped	3060831
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_dropped	436641
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_deadline	16522
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_unavailable	956
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	hp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_received	1451786
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_flushed	1451786
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_sent	667318
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	batches_sent	4467
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_dropped	784468
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	batches_dropped	3923
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_received	1451786
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_sent	667318
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_dropped	784468
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_deadline	924
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_unavailable	2999
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_received	725902
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_flushed	725902
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_sent	721101
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	batches_sent	4171
