service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_received	37685
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_flushed	37685
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_sent	36901
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	batches_sent	2824
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	spans_dropped	784
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	batches_dropped	30
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_received	18842
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_received	18843
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_sent	18450
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_sent	18451
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	cp_dropped	392
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_dropped	392
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_deadline	30
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-69lwc	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_received	1008007
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_flushed	1008007
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_sent	1008007
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	batches_sent	9557
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	spans_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	batches_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_received	882005
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_received	126002
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_sent	882005
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_sent	126002
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	cp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_deadline	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_unavailable	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	hp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-wbxrz	lp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_received	251986
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_flushed	251986
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_sent	251986
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	batches_sent	2388
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	spans_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	batches_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_received	251986
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_sent	251986
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_deadline	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_unavailable	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-m2czj	lp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_received	126002
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_flushed	126002
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_sent	126002
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	batches_sent	1194
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	spans_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	batches_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	cp_received	126002
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	lp_received	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	cp_sent	126002
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	lp_sent	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	cp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	lp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-xdx9z	send_deadline	0
