phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	0s	1618m	90Mi	2724m	5209Mi	34m	49Mi
29m	49Mi
65m	73Mi
32m	53Mi
51m	52Mi
68m	76Mi
31m	52Mi
29m	50Mi
30m	47Mi
running	11s		1518m	5296Mi	26m	57Mi
26m	52Mi
45m	75Mi
27m	56Mi
48m	58Mi
51m	77Mi
27m	60Mi
26m	52Mi
27m	54Mi
running	21s	1185m	69Mi	869m	5329Mi	121m	76Mi
50m	55Mi
71m	76Mi
43m	59Mi
48m	59Mi
35m	77Mi
42m	62Mi
41m	54Mi
42m	56Mi
running	31s	1185m	69Mi	869m	5329Mi	208m	82Mi
95m	65Mi
121m	76Mi
69m	62Mi
91m	60Mi
61m	74Mi
73m	63Mi
78m	60Mi
74m	59Mi
running	42s	1703m	68Mi	941m	5356Mi	208m	82Mi
95m	65Mi
121m	76Mi
69m	62Mi
91m	60Mi
61m	74Mi
73m	63Mi
78m	60Mi
74m	59Mi
running	52s	1547m	60Mi	949m	5394Mi	209m	84Mi
92m	69Mi
121m	77Mi
65m	63Mi
89m	58Mi
62m	68Mi
71m	63Mi
69m	61Mi
77m	60Mi
running	62s	1549m	62Mi	1146m	5430Mi	206m	85Mi
90m	65Mi
120m	79Mi
69m	62Mi
83m	59Mi
62m	63Mi
73m	63Mi
71m	62Mi
72m	63Mi
running	73s	1549m	62Mi	1146m	5430Mi	206m	85Mi
90m	65Mi
120m	79Mi
69m	62Mi
83m	59Mi
62m	63Mi
73m	63Mi
71m	62Mi
72m	63Mi
running	83s	4673m	381Mi	4986m	5886Mi	325m	98Mi
115m	68Mi
161m	79Mi
88m	62Mi
94m	64Mi
77m	66Mi
84m	66Mi
84m	63Mi
82m	64Mi
running	93s	6199m	291Mi	10210m	6899Mi	406m	110Mi
127m	72Mi
183m	80Mi
97m	71Mi
83m	64Mi
83m	68Mi
89m	67Mi
95m	64Mi
93m	65Mi
running	104s	6199m	291Mi	10210m	6899Mi	406m	110Mi
127m	72Mi
183m	80Mi
97m	71Mi
83m	64Mi
83m	68Mi
89m	67Mi
95m	64Mi
93m	65Mi
running	114s	6434m	324Mi	9457m	7777Mi	414m	104Mi
136m	74Mi
200m	83Mi
93m	72Mi
86m	62Mi
86m	68Mi
91m	68Mi
94m	66Mi
94m	66Mi
running	124s	5830m	433Mi	8471m	8528Mi	409m	100Mi
128m	76Mi
189m	81Mi
95m	73Mi
90m	59Mi
87m	65Mi
89m	68Mi
93m	68Mi
89m	65Mi
running	135s	5830m	433Mi	8471m	8528Mi	409m	100Mi
128m	76Mi
189m	81Mi
95m	73Mi
90m	59Mi
87m	65Mi
89m	68Mi
93m	68Mi
89m	65Mi
running	145s	2837m	96Mi	7748m	9382Mi	158m	107Mi
53m	74Mi
76m	76Mi
42m	73Mi
45m	60Mi
37m	67Mi
41m	69Mi
43m	70Mi
40m	64Mi
running	155s	4383m	348Mi	5907m	7227Mi	270m	100Mi
92m	75Mi
140m	82Mi
64m	71Mi
55m	60Mi
57m	68Mi
69m	71Mi
68m	70Mi
70m	65Mi
running	166s	4383m	348Mi	5907m	7227Mi	270m	100Mi
92m	75Mi
140m	82Mi
64m	71Mi
55m	60Mi
57m	68Mi
69m	71Mi
68m	70Mi
70m	65Mi
running	176s	6208m	386Mi	9136m	8267Mi	419m	99Mi
147m	72Mi
211m	84Mi
104m	69Mi
82m	60Mi
86m	68Mi
96m	68Mi
96m	67Mi
94m	69Mi
running	186s	5816m	348Mi	12649m	9526Mi	416m	104Mi
138m	77Mi
209m	78Mi
95m	69Mi
80m	60Mi
93m	69Mi
94m	67Mi
95m	67Mi
89m	67Mi
running	197s	5723m	399Mi	12191m	10744Mi	414m	107Mi
147m	75Mi
207m	79Mi
96m	71Mi
77m	60Mi
92m	69Mi
99m	69Mi
96m	66Mi
87m	69Mi
running	207s	5723m	399Mi	12191m	10744Mi	414m	107Mi
147m	75Mi
207m	79Mi
96m	71Mi
77m	60Mi
92m	69Mi
99m	69Mi
96m	66Mi
87m	69Mi
running	217s	4785m	430Mi	10010m	11619Mi	373m	113Mi
138m	72Mi
216m	84Mi
98m	69Mi
78m	60Mi
88m	70Mi
94m	69Mi
103m	67Mi
94m	63Mi
running	227s	4540m	425Mi	8530m	12382Mi	288m	155Mi
149m	72Mi
209m	80Mi
103m	70Mi
82m	61Mi
91m	72Mi
110m	72Mi
114m	70Mi
102m	67Mi
running	238s	4540m	425Mi	8530m	12382Mi	288m	155Mi
149m	72Mi
209m	80Mi
103m	70Mi
82m	61Mi
91m	72Mi
110m	72Mi
114m	70Mi
102m	67Mi
running	248s	4856m	251Mi	9834m	9609Mi	504m	169Mi
144m	76Mi
221m	74Mi
106m	72Mi
91m	64Mi
87m	71Mi
100m	70Mi
106m	73Mi
89m	69Mi
running	259s	4944m	267Mi	5205m	10181Mi	500m	169Mi
139m	76Mi
204m	78Mi
97m	71Mi
95m	64Mi
86m	71Mi
104m	70Mi
99m	66Mi
91m	67Mi
running	269s	4944m	267Mi	5205m	10181Mi	500m	169Mi
139m	76Mi
204m	78Mi
97m	71Mi
95m	64Mi
86m	71Mi
104m	70Mi
99m	66Mi
91m	67Mi
running	279s	4553m	334Mi	7835m	10908Mi	504m	164Mi
143m	72Mi
213m	78Mi
98m	73Mi
89m	63Mi
81m	69Mi
101m	68Mi
96m	67Mi
103m	66Mi
running	289s	4888m	275Mi	6162m	11533Mi	498m	169Mi
144m	74Mi
207m	79Mi
96m	69Mi
95m	63Mi
92m	69Mi
98m	70Mi
96m	67Mi
99m	67Mi
running	300s	4888m	275Mi	6162m	11533Mi	498m	169Mi
144m	74Mi
207m	79Mi
96m	69Mi
95m	63Mi
92m	69Mi
98m	70Mi
96m	67Mi
99m	67Mi
running	310s	4601m	282Mi	6870m	12168Mi	499m	164Mi
138m	76Mi
213m	81Mi
97m	72Mi
87m	63Mi
88m	71Mi
98m	68Mi
100m	67Mi
101m	67Mi
running	320s	4333m	334Mi	8377m	12143Mi	498m	166Mi
