pod	metric	value
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_total_sys_memory_bytes	48199944
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_heap_alloc_bytes	21340600
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_total_alloc_bytes	33526584
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_uptime	23
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_memory_rss	179429376
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_uptime	22
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_total_sys_memory_bytes	48978184
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_cpu_seconds	1
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_total_alloc_bytes	34039472
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_heap_alloc_bytes	22711584
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_memory_rss	180649984
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_total_sys_memory_bytes	47159560
otelcol-sb-esrev0-ctr-npx77	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-npx77	otelcol_process_uptime	23
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_total_alloc_bytes	33515232
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_heap_alloc_bytes	21067944
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-npx77	otelcol_process_memory_rss	177688576
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_total_sys_memory_bytes	43964680
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_heap_alloc_bytes	19602504
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_total_alloc_bytes	33464560
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_uptime	23
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_memory_rss	177135616
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_total_alloc_bytes	33459512
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_heap_alloc_bytes	21203072
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_uptime	23
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_memory_rss	179630080
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_total_sys_memory_bytes	44243208
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-8mpf5	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_uptime	23
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_memory_rss	178581504
otelcol-sb-esrev0-ctr-8mpf5	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_runtime_total_sys_memory_bytes	44529928
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_runtime_total_alloc_bytes	33508424
otelcol-sb-esrev0-ctr-8mpf5	otelcol_process_runtime_heap_alloc_bytes	21540392
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_uptime	25
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_runtime_heap_alloc_bytes	21294056
otelcol-sb-esrev0-ctr-7gp7x	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_runtime_total_sys_memory_bytes	48748808
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-7gp7x	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_runtime_total_alloc_bytes	33657656
otelcol-sb-esrev0-ctr-7gp7x	otelcol_process_memory_rss	177750016
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_memory_rss	177569792
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_uptime	21
otelcol-sb-esrev0-ctr-vdh84	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_runtime_total_alloc_bytes	33495664
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_runtime_heap_alloc_bytes	21548488
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_runtime_total_sys_memory_bytes	48421128
otelcol-sb-esrev0-ctr-vdh84	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-vdh84	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_runtime_total_sys_memory_bytes	47991064
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_cpu_seconds	0
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_runtime_total_alloc_bytes	33416544
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_uptime	22
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_runtime_heap_alloc_bytes	19781984
otelcol-sb-esrev0-ctr-vbbq9	otelcol_process_memory_rss	179859456
otelcol-sb-esrev0-ctr-vbbq9	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-vbbq9	otelcol_exporter_queue_size	0
