service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	spans_received	282438
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	spans_flushed	282438
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	spans_sent	76532
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	batches_sent	3960
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	spans_dropped	205802
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	batches_dropped	5284
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	cp_received	141219
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	lp_received	141219
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	cp_sent	44566
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	lp_sent	31966
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	cp_dropped	96601
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	lp_dropped	109201
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	send_deadline	92
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	send_unavailable	5192
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-6dxtl	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	spans_received	9810363
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	spans_flushed	9810357
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	spans_sent	1346320
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	batches_sent	11376
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	spans_dropped	8447158
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	batches_dropped	24496
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	cp_received	8584143
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	lp_received	1226220
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	cp_sent	1173197
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	lp_sent	173123
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	cp_dropped	7395977
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	lp_dropped	1051181
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	send_deadline	17907
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	send_unavailable	6589
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	hp_buffer_depth	3
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-rhjf9	lp_buffer_depth	3
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	spans_received	2471699
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	spans_flushed	2471281
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	spans_sent	497863
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	batches_sent	3197
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	spans_dropped	1973002
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	batches_dropped	5875
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	lp_received	2471699
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	lp_sent	497863
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	lp_dropped	1973002
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	send_deadline	379
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	send_unavailable	5496
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-7mnhv	lp_buffer_depth	418
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	spans_received	1237663
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	spans_flushed	1237451
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	spans_sent	1236016
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	batches_sent	4516
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	spans_dropped	1046
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	batches_dropped	3
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	cp_received	1237663
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	lp_received	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	cp_sent	1236016
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	lp_sent	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	cp_dropped	1046
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	lp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	send_deadline	3
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	send_unavailable	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	send_exhausted	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	send_canceled	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	send_other	0
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	hp_buffer_depth	212
media	media-service-sb-esrev0-ctr-79c66ddb77-dgbm5	lp_buffer_depth	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xtgkb	spans_received	1237513
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xtgkb	spans_flushed	1237513
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xtgkb	spans_sent	1237313
