pod	metric	value
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_total_sys_memory_bytes	106146072
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_heap_alloc_bytes	40218000
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_cpu_seconds	20
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_runtime_total_alloc_bytes	581585568
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-tq6vv	otelcol_processor_incoming_items	527927
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_uptime	308
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_sent_spans	508267
otelcol-sb-esrev0-ctr-tq6vv	otelcol_process_memory_rss	236929024
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_queue_size	10
otelcol-sb-esrev0-ctr-tq6vv	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_queue_batch_send_size_sum	513078
otelcol-sb-esrev0-ctr-tq6vv	otelcol_receiver_accepted_spans	527927
otelcol-sb-esrev0-ctr-tq6vv	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-tq6vv	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-tq6vv	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-dfjss	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_uptime	307
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_total_sys_memory_bytes	84756760
otelcol-sb-esrev0-ctr-dfjss	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_cpu_seconds	17
otelcol-sb-esrev0-ctr-dfjss	otelcol_receiver_accepted_spans	102923
otelcol-sb-esrev0-ctr-dfjss	otelcol_processor_incoming_items	102923
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_total_alloc_bytes	279640208
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_runtime_heap_alloc_bytes	46383024
otelcol-sb-esrev0-ctr-dfjss	otelcol_process_memory_rss	217329664
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_queue_batch_send_size_sum	102923
otelcol-sb-esrev0-ctr-dfjss	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_sent_spans	102570
otelcol-sb-esrev0-ctr-dfjss	otelcol_exporter_queue_size	8
otelcol-sb-esrev0-ctr-npx77	otelcol_processor_incoming_items	953613
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_total_sys_memory_bytes	132389160
otelcol-sb-esrev0-ctr-npx77	otelcol_process_cpu_seconds	29
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_queue_batch_send_size_sum	931772
otelcol-sb-esrev0-ctr-npx77	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-npx77	otelcol_receiver_accepted_spans	953613
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_sent_spans	925475
otelcol-sb-esrev0-ctr-npx77	otelcol_process_uptime	308
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_total_alloc_bytes	911838400
otelcol-sb-esrev0-ctr-npx77	otelcol_process_runtime_heap_alloc_bytes	79157040
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-npx77	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-npx77	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-npx77	otelcol_process_memory_rss	244604928
otelcol-sb-esrev0-ctr-npx77	otelcol_exporter_queue_size	10
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_sent_spans	520486
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_total_sys_memory_bytes	98019608
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_queue_batch_send_size_sum	523181
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_heap_alloc_bytes	37261712
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_queue_size	10
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_runtime_total_alloc_bytes	585692408
otelcol-sb-esrev0-ctr-tm8t9	otelcol_receiver_accepted_spans	526914
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_cpu_seconds	20
otelcol-sb-esrev0-ctr-tm8t9	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_processor_incoming_items	526914
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_uptime	308
otelcol-sb-esrev0-ctr-tm8t9	otelcol_process_memory_rss	230621184
otelcol-sb-esrev0-ctr-tm8t9	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-tm8t9	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-tm8t9	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-n8gx7	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-n8gx7	otelcol_processor_incoming_items	530339
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_queue_size	10
otelcol-sb-esrev0-ctr-n8gx7	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_total_alloc_bytes	579246680
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_heap_alloc_bytes	60423744
otelcol-sb-esrev0-ctr-n8gx7	otelcol_receiver_accepted_spans	530339
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_uptime	308
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_queue_batch_send_size_sum	530075
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_memory_rss	231116800
otelcol-sb-esrev0-ctr-n8gx7	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-n8gx7	otelcol_process_runtime_total_sys_memory_bytes	96758040
otelcol-sb-esrev0-ctr-n8gx7	otelcol_receiver_failed_spans	0
