phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	0s	5979m	269Mi	10324m	6976Mi	82m	65Mi
78m	67Mi
67m	59Mi
81m	63Mi
126m	66Mi
84m	61Mi
81m	62Mi
167m	73Mi
353m	95Mi
running	10s		10324m	6976Mi	82m	65Mi
78m	67Mi
67m	59Mi
81m	63Mi
126m	66Mi
84m	61Mi
81m	62Mi
167m	73Mi
353m	95Mi
running	21s		2229m	7192Mi	42m	65Mi
42m	68Mi
39m	59Mi
41m	63Mi
62m	65Mi
43m	62Mi
46m	65Mi
89m	82Mi
190m	138Mi
running	31s	4887m	486Mi	8229m	7959Mi	106m	80Mi
119m	81Mi
96m	61Mi
124m	67Mi
192m	108Mi
116m	75Mi
127m	81Mi
231m	137Mi
474m	169Mi
running	41s	4887m	486Mi	8229m	7959Mi	106m	80Mi
119m	81Mi
96m	61Mi
124m	67Mi
192m	108Mi
116m	75Mi
127m	81Mi
231m	137Mi
474m	169Mi
running	52s	3234m	96Mi	7556m	8705Mi	74m	81Mi
62m	72Mi
73m	63Mi
60m	67Mi
92m	71Mi
68m	67Mi
72m	64Mi
177m	106Mi
500m	169Mi
running	62s	3931m	342Mi	6263m	9170Mi	79m	65Mi
71m	67Mi
64m	63Mi
82m	61Mi
112m	69Mi
74m	71Mi
76m	64Mi
153m	71Mi
496m	170Mi
running	72s	3931m	342Mi	6263m	9170Mi	82m	72Mi
82m	72Mi
70m	62Mi
84m	66Mi
138m	73Mi
90m	74Mi
87m	65Mi
171m	72Mi
501m	170Mi
running	83s	4364m	352Mi	8111m	9980Mi	82m	72Mi
82m	72Mi
70m	62Mi
84m	66Mi
138m	73Mi
90m	74Mi
87m	65Mi
171m	72Mi
501m	170Mi
running	93s	5907m	394Mi	12052m	8278Mi	104m	70Mi
107m	78Mi
64m	61Mi
101m	70Mi
179m	80Mi
124m	75Mi
107m	69Mi
264m	88Mi
497m	175Mi
running	103s	5683m	429Mi	12444m	9421Mi	111m	74Mi
105m	80Mi
65m	61Mi
107m	75Mi
180m	75Mi
121m	74Mi
107m	74Mi
266m	94Mi
496m	170Mi
running	114s	5683m	429Mi	12444m	9421Mi	111m	74Mi
105m	80Mi
65m	61Mi
107m	75Mi
180m	75Mi
121m	74Mi
107m	74Mi
266m	94Mi
496m	170Mi
running	124s	5305m	503Mi	11768m	10477Mi	111m	74Mi
115m	80Mi
64m	61Mi
106m	78Mi
172m	75Mi
122m	74Mi
111m	74Mi
252m	96Mi
497m	170Mi
running	134s	4507m	466Mi	10949m	11429Mi	91m	76Mi
117m	83Mi
59m	61Mi
111m	78Mi
154m	90Mi
113m	76Mi
103m	80Mi
189m	127Mi
500m	186Mi
running	145s	4507m	466Mi	10949m	11429Mi	91m	76Mi
117m	83Mi
59m	61Mi
111m	78Mi
154m	90Mi
113m	76Mi
103m	80Mi
189m	127Mi
500m	186Mi
running	155s	3587m	435Mi	11166m	12452Mi	93m	81Mi
84m	76Mi
62m	58Mi
87m	76Mi
111m	94Mi
89m	71Mi
98m	87Mi
158m	145Mi
480m	166Mi
running	165s	5306m	407Mi	11864m	10302Mi	84m	68Mi
85m	77Mi
62m	57Mi
92m	70Mi
147m	78Mi
97m	74Mi
100m	75Mi
268m	149Mi
494m	177Mi
running	176s	5306m	407Mi	11864m	10302Mi	84m	68Mi
85m	77Mi
62m	57Mi
92m	70Mi
147m	78Mi
97m	74Mi
100m	75Mi
268m	149Mi
494m	177Mi
running	186s	5498m	494Mi	10657m	11277Mi	107m	75Mi
104m	81Mi
65m	57Mi
110m	70Mi
178m	80Mi
117m	75Mi
107m	72Mi
255m	85Mi
500m	182Mi
running	196s	5300m	531Mi	11807m	12198Mi	103m	73Mi
97m	85Mi
65m	57Mi
96m	76Mi
168m	79Mi
111m	75Mi
108m	78Mi
246m	94Mi
499m	179Mi
running	207s	5300m	531Mi	11807m	12198Mi	103m	73Mi
97m	85Mi
65m	57Mi
96m	76Mi
168m	79Mi
111m	75Mi
108m	78Mi
246m	94Mi
499m	179Mi
running	217s	5194m	486Mi	11903m	13246Mi	113m	75Mi
128m	87Mi
75m	59Mi
120m	83Mi
174m	80Mi
107m	78Mi
116m	79Mi
196m	114Mi
498m	171Mi
running	227s	4038m	469Mi	9814m	12442Mi	93m	72Mi
115m	83Mi
65m	61Mi
106m	82Mi
144m	98Mi
93m	81Mi
104m	85Mi
181m	158Mi
500m	175Mi
running	237s	4038m	469Mi	14324m	12030Mi	131m	91Mi
111m	80Mi
67m	62Mi
124m	79Mi
208m	105Mi
158m	80Mi
127m	76Mi
421m	172Mi
499m	171Mi
running	248s	5412m	439Mi	14324m	12030Mi	131m	91Mi
111m	80Mi
67m	62Mi
124m	79Mi
208m	105Mi
158m	80Mi
127m	76Mi
421m	172Mi
499m	171Mi
running	258s	5464m	544Mi	11006m	12969Mi	105m	77Mi
111m	79Mi
71m	62Mi
108m	77Mi
186m	81Mi
114m	77Mi
108m	71Mi
503m	165Mi
500m	182Mi
running	268s	5590m	464Mi	12218m	14067Mi	105m	73Mi
111m	82Mi
60m	62Mi
110m	77Mi
184m	79Mi
116m	73Mi
114m	73Mi
398m	165Mi
496m	168Mi
running	279s	5590m	464Mi	12218m	14067Mi	105m	73Mi
111m	82Mi
60m	62Mi
110m	77Mi
184m	79Mi
116m	73Mi
114m	73Mi
398m	165Mi
496m	168Mi
running	289s	4041m	526Mi	11145m	15044Mi	113m	76Mi
88m	79Mi
57m	61Mi
111m	79Mi
146m	81Mi
116m	80Mi
109m	77Mi
258m	169Mi
498m	174Mi
running	299s	3795m	471Mi	9097m	12236Mi	94m	76Mi
111m	87Mi
61m	61Mi
85m	80Mi
155m	108Mi
109m	74Mi
122m	81Mi
460m	169Mi
501m	167Mi
running	310s	3795m	471Mi	9097m	12236Mi	94m	76Mi
111m	87Mi
61m	61Mi
85m	80Mi
155m	108Mi
109m	74Mi
122m	81Mi
460m	169Mi
501m	167Mi
running	320s	5424m	472Mi	11946m	13713Mi	126m	84Mi
144m	84Mi
65m	61Mi
149m	85Mi
239m	98Mi
127m	77Mi
120m	71Mi
470m	162Mi
499m	181Mi
running	330s	5113m	510Mi	11797m	14941Mi	105m	77Mi
104m	82Mi
65m	61Mi
107m	74Mi
173m	76Mi
117m	78Mi
109m	75Mi
493m	169Mi
499m	174Mi
running	341s	5113m	510Mi	11797m	14941Mi	105m	77Mi
104m	82Mi
65m	61Mi
107m	74Mi
173m	76Mi
117m	78Mi
109m	75Mi
493m	169Mi
499m	174Mi
running	351s	4757m	514Mi	10996m	16015Mi	104m	81Mi
111m	83Mi
60m	60Mi
104m	74Mi
161m	86Mi
116m	79Mi
107m	76Mi
268m	164Mi
498m	172Mi
running	361s	4147m	409Mi	12055m	17501Mi	99m	87Mi
94m	84Mi
64m	61Mi
106m	76Mi
161m	99Mi
102m	75Mi
98m	77Mi
346m	169Mi
486m	176Mi
running	372s	4147m	409Mi	12055m	17501Mi	99m	87Mi
94m	84Mi
64m	61Mi
106m	76Mi
161m	99Mi
102m	75Mi
98m	77Mi
346m	169Mi
486m	176Mi
running	382s	3473m	362Mi	10095m	18573Mi	83m	67Mi
80m	72Mi
63m	62Mi
79m	78Mi
117m	75Mi
87m	69Mi
78m	75Mi
500m	166Mi
502m	173Mi
running	393s	4268m	393Mi	12181m	16065Mi	78m	69Mi
76m	73Mi
68m	62Mi
85m	72Mi
118m	71Mi
95m	69Mi
83m	67Mi
499m	163Mi
496m	165Mi
running	403s	4754m	342Mi	12053m	17118Mi	83m	69Mi
77m	72Mi
65m	60Mi
79m	73Mi
119m	68Mi
86m	65Mi
81m	66Mi
266m	101Mi
502m	165Mi
running	413s	4754m	342Mi	12053m	17118Mi	83m	69Mi
77m	72Mi
65m	60Mi
79m	73Mi
119m	68Mi
86m	65Mi
81m	66Mi
266m	101Mi
502m	165Mi
running	423s	3977m	287Mi	11089m	18025Mi	82m	67Mi
81m	72Mi
63m	61Mi
81m	68Mi
122m	71Mi
89m	65Mi
82m	68Mi
183m	83Mi
500m	166Mi
running	434s	4411m	265Mi	9210m	18465Mi	79m	68Mi
77m	72Mi
71m	62Mi
77m	68Mi
117m	69Mi
87m	65Mi
78m	68Mi
180m	82Mi
499m	162Mi
running	444s	4411m	265Mi	9210m	18465Mi	79m	68Mi
77m	72Mi
71m	62Mi
77m	68Mi
117m	69Mi
87m	65Mi
78m	68Mi
180m	82Mi
499m	162Mi
running	454s	3960m	274Mi	8683m	18399Mi	77m	69Mi
80m	71Mi
66m	62Mi
76m	69Mi
117m	70Mi
91m	66Mi
81m	69Mi
176m	85Mi
500m	168Mi
running	465s	4203m	381Mi	9576m	19391Mi	83m	71Mi
77m	72Mi
64m	62Mi
81m	66Mi
119m	70Mi
87m	66Mi
78m	68Mi
181m	80Mi
499m	175Mi
running	475s	4203m	381Mi	9576m	19391Mi	83m	71Mi
77m	72Mi
64m	62Mi
81m	66Mi
119m	70Mi
87m	66Mi
78m	68Mi
181m	80Mi
499m	175Mi
