pod	metric	value
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_uptime	1446
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_heap_alloc_bytes	28221232
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_accepted_spans	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_incoming_items	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_cpu_seconds	58
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_sent_spans	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_batch_send_size_sum	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_outgoing_items	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_timeout_trigger_send	6436
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_accepted_spans	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_total_sys_memory_bytes	85272856
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_batch_send_size_sum	1557664
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_total_alloc_bytes	1438208864
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_memory_rss	217161728
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_total_sys_memory_bytes	106465560
otelcol-v-esrev0-ctr-nt7px	otelcol_process_memory_rss	230506496
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_incoming_items	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_outgoing_items	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_total_alloc_bytes	8384008768
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_batch_send_size_sum	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_sent_spans	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_heap_alloc_bytes	38099776
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_batch_send_size_sum	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_accepted_spans	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_timeout_trigger_send	6445
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_accepted_spans	13054448
otelcol-v-esrev0-ctr-nt7px	otelcol_process_uptime	1444
otelcol-v-esrev0-ctr-nt7px	otelcol_process_cpu_seconds	169
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_batch_send_size_sum	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_total_sys_memory_bytes	84478232
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_accepted_spans	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_heap_alloc_bytes	28871248
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_timeout_trigger_send	6440
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_cpu_seconds	55
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_batch_send_size_sum	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_sent_spans	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_memory_rss	219234304
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_uptime	1445
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_incoming_items	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_accepted_spans	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_outgoing_items	1592271
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_total_alloc_bytes	1460616040
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_batch_timeout_trigger_send	6456
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_accepted_spans	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_accepted_spans	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_process_runtime_total_alloc_bytes	1515543728
otelcol-v-esrev0-ctr-w48lx	otelcol_process_runtime_total_sys_memory_bytes	105699624
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-w48lx	otelcol_process_cpu_seconds	56
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_incoming_items	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-w48lx	otelcol_process_runtime_heap_alloc_bytes	36565744
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_outgoing_items	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_process_uptime	1448
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_batch_batch_send_size_sum	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_process_memory_rss	218324992
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_sent_spans	1670289
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_queue_batch_send_size_sum	1670289
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_accepted_spans	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-kzd7m	otelcol_receiver_accepted_spans	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_batch_timeout_trigger_send	6433
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_runtime_heap_alloc_bytes	29720408
otelcol-v-esrev0-ctr-kzd7m	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-kzd7m	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-kzd7m	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_memory_rss	213585920
otelcol-v-esrev0-ctr-kzd7m	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_uptime	1444
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_incoming_items	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_batch_batch_send_size_sum	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_processor_outgoing_items	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_cpu_seconds	59
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_runtime_total_sys_memory_bytes	71649560
otelcol-v-esrev0-ctr-kzd7m	otelcol_exporter_sent_spans	288245
otelcol-v-esrev0-ctr-kzd7m	otelcol_process_runtime_total_alloc_bytes	754438112
otelcol-v-esrev0-ctr-kzd7m	otelcol_exporter_queue_batch_send_size_sum	288245
otelcol-v-esrev0-ctr-crwkl	otelcol_receiver_accepted_spans	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_processor_outgoing_items	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-crwkl	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-crwkl	otelcol_exporter_queue_batch_send_size_sum	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_processor_accepted_spans	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-crwkl	otelcol_processor_batch_batch_send_size_sum	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_processor_batch_timeout_trigger_send	6444
otelcol-v-esrev0-ctr-crwkl	otelcol_process_memory_rss	221229056
otelcol-v-esrev0-ctr-crwkl	otelcol_process_uptime	1446
otelcol-v-esrev0-ctr-crwkl	otelcol_process_runtime_total_sys_memory_bytes	92739880
otelcol-v-esrev0-ctr-crwkl	otelcol_process_runtime_total_alloc_bytes	2184409568
otelcol-v-esrev0-ctr-crwkl	otelcol_process_cpu_seconds	72
otelcol-v-esrev0-ctr-crwkl	otelcol_exporter_sent_spans	2833109
otelcol-v-esrev0-ctr-crwkl	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-crwkl	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-crwkl	otelcol_receiver_failed_spans	0
