phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	1s	13m	166Mi	4673m	20776Mi
running	11s		2544m	21000Mi
running	21s		2544m	21000Mi
running	31s	654m	38Mi	3382m	19114Mi
running	42s	782m	35Mi	3165m	19156Mi
running	52s	782m	35Mi	3165m	19156Mi
running	62s	726m	40Mi	2937m	19317Mi
running	72s	762m	39Mi	3437m	19502Mi
running	82s	762m	39Mi	3437m	19502Mi
running	93s	3877m	366Mi	8822m	20231Mi
running	103s	4824m	332Mi	10761m	19782Mi
running	113s	4824m	332Mi	10761m	19782Mi
running	123s	4697m	395Mi	10819m	20809Mi
running	133s	4906m	402Mi	12458m	20527Mi
running	144s	1346m	373Mi	7760m	21264Mi
running	154s	1346m	373Mi	7760m	21264Mi
running	164s	1020m	346Mi	4171m	21737Mi
running	174s	4029m	467Mi	8848m	21096Mi
running	185s	4029m	467Mi	8848m	21096Mi
running	195s	4207m	522Mi	10930m	21306Mi
running	205s	4747m	494Mi	11475m	20590Mi
running	215s	4747m	494Mi	11475m	20590Mi
running	225s	4658m	508Mi	11607m	21725Mi
running	236s	3951m	516Mi	11208m	22099Mi
running	246s	3951m	516Mi	11208m	22099Mi
running	256s	3607m	702Mi	8667m	21224Mi
running	266s	4055m	741Mi	8737m	21522Mi
running	277s	4055m	741Mi	8737m	21522Mi
running	287s	4124m	775Mi	10166m	21761Mi
running	297s	4160m	867Mi	11197m	22730Mi
running	307s	4160m	867Mi	11197m	22730Mi
running	317s	4240m	938Mi	11464m	22880Mi
running	328s	3435m	954Mi	9850m	23931Mi
running	338s	3435m	954Mi	9850m	23931Mi
running	348s	4293m	1035Mi	12414m	22954Mi
running	358s	4363m	1016Mi	11979m	23391Mi
running	368s	4260m	1008Mi	13553m	24561Mi
running	379s	4260m	1008Mi	13553m	24561Mi
running	389s	3534m	970Mi	12073m	24719Mi
running	399s	3949m	833Mi	9680m	25646Mi
running	409s	3949m	833Mi	9680m	25646Mi
running	420s	3291m	924Mi	9607m	24033Mi
running	430s	3928m	925Mi	9343m	24147Mi
running	440s	3928m	925Mi	9343m	24147Mi
running	450s	4984m	994Mi	10667m	24429Mi
running	461s	3668m	986Mi	10626m	25645Mi
running	471s	3668m	986Mi	10626m	25645Mi
