phase	pod	status	restarts	node
pre_steady	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	Running	0	node-1
pre_steady	elasticsearch-v-esrev0-ctr-5f879f88f-stn46	Running	0	node-9
pre_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-x2nhm	Running	0	node-1
pre_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	Running	0	node-1
pre_steady	jaeger-v-esrev0-ctr-67db55b479-478ns	Running	0	node-9
pre_steady	media-service-v-esrev0-ctr-77668676b5-c8rjd	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-b6g9v	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-bsv86	Running	0	node-8
pre_steady	otelcol-v-esrev0-ctr-crwkl	Running	0	node-3
pre_steady	otelcol-v-esrev0-ctr-dgwl9	Running	0	node-7
pre_steady	otelcol-v-esrev0-ctr-hhvmq	Running	0	node-6
pre_steady	otelcol-v-esrev0-ctr-k8nz4	Running	0	node-4
pre_steady	otelcol-v-esrev0-ctr-kzd7m	Running	0	node-9
pre_steady	otelcol-v-esrev0-ctr-nt7px	Running	0	node-1
pre_steady	otelcol-v-esrev0-ctr-w48lx	Running	0	node-2
pre_steady	post-cache-v-esrev0-ctr-574dd4dfc-bt9gf	Running	0	node-6
pre_steady	post-db-v-esrev0-ctr-5868ddf6b6-4jhgv	Running	0	node-6
pre_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-6fqph	Running	0	node-6
pre_steady	social-cache-v-esrev0-ctr-7f54d587b-gc24k	Running	0	node-2
pre_steady	social-db-v-esrev0-ctr-56c58b8849-4ff26	Running	0	node-2
pre_steady	socialgraph-service-v-esrev0-ctr-78d447fd9f-82jxv	Running	0	node-2
pre_steady	text-service-v-esrev0-ctr-8ddfbc6-5lbsz	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-4ctw4	Running	0	node-1
pre_steady	tracepressure-service-v-esrev0-ctr-9lbdx	Running	0	node-3
pre_steady	tracepressure-service-v-esrev0-ctr-hhdnm	Running	0	node-8
pre_steady	tracepressure-service-v-esrev0-ctr-ptqlb	Running	0	node-6
pre_steady	tracepressure-service-v-esrev0-ctr-q4jdj	Running	0	node-4
pre_steady	tracepressure-service-v-esrev0-ctr-qgrvt	Running	0	node-9
