service	pod	key	value
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	spans_received	818605
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	spans_flushed	818605
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	spans_sent	818605
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	batches_sent	50747
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	spans_dropped	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	batches_dropped	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	send_deadline	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	send_unavailable	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	send_exhausted	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	send_canceled	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	send_other	0
wrk2api	wrk2api-service-v-esrev0-ctr-2n8t6	buffer_depth	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	spans_received	29502961
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	spans_flushed	29502961
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	spans_sent	24582825
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	batches_sent	180516
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	spans_dropped	4920136
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	batches_dropped	20762
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	send_deadline	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	send_unavailable	20762
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	send_exhausted	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	send_canceled	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	send_other	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-rmfwz	buffer_depth	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	spans_received	7375370
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	spans_flushed	7375370
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	spans_sent	6144855
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	batches_sent	45111
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	spans_dropped	1230515
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	batches_dropped	5201
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	send_deadline	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-dd7dx	send_unavailable	5201
