pod	metric	value
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_uptime	198
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_heap_alloc_bytes	44111480
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_accepted_spans	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_incoming_items	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_cpu_seconds	7
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_sent_spans	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_batch_send_size_sum	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_outgoing_items	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_timeout_trigger_send	754
otelcol-v-esrev0-ctr-k8nz4	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_accepted_spans	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_total_sys_memory_bytes	80783640
otelcol-v-esrev0-ctr-k8nz4	otelcol_processor_batch_batch_send_size_sum	163280
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_runtime_total_alloc_bytes	193144448
otelcol-v-esrev0-ctr-k8nz4	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-k8nz4	otelcol_process_memory_rss	213499904
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_total_sys_memory_bytes	105908504
otelcol-v-esrev0-ctr-nt7px	otelcol_process_memory_rss	237645824
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_incoming_items	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_outgoing_items	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_total_alloc_bytes	870992776
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_batch_send_size_sum	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_sent_spans	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-nt7px	otelcol_process_runtime_heap_alloc_bytes	57354264
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_batch_send_size_sum	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-nt7px	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-nt7px	otelcol_receiver_accepted_spans	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_batch_timeout_trigger_send	762
otelcol-v-esrev0-ctr-nt7px	otelcol_processor_accepted_spans	1296088
otelcol-v-esrev0-ctr-nt7px	otelcol_process_uptime	197
otelcol-v-esrev0-ctr-nt7px	otelcol_process_cpu_seconds	17
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_batch_send_size_sum	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_total_sys_memory_bytes	79989016
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_accepted_spans	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_heap_alloc_bytes	48370400
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_batch_timeout_trigger_send	757
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_cpu_seconds	6
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_batch_send_size_sum	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_sent_spans	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_memory_rss	211738624
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_uptime	198
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_incoming_items	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_receiver_accepted_spans	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_processor_outgoing_items	162107
otelcol-v-esrev0-ctr-dgwl9	otelcol_process_runtime_total_alloc_bytes	202841192
otelcol-v-esrev0-ctr-dgwl9	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_batch_timeout_trigger_send	772
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_accepted_spans	277107
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_accepted_spans	277107
otelcol-v-esrev0-ctr-w48lx	otelcol_process_runtime_total_alloc_bytes	242571632
otelcol-v-esrev0-ctr-w48lx	otelcol_process_runtime_total_sys_memory_bytes	105158952
otelcol-v-esrev0-ctr-w48lx	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-w48lx	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-w48lx	otelcol_process_cpu_seconds	8
otelcol-v-esrev0-ctr-w48lx	otelcol_processor_incoming_items	277107
