pod	metric	value
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_heap_alloc_bytes	37863120
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_incoming_items	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_cpu_seconds	25
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_outgoing_items	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_timeout_trigger_send	2854
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_accepted_spans	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_uptime	760
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_sent_spans	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_batch_send_size_sum	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_alloc_bytes	614653688
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_accepted_spans	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_memory_rss	221134848
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_sys_memory_bytes	84732184
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_batch_send_size_sum	492842
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_accepted_spans	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_timeout_trigger_send	2856
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_sys_memory_bytes	85010712
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_cpu_seconds	30
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_sent_spans	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_incoming_items	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_heap_alloc_bytes	43517680
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_outgoing_items	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_batch_send_size_sum	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_alloc_bytes	844388216
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_accepted_spans	892266
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_uptime	760
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_memory_rss	219332608
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_batch_send_size_sum	892266
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_heap_alloc_bytes	31933632
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_accepted_spans	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_outgoing_items	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_batch_send_size_sum	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_process_cpu_seconds	24
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_sent_spans	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_accepted_spans	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_alloc_bytes	587328128
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_batch_send_size_sum	515814
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_timeout_trigger_send	2857
otelcol-v-esrev0-ctr-jfr98	otelcol_process_uptime	760
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_sys_memory_bytes	84207896
otelcol-v-esrev0-ctr-jfr98	otelcol_process_memory_rss	217862144
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_incoming_items	515814
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_total_sys_memory_bytes	110643480
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_cpu_seconds	65
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_batch_send_size_sum	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_outgoing_items	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_heap_alloc_bytes	34543208
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_accepted_spans	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_sent_spans	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_memory_rss	240619520
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_accepted_spans	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_incoming_items	4106601
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_timeout_trigger_send	2853
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_uptime	759
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_batch_send_size_sum	4106601
