pod	metric	value
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_heap_alloc_bytes	56744792
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_incoming_items	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_cpu_seconds	131
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_outgoing_items	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_timeout_trigger_send	10608
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_accepted_spans	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_uptime	5615
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_sent_spans	4041782
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_size	8
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_batch_send_size_sum	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_alloc_bytes	3352100264
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_accepted_spans	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_memory_rss	241397760
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_sys_memory_bytes	141392168
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_batch_send_size_sum	4046430
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_accepted_spans	7345130
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_timeout_trigger_send	10619
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_sys_memory_bytes	184256824
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_refused_spans	16270
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_cpu_seconds	158
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_sent_spans	7203069
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_incoming_items	7361400
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_heap_alloc_bytes	99781488
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_outgoing_items	7345130
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_batch_send_size_sum	7345130
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_size	128
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_refused_spans	16270
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_alloc_bytes	5044645376
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_accepted_spans	7345130
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_uptime	5615
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_memory_rss	309522432
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_batch_send_size_sum	7345130
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_heap_alloc_bytes	44003376
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_accepted_spans	4087574
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_outgoing_items	4087574
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_batch_send_size_sum	4087574
otelcol-v-esrev0-ctr-jfr98	otelcol_process_cpu_seconds	123
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_sent_spans	4082730
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_accepted_spans	4087574
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_alloc_bytes	3271126184
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_batch_send_size_sum	4087574
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_timeout_trigger_send	10630
otelcol-v-esrev0-ctr-jfr98	otelcol_process_uptime	5616
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_size	8
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_sys_memory_bytes	170703144
otelcol-v-esrev0-ctr-jfr98	otelcol_process_memory_rss	231059456
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_incoming_items	4087574
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_total_sys_memory_bytes	235333944
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_cpu_seconds	427
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_batch_send_size_sum	25220597
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_outgoing_items	25220597
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_heap_alloc_bytes	99328256
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_refused_spans	8403988
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_accepted_spans	25220597
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_refused_spans	8403988
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_sent_spans	25047161
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_memory_rss	320659456
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_accepted_spans	25220597
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_incoming_items	33624585
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_timeout_trigger_send	9184
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_uptime	5614
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_size	36
