pod	metric	value
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_heap_alloc_bytes	29220120
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_incoming_items	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_cpu_seconds	110
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_outgoing_items	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_timeout_trigger_send	9127
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_accepted_spans	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_uptime	5299
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_sent_spans	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_batch_send_size_sum	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_alloc_bytes	2741619824
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_accepted_spans	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_memory_rss	217309184
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_sys_memory_bytes	141392168
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_batch_send_size_sum	3131671
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_accepted_spans	5681942
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_timeout_trigger_send	9127
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_sys_memory_bytes	184158520
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_refused_spans	16270
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_cpu_seconds	133
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_sent_spans	5681942
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_incoming_items	5698212
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_heap_alloc_bytes	41742968
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_outgoing_items	5681942
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_batch_send_size_sum	5681942
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_refused_spans	16270
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_alloc_bytes	4122155336
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_accepted_spans	5681942
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_uptime	5299
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_memory_rss	224247808
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_batch_send_size_sum	5681942
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_heap_alloc_bytes	27132088
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_accepted_spans	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_outgoing_items	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_batch_send_size_sum	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_process_cpu_seconds	105
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_sent_spans	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_accepted_spans	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_alloc_bytes	2706600016
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_batch_send_size_sum	3172819
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_timeout_trigger_send	9140
otelcol-v-esrev0-ctr-jfr98	otelcol_process_uptime	5300
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_sys_memory_bytes	170703144
otelcol-v-esrev0-ctr-jfr98	otelcol_process_memory_rss	215683072
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_incoming_items	3172819
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_total_sys_memory_bytes	235333944
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_cpu_seconds	344
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_batch_send_size_sum	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_outgoing_items	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_heap_alloc_bytes	58439360
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_refused_spans	5367195
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_accepted_spans	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_refused_spans	5367195
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_sent_spans	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_memory_rss	240648192
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_accepted_spans	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_incoming_items	25973895
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_timeout_trigger_send	8228
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_uptime	5298
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_size	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_batch_send_size_sum	20606700
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_total_alloc_bytes	17278970216
otelcol-v-esrev0-ctr-9s5t6	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-9s5t6	otelcol_exporter_sent_spans	578615
otelcol-v-esrev0-ctr-9s5t6	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-9s5t6	otelcol_process_runtime_total_sys_memory_bytes	81332504
otelcol-v-esrev0-ctr-9s5t6	otelcol_processor_incoming_items	578615
otelcol-v-esrev0-ctr-9s5t6	otelcol_processor_outgoing_items	578615
