phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	63Mi	4m	23425Mi
running	10s		252m	23437Mi
running	20s		252m	23437Mi
running	31s	850m	37Mi	904m	23471Mi
running	41s	882m	37Mi	773m	23505Mi
running	51s	882m	37Mi	773m	23505Mi
running	61s	864m	39Mi	815m	23538Mi
running	71s	2158m	324Mi	2690m	23748Mi
running	82s	2158m	324Mi	2690m	23748Mi
running	92s	5352m	206Mi	7874m	24476Mi
running	102s	5055m	327Mi	9110m	25403Mi
running	112s	5055m	327Mi	9110m	25403Mi
running	123s	4984m	335Mi	10576m	26529Mi
running	133s	3681m	107Mi	8536m	27378Mi
running	143s	3681m	107Mi	8536m	27378Mi
running	153s	956m	381Mi	2655m	27563Mi
running	163s	4153m	558Mi	9983m	28707Mi
running	174s	4596m	722Mi	12329m	27492Mi
running	184s	4596m	722Mi	12329m	27492Mi
running	194s	4717m	878Mi	12388m	28377Mi
running	204s	4387m	921Mi	10621m	29340Mi
running	214s	4387m	921Mi	10621m	29340Mi
running	225s	4257m	1009Mi	10038m	30532Mi
running	235s	3366m	1162Mi	8517m	30685Mi
running	245s	3366m	1162Mi	8517m	30685Mi
running	255s	4154m	1025Mi	12632m	29074Mi
running	266s	4715m	919Mi	12543m	30454Mi
running	276s	4715m	919Mi	12543m	30454Mi
running	286s	4117m	1012Mi	10614m	31239Mi
running	296s	4167m	1140Mi	11165m	32130Mi
running	306s	4167m	1140Mi	11165m	32130Mi
running	317s	3373m	1029Mi	10285m	32154Mi
running	327s	3416m	935Mi	10808m	30189Mi
running	337s	3416m	935Mi	10808m	30189Mi
running	347s	4810m	878Mi	10866m	30838Mi
running	357s	4725m	1194Mi	10916m	31888Mi
running	368s	4725m	1194Mi	10916m	31888Mi
running	378s	4118m	1176Mi	9100m	33087Mi
running	388s	3485m	1037Mi	10375m	33529Mi
running	398s	3485m	1037Mi	10626m	32748Mi
running	409s	2918m	861Mi	10626m	32748Mi
running	419s	4251m	829Mi	11469m	33270Mi
running	429s	4400m	958Mi	12601m	34134Mi
running	439s	4400m	958Mi	12601m	34134Mi
running	449s	3756m	1029Mi	11394m	35120Mi
