pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	604966
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	725
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	790658032
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	323592192
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	197077304
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	1008992
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	604966
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	138710848
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	604966
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	26
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	1447
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	604966
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	604966
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	277006
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	680
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	498307
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	498307
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	498307
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	723
