pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	410
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	255094888
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	228102144
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	96864536
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	54634896
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	8
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	767
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	277112
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	199390
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	157
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	163285
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	163285
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	163285
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	409
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_sent_spans	88298
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_size	152
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_memory_rss	225370112
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_incoming_items	163285
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_sys_memory_bytes	88664344
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_heap_alloc_bytes	65315456
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_timeout_trigger_send	757
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_alloc_bytes	213605464
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_outgoing_items	163285
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_cpu_seconds	7
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_batch_send_size_sum	163285
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_accepted_spans	162447
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_sys_memory_bytes	93518120
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_size	161
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_accepted_spans	162447
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_incoming_items	162447
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_outgoing_items	162447
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_batch_send_size_sum	162447
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-bfddt	otelcol_process_cpu_seconds	7
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_timeout_trigger_send	761
otelcol-v-esrev0-ctr-bfddt	otelcol_process_memory_rss	223457280
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_sent_spans	83645
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_heap_alloc_bytes	55348056
otelcol-v-esrev0-ctr-bfddt	otelcol_process_uptime	408
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_alloc_bytes	201988584
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_batch_send_size_sum	162447
otelcol-v-esrev0-ctr-g62pv	otelcol_process_uptime	408
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_outgoing_items	164386
otelcol-v-esrev0-ctr-g62pv	otelcol_process_memory_rss	222482432
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_size	151
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_accepted_spans	164386
otelcol-v-esrev0-ctr-g62pv	otelcol_process_cpu_seconds	7
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_accepted_spans	164386
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_timeout_trigger_send	764
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_heap_alloc_bytes	56333376
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_sent_spans	90720
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_total_sys_memory_bytes	88467736
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_total_alloc_bytes	207530264
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_batch_send_size_sum	164386
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_incoming_items	164386
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_batch_send_size_sum	164386
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_batch_send_size_sum	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_size	157
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_accepted_spans	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_outgoing_items	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_total_sys_memory_bytes	172714296
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_cpu_seconds	11
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_accepted_spans	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_total_alloc_bytes	414020632
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_memory_rss	296927232
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_sent_spans	350124
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_batch_send_size_sum	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_timeout_trigger_send	769
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_heap_alloc_bytes	114239248
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_incoming_items	616562
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_uptime	407
otelcol-v-esrev0-ctr-z6wjx	otelcol_receiver_accepted_spans	36081
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_outgoing_items	36081
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_runtime_heap_alloc_bytes	31495704
otelcol-v-esrev0-ctr-z6wjx	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_batch_batch_send_size_sum	36081
otelcol-v-esrev0-ctr-z6wjx	otelcol_exporter_queue_size	154
otelcol-v-esrev0-ctr-z6wjx	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-z6wjx	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_accepted_spans	36081
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_runtime_total_sys_memory_bytes	71608600
otelcol-v-esrev0-ctr-z6wjx	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-z6wjx	otelcol_exporter_queue_batch_send_size_sum	36081
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_memory_rss	210018304
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_cpu_seconds	9
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_batch_timeout_trigger_send	755
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_uptime	407
otelcol-v-esrev0-ctr-z6wjx	otelcol_process_runtime_total_alloc_bytes	132103976
otelcol-v-esrev0-ctr-z6wjx	otelcol_exporter_sent_spans	22485
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_incoming_items	36081
otelcol-v-esrev0-ctr-snl49	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-snl49	otelcol_processor_incoming_items	162090
otelcol-v-esrev0-ctr-snl49	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-snl49	otelcol_process_runtime_heap_alloc_bytes	64753808
otelcol-v-esrev0-ctr-snl49	otelcol_receiver_accepted_spans	162090
otelcol-v-esrev0-ctr-snl49	otelcol_processor_outgoing_items	162090
otelcol-v-esrev0-ctr-snl49	otelcol_processor_batch_batch_send_size_sum	162090
otelcol-v-esrev0-ctr-snl49	otelcol_process_uptime	408
otelcol-v-esrev0-ctr-snl49	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-snl49	otelcol_process_runtime_total_sys_memory_bytes	93198632
otelcol-v-esrev0-ctr-snl49	otelcol_process_cpu_seconds	7
otelcol-v-esrev0-ctr-snl49	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-snl49	otelcol_exporter_queue_batch_send_size_sum	162090
otelcol-v-esrev0-ctr-snl49	otelcol_processor_batch_timeout_trigger_send	757
otelcol-v-esrev0-ctr-snl49	otelcol_process_runtime_total_alloc_bytes	213513176
otelcol-v-esrev0-ctr-snl49	otelcol_process_memory_rss	229068800
otelcol-v-esrev0-ctr-snl49	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-snl49	otelcol_processor_accepted_spans	162090
otelcol-v-esrev0-ctr-snl49	otelcol_exporter_sent_spans	80816
otelcol-v-esrev0-ctr-snl49	otelcol_exporter_queue_size	166
otelcol-v-esrev0-ctr-gt8bb	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-gt8bb	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_batch_batch_send_size_sum	288099
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_cpu_seconds	8
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_outgoing_items	288099
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-gt8bb	otelcol_exporter_queue_batch_send_size_sum	288099
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_batch_timeout_trigger_send	765
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_uptime	409
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_runtime_total_sys_memory_bytes	110061848
otelcol-v-esrev0-ctr-gt8bb	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_accepted_spans	288099
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_runtime_total_alloc_bytes	279583176
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_runtime_heap_alloc_bytes	84901248
otelcol-v-esrev0-ctr-gt8bb	otelcol_exporter_sent_spans	139756
otelcol-v-esrev0-ctr-gt8bb	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-gt8bb	otelcol_exporter_queue_size	167
otelcol-v-esrev0-ctr-gt8bb	otelcol_receiver_accepted_spans	288099
otelcol-v-esrev0-ctr-gt8bb	otelcol_process_memory_rss	246775808
otelcol-v-esrev0-ctr-gt8bb	otelcol_processor_incoming_items	288099
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_cpu_seconds	21
otelcol-v-esrev0-ctr-qnnzh	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_batch_batch_send_size_sum	975631
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_uptime	407
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_memory_rss	319942656
otelcol-v-esrev0-ctr-qnnzh	otelcol_exporter_sent_spans	603665
otelcol-v-esrev0-ctr-qnnzh	otelcol_receiver_refused_spans	319616
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_refused_spans	319616
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_incoming_items	1295247
otelcol-v-esrev0-ctr-qnnzh	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_batch_timeout_trigger_send	685
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_runtime_heap_alloc_bytes	133803936
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_outgoing_items	975631
otelcol-v-esrev0-ctr-qnnzh	otelcol_receiver_accepted_spans	975631
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_runtime_total_alloc_bytes	862355360
otelcol-v-esrev0-ctr-qnnzh	otelcol_exporter_queue_size	96
otelcol-v-esrev0-ctr-qnnzh	otelcol_exporter_queue_batch_send_size_sum	975631
otelcol-v-esrev0-ctr-qnnzh	otelcol_processor_accepted_spans	975631
otelcol-v-esrev0-ctr-qnnzh	otelcol_process_runtime_total_sys_memory_bytes	198568248
otelcol-v-esrev0-ctr-qnnzh	otelcol_exporter_queue_capacity	1000
