pod	metric	value
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_heap_alloc_bytes	53003016
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_incoming_items	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_cpu_seconds	62
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_outgoing_items	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_timeout_trigger_send	6442
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_accepted_spans	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_uptime	1635
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_sent_spans	1736000
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_size	7
otelcol-v-esrev0-ctr-wdxl6	otelcol_processor_batch_batch_send_size_sum	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_alloc_bytes	1586519856
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_accepted_spans	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_memory_rss	223072256
otelcol-v-esrev0-ctr-wdxl6	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-wdxl6	otelcol_process_runtime_total_sys_memory_bytes	93989144
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_batch_send_size_sum	1739278
otelcol-v-esrev0-ctr-wdxl6	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_accepted_spans	3164398
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_timeout_trigger_send	6445
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_sys_memory_bytes	106490136
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_cpu_seconds	74
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_sent_spans	3152365
otelcol-v-esrev0-ctr-xkw7k	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_incoming_items	3164398
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_heap_alloc_bytes	52776880
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_outgoing_items	3164398
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_batch_send_size_sum	3164398
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_size	14
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_runtime_total_alloc_bytes	2364981320
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_accepted_spans	3164398
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_uptime	1635
otelcol-v-esrev0-ctr-xkw7k	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xkw7k	otelcol_process_memory_rss	240340992
otelcol-v-esrev0-ctr-xkw7k	otelcol_exporter_queue_batch_send_size_sum	3164398
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_heap_alloc_bytes	30318352
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_accepted_spans	1779030
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_outgoing_items	1779030
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_batch_send_size_sum	1779030
otelcol-v-esrev0-ctr-jfr98	otelcol_process_cpu_seconds	59
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_sent_spans	1774616
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_accepted_spans	1779030
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_alloc_bytes	1562326632
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_batch_send_size_sum	1779030
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_batch_timeout_trigger_send	6446
otelcol-v-esrev0-ctr-jfr98	otelcol_process_uptime	1635
otelcol-v-esrev0-ctr-jfr98	otelcol_exporter_queue_size	9
otelcol-v-esrev0-ctr-jfr98	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-jfr98	otelcol_process_runtime_total_sys_memory_bytes	92678424
otelcol-v-esrev0-ctr-jfr98	otelcol_process_memory_rss	228823040
otelcol-v-esrev0-ctr-jfr98	otelcol_processor_incoming_items	1779030
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_total_sys_memory_bytes	196655400
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_cpu_seconds	183
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_batch_send_size_sum	14441949
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_outgoing_items	14441949
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_runtime_heap_alloc_bytes	136998232
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_refused_spans	141152
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_accepted_spans	14441949
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_refused_spans	141152
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_sent_spans	14195895
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_memory_rss	321089536
otelcol-v-esrev0-ctr-w7kl9	otelcol_receiver_accepted_spans	14441949
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_incoming_items	14583101
otelcol-v-esrev0-ctr-w7kl9	otelcol_processor_batch_timeout_trigger_send	6406
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-w7kl9	otelcol_process_uptime	1634
otelcol-v-esrev0-ctr-w7kl9	otelcol_exporter_queue_size	62
