phase	pod	status	restarts	node
pre_steady	composepost-service-v-esrev0-ctr-594fc86567-n978h	Running	0	node-1
pre_steady	elasticsearch-v-esrev0-ctr-5f879f88f-c64pj	Running	0	node-9
pre_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-gdr5q	Running	0	node-1
pre_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	Running	0	node-1
pre_steady	jaeger-v-esrev0-ctr-84f5c655cf-crv2v	Running	0	node-9
pre_steady	media-service-v-esrev0-ctr-77668676b5-8jr4g	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-9s5t6	Running	0	node-9
pre_steady	otelcol-v-esrev0-ctr-ff2lw	Running	0	node-7
pre_steady	otelcol-v-esrev0-ctr-g5xff	Running	0	node-8
pre_steady	otelcol-v-esrev0-ctr-h8ck2	Running	0	node-2
pre_steady	otelcol-v-esrev0-ctr-jfr98	Running	0	node-6
pre_steady	otelcol-v-esrev0-ctr-pld9t	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-w7kl9	Running	0	node-1
pre_steady	otelcol-v-esrev0-ctr-wdxl6	Running	0	node-4
pre_steady	otelcol-v-esrev0-ctr-xkw7k	Running	0	node-3
pre_steady	post-cache-v-esrev0-ctr-574dd4dfc-4ggs9	Running	0	node-6
pre_steady	post-db-v-esrev0-ctr-5868ddf6b6-t24qm	Running	0	node-6
pre_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	Running	0	node-6
pre_steady	social-cache-v-esrev0-ctr-7f54d587b-7ntkr	Running	0	node-2
pre_steady	social-db-v-esrev0-ctr-56c58b8849-h5s2n	Running	0	node-2
pre_steady	socialgraph-service-v-esrev0-ctr-78d447fd9f-dqk4k	Running	0	node-2
pre_steady	text-service-v-esrev0-ctr-8ddfbc6-m5jsk	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-6fdlm	Running	0	node-4
pre_steady	tracepressure-service-v-esrev0-ctr-6w629	Running	0	node-7
pre_steady	tracepressure-service-v-esrev0-ctr-7rmml	Running	0	node-8
pre_steady	tracepressure-service-v-esrev0-ctr-9mmhl	Running	0	node-1
pre_steady	tracepressure-service-v-esrev0-ctr-dhhz4	Running	0	node-6
pre_steady	tracepressure-service-v-esrev0-ctr-gbn2k	Running	0	node-9
pre_steady	tracepressure-service-v-esrev0-ctr-jmcsv	Running	0	node-2
pre_steady	tracepressure-service-v-esrev0-ctr-n4kvg	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-npv2l	Running	0	node-3
pre_steady	uniqueid-service-v-esrev0-ctr-5b57556ff-6vmp2	Running	0	node-3
pre_steady	urlshorten-db-v-esrev0-ctr-86d9bb8975-t77rf	Running	0	node-7
pre_steady	urlshorten-service-v-esrev0-ctr-7c6b8c8ddb-d9qf8	Running	0	node-7
pre_steady	user-cache-v-esrev0-ctr-684cd455f4-zj2t4	Running	0	node-8
pre_steady	user-db-v-esrev0-ctr-7bf98bf98f-cjxqt	Running	0	node-8
pre_steady	user-service-v-esrev0-ctr-7968799d7-jrfr9	Running	0	node-8
pre_steady	userid-service-v-esrev0-ctr-7db57ffbc5-m2pjm	Running	0	node-5
pre_steady	usermention-service-v-esrev0-ctr-7c457555d4-7ld96	Running	0	node-3
pre_steady	usertimeline-cache-v-esrev0-ctr-589fc9d597-7pvfp	Running	0	node-4
pre_steady	usertimeline-db-v-esrev0-ctr-6d758f7b4b-cc46t	Running	0	node-4
pre_steady	usertimeline-service-v-esrev0-ctr-76fc8cdf9d-j94fm	Running	0	node-4
pre_steady	wrk2api-service-v-esrev0-ctr-2drfj	Running	0	node-5
pre_steady	wrk2api-service-v-esrev0-ctr-bn6p6	Running	0	node-6
pre_steady	wrk2api-service-v-esrev0-ctr-c6t9b	Running	0	node-7
pre_steady	wrk2api-service-v-esrev0-ctr-t82kq	Running	0	node-3
pre_steady	wrk2api-service-v-esrev0-ctr-tthkf	Running	0	node-1
pre_steady	wrk2api-service-v-esrev0-ctr-wmlrp	Running	0	node-8
pre_steady	wrk2api-service-v-esrev0-ctr-xl98q	Running	0	node-9
pre_steady	wrk2api-service-v-esrev0-ctr-xmwp2	Running	0	node-4
pre_steady	wrk2api-service-v-esrev0-ctr-xwvl9	Running	0	node-2
post_steady	composepost-service-v-esrev0-ctr-594fc86567-n978h	Running	0	node-1
post_steady	elasticsearch-v-esrev0-ctr-5f879f88f-c64pj	Running	0	node-9
post_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-gdr5q	Running	0	node-1
post_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	Running	0	node-1
post_steady	jaeger-v-esrev0-ctr-84f5c655cf-crv2v	Running	0	node-9
post_steady	media-service-v-esrev0-ctr-77668676b5-8jr4g	Running	0	node-5
post_steady	otelcol-v-esrev0-ctr-9s5t6	Running	0	node-9
post_steady	otelcol-v-esrev0-ctr-ff2lw	Running	0	node-7
post_steady	otelcol-v-esrev0-ctr-g5xff	Running	0	node-8
post_steady	otelcol-v-esrev0-ctr-h8ck2	Running	0	node-2
post_steady	otelcol-v-esrev0-ctr-jfr98	Running	0	node-6
post_steady	otelcol-v-esrev0-ctr-pld9t	Running	0	node-5
post_steady	otelcol-v-esrev0-ctr-w7kl9	Running	0	node-1
post_steady	otelcol-v-esrev0-ctr-wdxl6	Running	0	node-4
post_steady	otelcol-v-esrev0-ctr-xkw7k	Running	0	node-3
post_steady	post-cache-v-esrev0-ctr-574dd4dfc-4ggs9	Running	0	node-6
post_steady	post-db-v-esrev0-ctr-5868ddf6b6-t24qm	Running	0	node-6
post_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	Running	0	node-6
post_steady	social-cache-v-esrev0-ctr-7f54d587b-7ntkr	Running	0	node-2
