service	pod	key	value
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	spans_received	322593
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	spans_flushed	322593
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	spans_sent	322593
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	batches_sent	25670
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	spans_dropped	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	batches_dropped	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	send_deadline	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	send_unavailable	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	send_exhausted	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	send_canceled	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	send_other	0
wrk2api	wrk2api-service-v-esrev0-ctr-2drfj	buffer_depth	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	spans_received	11419943
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	spans_flushed	11419943
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	spans_sent	11309534
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	batches_sent	100214
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	spans_dropped	110409
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	batches_dropped	552
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	send_deadline	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	send_unavailable	552
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	send_exhausted	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	send_canceled	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	send_other	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-n978h	buffer_depth	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	spans_received	2854970
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	spans_flushed	2854970
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	spans_sent	2827263
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	batches_sent	25054
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	spans_dropped	27707
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	batches_dropped	138
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	send_deadline	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	send_unavailable	138
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	send_exhausted	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	send_canceled	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	send_other	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-d2w7n	buffer_depth	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	spans_received	1427494
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	spans_flushed	1427494
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	spans_sent	1427494
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	batches_sent	12596
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	spans_dropped	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	batches_dropped	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	send_deadline	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	send_unavailable	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	send_exhausted	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	send_canceled	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	send_other	0
media	media-service-v-esrev0-ctr-77668676b5-8jr4g	buffer_depth	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	spans_received	1427485
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	spans_flushed	1427485
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	spans_sent	1427485
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	batches_sent	12595
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	spans_dropped	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	batches_dropped	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	send_deadline	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	send_unavailable	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	send_exhausted	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	send_canceled	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	send_other	0
post-storage	post-storage-service-v-esrev0-ctr-76d4db74d8-w752v	buffer_depth	0
socialgraph	socialgraph-service-v-esrev0-ctr-78d447fd9f-dqk4k	spans_received	1541540
