phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	166Mi	31m	12174Mi
running	10s		31m	12174Mi
running	20s	712m	40Mi	497m	12195Mi
running	30s	804m	37Mi	832m	12229Mi
running	41s	804m	37Mi	832m	12229Mi
running	51s	849m	38Mi	877m	12263Mi
running	61s	841m	39Mi	763m	12297Mi
running	71s	841m	39Mi	763m	12297Mi
running	81s	3419m	291Mi	4804m	12730Mi
running	92s	5441m	256Mi	8734m	13618Mi
running	102s	5441m	256Mi	8734m	13618Mi
running	112s	5157m	304Mi	11014m	14684Mi
running	122s	4782m	337Mi	10165m	15741Mi
running	133s	4782m	337Mi	10165m	15741Mi
running	143s	2369m	230Mi	8687m	16705Mi
running	153s	3103m	314Mi	8898m	14010Mi
running	163s	3103m	314Mi	8898m	14010Mi
running	173s	4906m	366Mi	11064m	14951Mi
running	184s	4866m	376Mi	9115m	15837Mi
running	194s	4866m	376Mi	9115m	15837Mi
running	204s	4833m	358Mi	9832m	17021Mi
running	214s	4081m	480Mi	8437m	18111Mi
running	224s	3944m	566Mi	12708m	15677Mi
running	235s	3944m	566Mi	12708m	15677Mi
running	245s	4477m	548Mi	12432m	16856Mi
running	255s	4373m	628Mi	11462m	17849Mi
running	265s	4373m	628Mi	11462m	17849Mi
running	276s	3813m	663Mi	11888m	18902Mi
running	286s	3744m	730Mi	12499m	19374Mi
running	296s	3744m	730Mi	12499m	19374Mi
running	306s	3587m	792Mi	9347m	18560Mi
running	316s	4527m	837Mi	10858m	18052Mi
running	327s	4527m	837Mi	10858m	18052Mi
running	337s	4106m	884Mi	12497m	19147Mi
running	347s	4019m	920Mi	11135m	20214Mi
running	357s	4019m	920Mi	11135m	20214Mi
running	368s	4224m	978Mi	11998m	20105Mi
running	378s	3018m	1026Mi	11982m	20109Mi
running	388s	3018m	1026Mi	11982m	20109Mi
running	398s	4674m	991Mi	11002m	19593Mi
running	408s	4409m	1040Mi	11872m	19321Mi
running	419s	4409m	1040Mi	11872m	19321Mi
running	429s	4032m	1038Mi	9676m	20211Mi
running	439s	3609m	996Mi	10663m	19976Mi
running	449s	3609m	996Mi	10663m	19976Mi
