pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	878207
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	1873
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	1305918288
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	303976448
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	197077304
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	1337471
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_enqueue_failed_spans	55238
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	933445
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	95408160
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	933445
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	53
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	3064
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	933445
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	933445
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	759249
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	827986
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	767906
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	827986
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	1871
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_sent_spans	644136
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_size	999
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_memory_rss	306696192
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_incoming_items	1224844
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_sys_memory_bytes	198682936
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_heap_alloc_bytes	106999360
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_send_failed_spans	0
