pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	758445
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	1553
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	1062885208
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	271179776
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	197077304
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	1162471
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	758445
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	98994960
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	758445
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	43
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	2041
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	758445
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	758445
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	621475
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	285
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	652986
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	652986
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	652986
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	1551
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_sent_spans	503867
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_size	343
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_memory_rss	266661888
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_incoming_items	1049844
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_sys_memory_bytes	198682936
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_heap_alloc_bytes	79315504
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_timeout_trigger_send	2043
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_alloc_bytes	964271016
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_outgoing_items	652986
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_cpu_seconds	43
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_batch_send_size_sum	652986
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_accepted_spans	618006
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_sys_memory_bytes	198404408
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_size	645
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_accepted_spans	618006
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_incoming_items	1047806
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_outgoing_items	618006
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_batch_send_size_sum	618006
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-bfddt	otelcol_process_cpu_seconds	42
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_timeout_trigger_send	1979
otelcol-v-esrev0-ctr-bfddt	otelcol_process_memory_rss	304148480
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_sent_spans	441633
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_heap_alloc_bytes	129107312
otelcol-v-esrev0-ctr-bfddt	otelcol_process_uptime	1550
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_alloc_bytes	981599656
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_batch_send_size_sum	618006
otelcol-v-esrev0-ctr-g62pv	otelcol_process_uptime	1550
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_outgoing_items	650217
otelcol-v-esrev0-ctr-g62pv	otelcol_process_memory_rss	268378112
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_size	357
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_refused_spans	405508
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_accepted_spans	650217
otelcol-v-esrev0-ctr-g62pv	otelcol_process_cpu_seconds	42
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_accepted_spans	650217
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_timeout_trigger_send	2043
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_refused_spans	405508
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_heap_alloc_bytes	88726144
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_sent_spans	502438
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_total_sys_memory_bytes	202537256
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_total_alloc_bytes	1049062488
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_batch_send_size_sum	650217
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_incoming_items	1055725
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_batch_send_size_sum	650217
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_batch_send_size_sum	1378318
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_size	257
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_accepted_spans	1378318
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_outgoing_items	1378318
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_refused_spans	2301000
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_total_sys_memory_bytes	195684664
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_cpu_seconds	73
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_accepted_spans	1378318
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_total_alloc_bytes	2367300896
otelcol-v-esrev0-ctr-8t6hr	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_memory_rss	319197184
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_sent_spans	1014826
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_queue_batch_send_size_sum	1378318
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_batch_timeout_trigger_send	1554
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_runtime_heap_alloc_bytes	138927272
otelcol-v-esrev0-ctr-8t6hr	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_refused_spans	2301000
otelcol-v-esrev0-ctr-8t6hr	otelcol_processor_incoming_items	3679318
otelcol-v-esrev0-ctr-8t6hr	otelcol_process_uptime	1549
otelcol-v-esrev0-ctr-z6wjx	otelcol_receiver_accepted_spans	196821
otelcol-v-esrev0-ctr-z6wjx	otelcol_processor_outgoing_items	196821
