phase	pod	status	restarts	node
pre_steady	composepost-service-v-esrev0-ctr-594fc86567-p877c	Running	0	node-1
pre_steady	elasticsearch-v-esrev0-ctr-556dcffbb-x9xh4	Running	0	node-9
pre_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-bj69t	Running	0	node-1
pre_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-6jbkq	Running	0	node-1
pre_steady	jaeger-v-esrev0-ctr-64f8db49b8-p9qct	Running	0	node-9
pre_steady	media-service-v-esrev0-ctr-77668676b5-vvz4r	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-8t6hr	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-bfddt	Running	0	node-6
pre_steady	otelcol-v-esrev0-ctr-g62pv	Running	0	node-8
pre_steady	otelcol-v-esrev0-ctr-gt8bb	Running	0	node-3
pre_steady	otelcol-v-esrev0-ctr-l4kzt	Running	0	node-2
pre_steady	otelcol-v-esrev0-ctr-qnnzh	Running	0	node-1
pre_steady	otelcol-v-esrev0-ctr-snl49	Running	0	node-7
pre_steady	otelcol-v-esrev0-ctr-vn5tk	Running	0	node-4
pre_steady	otelcol-v-esrev0-ctr-z6wjx	Running	0	node-9
pre_steady	post-cache-v-esrev0-ctr-574dd4dfc-gz5qr	Running	0	node-6
pre_steady	post-db-v-esrev0-ctr-5868ddf6b6-vnm29	Running	0	node-6
pre_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-stzzc	Running	0	node-6
pre_steady	social-cache-v-esrev0-ctr-7f54d587b-sggqv	Running	0	node-2
pre_steady	social-db-v-esrev0-ctr-56c58b8849-zb2rn	Running	0	node-2
pre_steady	socialgraph-service-v-esrev0-ctr-78d447fd9f-54q9c	Running	0	node-2
pre_steady	text-service-v-esrev0-ctr-8ddfbc6-vpdgd	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-2llf7	Running	0	node-7
pre_steady	tracepressure-service-v-esrev0-ctr-7xqfv	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-88dlh	Running	0	node-8
pre_steady	tracepressure-service-v-esrev0-ctr-98j44	Running	0	node-4
pre_steady	tracepressure-service-v-esrev0-ctr-gl84j	Running	0	node-1
pre_steady	tracepressure-service-v-esrev0-ctr-lqqht	Running	0	node-6
pre_steady	tracepressure-service-v-esrev0-ctr-m4d4m	Running	0	node-2
pre_steady	tracepressure-service-v-esrev0-ctr-rhs2w	Running	0	node-9
pre_steady	tracepressure-service-v-esrev0-ctr-s4fjv	Running	0	node-3
pre_steady	uniqueid-service-v-esrev0-ctr-5b57556ff-x42h6	Running	0	node-3
