pod	metric	value
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_heap_alloc_bytes	131203776
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_enqueue_failed_spans	71789
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_accepted_spans	362095
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_total_sys_memory_bytes	170215736
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_size	997
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_timeout_trigger_send	1720
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_total_alloc_bytes	425704496
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_accepted_spans	362095
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_uptime	553
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_memory_rss	304959488
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_batch_send_size_sum	290306
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_incoming_items	362095
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_cpu_seconds	16
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_sent_spans	143489
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_batch_send_size_sum	362095
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_outgoing_items	362095
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_process_cpu_seconds	16
otelcol-v-esrev0-ctr-vk956	otelcol_processor_incoming_items	364387
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_timeout_trigger_send	1688
otelcol-v-esrev0-ctr-vk956	otelcol_processor_outgoing_items	364387
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_total_alloc_bytes	432078784
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_heap_alloc_bytes	101073632
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_batch_send_size_sum	364387
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_enqueue_failed_spans	76098
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_sent_spans	128499
otelcol-v-esrev0-ctr-vk956	otelcol_processor_accepted_spans	364387
otelcol-v-esrev0-ctr-vk956	otelcol_process_uptime	554
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_accepted_spans	364387
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_batch_send_size_sum	288289
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_total_sys_memory_bytes	171542840
otelcol-v-esrev0-ctr-vk956	otelcol_process_memory_rss	306900992
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_incoming_items	1241568
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_total_alloc_bytes	1120708504
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_size	705
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_refused_spans	353889
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-hqck5	otelcol_process_uptime	553
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_outgoing_items	887679
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_timeout_trigger_send	1431
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_refused_spans	353889
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_heap_alloc_bytes	143623088
otelcol-v-esrev0-ctr-hqck5	otelcol_process_memory_rss	318873600
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_accepted_spans	887679
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_accepted_spans	887679
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_batch_send_size_sum	887679
otelcol-v-esrev0-ctr-hqck5	otelcol_process_cpu_seconds	34
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_batch_send_size_sum	887679
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_sent_spans	550448
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_total_sys_memory_bytes	199285032
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_outgoing_items	1392291
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_batch_send_size_sum	1392291
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_process_cpu_seconds	60
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_sent_spans	1036237
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_total_sys_memory_bytes	198568248
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_total_alloc_bytes	2230821768
otelcol-v-esrev0-ctr-q68xb	otelcol_process_memory_rss	324698112
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_refused_spans	1428741
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_accepted_spans	1392291
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_refused_spans	1428741
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_size	412
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_timeout_trigger_send	1132
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_accepted_spans	1392291
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_batch_send_size_sum	1392291
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_incoming_items	2821032
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_heap_alloc_bytes	141315176
otelcol-v-esrev0-ctr-q68xb	otelcol_process_uptime	552
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_process_cpu_seconds	17
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_sent_spans	156910
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_outgoing_items	338274
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_batch_send_size_sum	278755
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_accepted_spans	338274
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_enqueue_failed_spans	59519
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_accepted_spans	338274
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_timeout_trigger_send	1745
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_total_alloc_bytes	423349680
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_heap_alloc_bytes	78354704
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_incoming_items	338274
otelcol-v-esrev0-ctr-gplvn	otelcol_process_uptime	553
otelcol-v-esrev0-ctr-gplvn	otelcol_process_memory_rss	302735360
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_batch_send_size_sum	338274
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_total_sys_memory_bytes	166234424
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_batch_send_size_sum	362452
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_outgoing_items	362452
otelcol-v-esrev0-ctr-xxc88	otelcol_process_cpu_seconds	17
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_sent_spans	129532
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_accepted_spans	362452
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_process_memory_rss	306016256
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_accepted_spans	362452
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_timeout_trigger_send	1691
otelcol-v-esrev0-ctr-xxc88	otelcol_process_uptime	553
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_total_alloc_bytes	426606896
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_incoming_items	362452
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_batch_send_size_sum	287204
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_total_sys_memory_bytes	172067128
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_heap_alloc_bytes	90326776
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_enqueue_failed_spans	75248
otelcol-v-esrev0-ctr-dt7mj	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_cpu_seconds	19
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_incoming_items	61075
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_uptime	552
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_runtime_total_sys_memory_bytes	88418584
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_sent_spans	31137
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_memory_rss	220786688
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_outgoing_items	61075
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_batch_timeout_trigger_send	1692
otelcol-v-esrev0-ctr-dt7mj	otelcol_receiver_accepted_spans	61075
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_runtime_total_alloc_bytes	241985440
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_accepted_spans	61075
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_queue_size	995
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_enqueue_failed_spans	9300
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_batch_batch_send_size_sum	51775
otelcol-v-esrev0-ctr-dt7mj	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_queue_batch_send_size_sum	61075
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_runtime_heap_alloc_bytes	47759392
otelcol-v-esrev0-ctr-4972h	otelcol_receiver_accepted_spans	452115
otelcol-v-esrev0-ctr-4972h	otelcol_processor_outgoing_items	452115
otelcol-v-esrev0-ctr-4972h	otelcol_process_cpu_seconds	18
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-4972h	otelcol_process_runtime_total_sys_memory_bytes	162961704
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_sent_spans	280521
otelcol-v-esrev0-ctr-4972h	otelcol_process_uptime	556
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-4972h	otelcol_processor_accepted_spans	452115
otelcol-v-esrev0-ctr-4972h	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-4972h	otelcol_process_runtime_heap_alloc_bytes	91547856
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-4972h	otelcol_processor_incoming_items	452115
otelcol-v-esrev0-ctr-4972h	otelcol_processor_batch_batch_send_size_sum	398076
otelcol-v-esrev0-ctr-4972h	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_queue_batch_send_size_sum	452115
otelcol-v-esrev0-ctr-4972h	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-4972h	otelcol_processor_batch_timeout_trigger_send	1795
otelcol-v-esrev0-ctr-4972h	otelcol_process_memory_rss	294899712
otelcol-v-esrev0-ctr-4972h	otelcol_exporter_enqueue_failed_spans	54039
otelcol-v-esrev0-ctr-4972h	otelcol_process_runtime_total_alloc_bytes	482461360
otelcol-v-esrev0-ctr-ht774	otelcol_processor_incoming_items	613089
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-ht774	otelcol_process_runtime_total_sys_memory_bytes	184953144
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-ht774	otelcol_processor_outgoing_items	612439
otelcol-v-esrev0-ctr-ht774	otelcol_processor_batch_timeout_trigger_send	1723
otelcol-v-esrev0-ctr-ht774	otelcol_receiver_refused_spans	650
otelcol-v-esrev0-ctr-ht774	otelcol_processor_accepted_spans	612439
otelcol-v-esrev0-ctr-ht774	otelcol_process_uptime	554
otelcol-v-esrev0-ctr-ht774	otelcol_process_runtime_heap_alloc_bytes	134139752
otelcol-v-esrev0-ctr-ht774	otelcol_process_cpu_seconds	23
otelcol-v-esrev0-ctr-ht774	otelcol_processor_refused_spans	650
otelcol-v-esrev0-ctr-ht774	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-ht774	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-ht774	otelcol_processor_batch_batch_send_size_sum	497436
otelcol-v-esrev0-ctr-ht774	otelcol_process_runtime_total_alloc_bytes	626962112
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_queue_batch_send_size_sum	612439
otelcol-v-esrev0-ctr-ht774	otelcol_receiver_accepted_spans	612439
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_sent_spans	256343
otelcol-v-esrev0-ctr-ht774	otelcol_process_memory_rss	319807488
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_queue_size	999
otelcol-v-esrev0-ctr-ht774	otelcol_exporter_enqueue_failed_spans	115003
