pod	metric	value
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_heap_alloc_bytes	56898600
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_accepted_spans	162095
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_total_sys_memory_bytes	91867416
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_size	171
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_timeout_trigger_send	761
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_runtime_total_alloc_bytes	191784768
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_accepted_spans	162095
otelcol-v-esrev0-ctr-fjx6v	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_uptime	239
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_memory_rss	220413952
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_batch_batch_send_size_sum	162095
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_incoming_items	162095
otelcol-v-esrev0-ctr-fjx6v	otelcol_process_cpu_seconds	6
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_sent_spans	78430
otelcol-v-esrev0-ctr-fjx6v	otelcol_exporter_queue_batch_send_size_sum	162095
otelcol-v-esrev0-ctr-fjx6v	otelcol_processor_outgoing_items	162095
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_process_cpu_seconds	6
otelcol-v-esrev0-ctr-vk956	otelcol_processor_incoming_items	164387
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_timeout_trigger_send	762
otelcol-v-esrev0-ctr-vk956	otelcol_processor_outgoing_items	164387
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_total_alloc_bytes	197234040
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_heap_alloc_bytes	61486896
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_batch_send_size_sum	164387
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_sent_spans	85519
otelcol-v-esrev0-ctr-vk956	otelcol_processor_accepted_spans	164387
otelcol-v-esrev0-ctr-vk956	otelcol_process_uptime	239
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_size	162
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-vk956	otelcol_receiver_accepted_spans	164387
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_batch_send_size_sum	164387
otelcol-v-esrev0-ctr-vk956	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vk956	otelcol_process_runtime_total_sys_memory_bytes	88664344
otelcol-v-esrev0-ctr-vk956	otelcol_process_memory_rss	223186944
otelcol-v-esrev0-ctr-vk956	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_incoming_items	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_total_alloc_bytes	450982544
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_size	161
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-hqck5	otelcol_process_uptime	238
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_outgoing_items	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_timeout_trigger_send	765
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_heap_alloc_bytes	112407976
otelcol-v-esrev0-ctr-hqck5	otelcol_process_memory_rss	299266048
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_accepted_spans	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_accepted_spans	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_processor_batch_batch_send_size_sum	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_process_cpu_seconds	10
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_batch_send_size_sum	616568
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_sent_spans	344453
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-hqck5	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-hqck5	otelcol_process_runtime_total_sys_memory_bytes	167958824
otelcol-v-esrev0-ctr-hqck5	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_outgoing_items	1009256
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_batch_send_size_sum	1009256
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_process_cpu_seconds	19
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_sent_spans	649474
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_total_sys_memory_bytes	197781816
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_total_alloc_bytes	872944520
otelcol-v-esrev0-ctr-q68xb	otelcol_process_memory_rss	324227072
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_refused_spans	286776
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_accepted_spans	1009256
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_refused_spans	286776
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_size	92
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_batch_timeout_trigger_send	692
otelcol-v-esrev0-ctr-q68xb	otelcol_receiver_accepted_spans	1009256
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_batch_send_size_sum	1009256
otelcol-v-esrev0-ctr-q68xb	otelcol_processor_incoming_items	1296032
otelcol-v-esrev0-ctr-q68xb	otelcol_process_runtime_heap_alloc_bytes	130305032
otelcol-v-esrev0-ctr-q68xb	otelcol_process_uptime	237
otelcol-v-esrev0-ctr-q68xb	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_process_cpu_seconds	6
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_sent_spans	88304
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_outgoing_items	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_batch_send_size_sum	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_accepted_spans	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_receiver_accepted_spans	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_size	152
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_batch_timeout_trigger_send	758
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_total_alloc_bytes	189111632
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_heap_alloc_bytes	57960632
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-gplvn	otelcol_processor_incoming_items	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_process_uptime	239
otelcol-v-esrev0-ctr-gplvn	otelcol_process_memory_rss	222597120
otelcol-v-esrev0-ctr-gplvn	otelcol_exporter_queue_batch_send_size_sum	163274
otelcol-v-esrev0-ctr-gplvn	otelcol_process_runtime_total_sys_memory_bytes	92645656
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_batch_send_size_sum	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_outgoing_items	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_process_cpu_seconds	6
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_sent_spans	81524
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_accepted_spans	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_refused_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_process_memory_rss	221786112
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_accepted_spans	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_exporter_queue_size	165
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_timeout_trigger_send	758
otelcol-v-esrev0-ctr-xxc88	otelcol_process_uptime	239
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_total_alloc_bytes	197667464
otelcol-v-esrev0-ctr-xxc88	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_incoming_items	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_processor_batch_batch_send_size_sum	162452
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_total_sys_memory_bytes	89061672
otelcol-v-esrev0-ctr-xxc88	otelcol_process_runtime_heap_alloc_bytes	60929536
otelcol-v-esrev0-ctr-dt7mj	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_cpu_seconds	8
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_incoming_items	36075
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_uptime	238
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_runtime_total_sys_memory_bytes	71092504
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_sent_spans	21048
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_memory_rss	203960320
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_outgoing_items	36075
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_batch_timeout_trigger_send	753
otelcol-v-esrev0-ctr-dt7mj	otelcol_receiver_accepted_spans	36075
otelcol-v-esrev0-ctr-dt7mj	otelcol_process_runtime_total_alloc_bytes	116692832
otelcol-v-esrev0-ctr-dt7mj	otelcol_processor_accepted_spans	36075
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_queue_size	171
otelcol-v-esrev0-ctr-dt7mj	otelcol_exporter_queue_capacity	1000
