phase	pod	status	restarts	node
pre_steady	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	Running	0	node-1
pre_steady	elasticsearch-v-esrev0-ctr-5f879f88f-jl59x	Running	0	node-9
pre_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-44k6n	Running	0	node-1
pre_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	Running	0	node-1
pre_steady	jaeger-v-esrev0-ctr-6fbbbc7bdb-w6m7j	Running	0	node-9
pre_steady	media-service-v-esrev0-ctr-77668676b5-q4pj8	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-4972h	Running	0	node-2
pre_steady	otelcol-v-esrev0-ctr-dt7mj	Running	0	node-9
pre_steady	otelcol-v-esrev0-ctr-fjx6v	Running	0	node-7
pre_steady	otelcol-v-esrev0-ctr-gplvn	Running	0	node-4
pre_steady	otelcol-v-esrev0-ctr-hqck5	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-ht774	Running	0	node-3
pre_steady	otelcol-v-esrev0-ctr-q68xb	Running	0	node-1
pre_steady	otelcol-v-esrev0-ctr-vk956	Running	0	node-8
pre_steady	otelcol-v-esrev0-ctr-xxc88	Running	0	node-6
pre_steady	post-cache-v-esrev0-ctr-574dd4dfc-tls25	Running	0	node-6
pre_steady	post-db-v-esrev0-ctr-5868ddf6b6-7d2cw	Running	0	node-6
pre_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-95k4f	Running	0	node-6
pre_steady	social-cache-v-esrev0-ctr-7f54d587b-jm6wx	Running	0	node-2
pre_steady	social-db-v-esrev0-ctr-56c58b8849-xtpvg	Running	0	node-2
pre_steady	socialgraph-service-v-esrev0-ctr-78d447fd9f-jlr2p	Running	0	node-2
pre_steady	text-service-v-esrev0-ctr-8ddfbc6-cv5jz	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-2mrjq	Running	0	node-8
pre_steady	tracepressure-service-v-esrev0-ctr-2nj6t	Running	0	node-4
pre_steady	tracepressure-service-v-esrev0-ctr-7nh74	Running	0	node-6
pre_steady	tracepressure-service-v-esrev0-ctr-kcxvh	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-kt8f2	Running	0	node-7
pre_steady	tracepressure-service-v-esrev0-ctr-sq7dg	Running	0	node-2
pre_steady	tracepressure-service-v-esrev0-ctr-tvskx	Running	0	node-3
pre_steady	tracepressure-service-v-esrev0-ctr-z8tmp	Running	0	node-1
pre_steady	tracepressure-service-v-esrev0-ctr-zkltx	Running	0	node-9
pre_steady	uniqueid-service-v-esrev0-ctr-5b57556ff-pkcg2	Running	0	node-3
pre_steady	urlshorten-db-v-esrev0-ctr-86d9bb8975-8nj7x	Running	0	node-7
pre_steady	urlshorten-service-v-esrev0-ctr-7c6b8c8ddb-hqcwl	Running	0	node-7
pre_steady	user-cache-v-esrev0-ctr-684cd455f4-qz74l	Running	0	node-8
pre_steady	user-db-v-esrev0-ctr-7bf98bf98f-kh2fv	Running	0	node-8
pre_steady	user-service-v-esrev0-ctr-7968799d7-8fzps	Running	0	node-8
pre_steady	userid-service-v-esrev0-ctr-7db57ffbc5-7tgjr	Running	0	node-5
pre_steady	usermention-service-v-esrev0-ctr-7c457555d4-hfsdq	Running	0	node-3
pre_steady	usertimeline-cache-v-esrev0-ctr-589fc9d597-m6vx2	Running	0	node-4
pre_steady	usertimeline-db-v-esrev0-ctr-6d758f7b4b-kkwt8	Running	0	node-4
pre_steady	usertimeline-service-v-esrev0-ctr-76fc8cdf9d-jclbm	Running	0	node-4
pre_steady	wrk2api-service-v-esrev0-ctr-4lfnv	Running	0	node-5
pre_steady	wrk2api-service-v-esrev0-ctr-6wvtz	Running	0	node-4
pre_steady	wrk2api-service-v-esrev0-ctr-7r8hc	Running	0	node-6
pre_steady	wrk2api-service-v-esrev0-ctr-88sl6	Running	0	node-1
pre_steady	wrk2api-service-v-esrev0-ctr-g2dcx	Running	0	node-7
pre_steady	wrk2api-service-v-esrev0-ctr-jdqrl	Running	0	node-8
pre_steady	wrk2api-service-v-esrev0-ctr-pjzbm	Running	0	node-9
pre_steady	wrk2api-service-v-esrev0-ctr-q8dbr	Running	0	node-3
pre_steady	wrk2api-service-v-esrev0-ctr-xdpgj	Running	0	node-2
post_steady	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	Running	0	node-1
post_steady	elasticsearch-v-esrev0-ctr-5f879f88f-jl59x	Running	0	node-9
post_steady	hometimeline-cache-v-esrev0-ctr-6b5db4c7fd-44k6n	Running	0	node-1
post_steady	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	Running	0	node-1
post_steady	jaeger-v-esrev0-ctr-6fbbbc7bdb-w6m7j	Running	0	node-9
post_steady	media-service-v-esrev0-ctr-77668676b5-q4pj8	Running	0	node-5
post_steady	otelcol-v-esrev0-ctr-4972h	Running	0	node-2
post_steady	otelcol-v-esrev0-ctr-dt7mj	Running	0	node-9
post_steady	otelcol-v-esrev0-ctr-fjx6v	Running	0	node-7
post_steady	otelcol-v-esrev0-ctr-gplvn	Running	0	node-4
post_steady	otelcol-v-esrev0-ctr-hqck5	Running	0	node-5
post_steady	otelcol-v-esrev0-ctr-ht774	Running	0	node-3
post_steady	otelcol-v-esrev0-ctr-q68xb	Running	0	node-1
post_steady	otelcol-v-esrev0-ctr-vk956	Running	0	node-8
post_steady	otelcol-v-esrev0-ctr-xxc88	Running	0	node-6
post_steady	post-cache-v-esrev0-ctr-574dd4dfc-tls25	Running	0	node-6
post_steady	post-db-v-esrev0-ctr-5868ddf6b6-7d2cw	Running	0	node-6
post_steady	post-storage-service-v-esrev0-ctr-76d4db74d8-95k4f	Running	0	node-6
post_steady	social-cache-v-esrev0-ctr-7f54d587b-jm6wx	Running	0	node-2
post_steady	social-db-v-esrev0-ctr-56c58b8849-xtpvg	Running	0	node-2
post_steady	socialgraph-service-v-esrev0-ctr-78d447fd9f-jlr2p	Running	0	node-2
post_steady	text-service-v-esrev0-ctr-8ddfbc6-cv5jz	Running	0	node-5
post_steady	tracepressure-service-v-esrev0-ctr-2mrjq	Running	0	node-8
post_steady	tracepressure-service-v-esrev0-ctr-2nj6t	Running	0	node-4
post_steady	tracepressure-service-v-esrev0-ctr-7nh74	Running	0	node-6
post_steady	tracepressure-service-v-esrev0-ctr-kcxvh	Running	0	node-5
post_steady	tracepressure-service-v-esrev0-ctr-kt8f2	Running	0	node-7
post_steady	tracepressure-service-v-esrev0-ctr-sq7dg	Running	0	node-2
post_steady	tracepressure-service-v-esrev0-ctr-tvskx	Running	0	node-3
post_steady	tracepressure-service-v-esrev0-ctr-z8tmp	Running	0	node-1
post_steady	tracepressure-service-v-esrev0-ctr-zkltx	Running	0	node-9
post_steady	uniqueid-service-v-esrev0-ctr-5b57556ff-pkcg2	Running	0	node-3
post_steady	urlshorten-db-v-esrev0-ctr-86d9bb8975-8nj7x	Running	0	node-7
post_steady	urlshorten-service-v-esrev0-ctr-7c6b8c8ddb-hqcwl	Running	0	node-7
post_steady	user-cache-v-esrev0-ctr-684cd455f4-qz74l	Running	0	node-8
post_steady	user-db-v-esrev0-ctr-7bf98bf98f-kh2fv	Running	0	node-8
post_steady	user-service-v-esrev0-ctr-7968799d7-8fzps	Running	0	node-8
post_steady	userid-service-v-esrev0-ctr-7db57ffbc5-7tgjr	Running	0	node-5
post_steady	usermention-service-v-esrev0-ctr-7c457555d4-hfsdq	Running	0	node-3
post_steady	usertimeline-cache-v-esrev0-ctr-589fc9d597-m6vx2	Running	0	node-4
post_steady	usertimeline-db-v-esrev0-ctr-6d758f7b4b-kkwt8	Running	0	node-4
post_steady	usertimeline-service-v-esrev0-ctr-76fc8cdf9d-jclbm	Running	0	node-4
post_steady	wrk2api-service-v-esrev0-ctr-4lfnv	Running	0	node-5
post_steady	wrk2api-service-v-esrev0-ctr-6wvtz	Running	0	node-4
post_steady	wrk2api-service-v-esrev0-ctr-7r8hc	Running	0	node-6
post_steady	wrk2api-service-v-esrev0-ctr-88sl6	Running	0	node-1
post_steady	wrk2api-service-v-esrev0-ctr-g2dcx	Running	0	node-7
post_steady	wrk2api-service-v-esrev0-ctr-jdqrl	Running	0	node-8
post_steady	wrk2api-service-v-esrev0-ctr-pjzbm	Running	0	node-9
post_steady	wrk2api-service-v-esrev0-ctr-q8dbr	Running	0	node-3
post_steady	wrk2api-service-v-esrev0-ctr-xdpgj	Running	0	node-2
