service	pod	key	value
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	spans_received	62310
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	spans_flushed	62310
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	spans_sent	48154
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	batches_sent	5455
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	spans_dropped	14156
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	batches_dropped	3399
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	send_deadline	0
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	send_unavailable	3399
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	send_exhausted	0
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	send_canceled	0
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	send_other	0
wrk2api	wrk2api-service-v-esrev0-ctr-4lfnv	buffer_depth	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	spans_received	2207975
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	spans_flushed	2207975
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	spans_sent	1084999
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	batches_sent	14464
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	spans_dropped	1122976
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	batches_dropped	19101
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	send_deadline	2
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	send_unavailable	19099
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	send_exhausted	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	send_canceled	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	send_other	0
composepost	composepost-service-v-esrev0-ctr-594fc86567-zwqdt	buffer_depth	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	spans_received	551978
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	spans_flushed	551978
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	spans_sent	271003
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	batches_sent	3614
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	spans_dropped	280975
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	batches_dropped	4776
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	send_deadline	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	send_unavailable	4776
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	send_exhausted	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	send_canceled	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	send_other	0
hometimeline	hometimeline-service-v-esrev0-ctr-76848bddcb-md2zf	buffer_depth	0
