phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	626m	97Mi	1157m	5267Mi
running	10s	720m	52Mi	932m	5318Mi
running	21s		932m	5318Mi
running	31s		740m	5354Mi
running	41s	730m	30Mi	746m	5387Mi
running	51s	730m	30Mi	746m	5387Mi
running	62s	715m	27Mi	846m	5421Mi
running	72s	724m	31Mi	707m	5454Mi
running	82s	724m	31Mi	707m	5454Mi
running	92s	1017m	159Mi	854m	5496Mi
running	102s	1356m	472Mi	986m	5551Mi
running	113s	1356m	472Mi	986m	5551Mi
running	123s	985m	683Mi	917m	5606Mi
running	133s	821m	699Mi	923m	5663Mi
running	143s	821m	699Mi	923m	5663Mi
running	154s	791m	730Mi	918m	5720Mi
running	164s	771m	731Mi	1015m	5778Mi
running	174s	767m	734Mi	1026m	5834Mi
running	184s	767m	734Mi	1026m	5834Mi
running	194s	700m	737Mi	898m	5891Mi
running	205s	763m	750Mi	1177m	5957Mi
running	215s	763m	750Mi	1177m	5957Mi
running	225s	761m	752Mi	1434m	6039Mi
running	235s	786m	752Mi	858m	6096Mi
running	245s	786m	752Mi	858m	6096Mi
running	256s	720m	754Mi	1083m	6168Mi
running	266s	763m	754Mi	1293m	6251Mi
running	276s	763m	754Mi	1293m	6251Mi
running	286s	669m	754Mi	885m	6308Mi
running	297s	720m	754Mi	866m	6363Mi
running	307s	720m	754Mi	866m	6363Mi
running	317s	746m	756Mi	1426m	6462Mi
running	327s	740m	756Mi	902m	6521Mi
running	337s	740m	756Mi	902m	6521Mi
running	348s	738m	756Mi	938m	6579Mi
running	358s	650m	756Mi	895m	6635Mi
running	368s	650m	756Mi	895m	6635Mi
running	378s	729m	749Mi	1584m	6751Mi
running	389s	711m	745Mi	996m	6809Mi
running	399s	676m	746Mi	843m	6863Mi
running	409s	676m	746Mi	843m	6863Mi
running	419s	672m	722Mi	906m	6918Mi
running	430s	657m	715Mi	953m	6980Mi
running	440s	657m	715Mi	953m	6980Mi
running	450s	665m	683Mi	1667m	7098Mi
running	460s	691m	650Mi	937m	7154Mi
