pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	1147594
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	4101
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	1829255208
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	305012736
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	197077304
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	1665710
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_enqueue_failed_spans	114090
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	1261684
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	112256592
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	1261684
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	80
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	4656
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	1261684
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	1261684
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	1027372
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	1157405
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	1040443
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	1157405
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	4099
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_sent_spans	922237
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_size	997
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_memory_rss	294436864
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_incoming_items	1554263
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_sys_memory_bytes	198945080
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_heap_alloc_bytes	120081672
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_enqueue_failed_spans	116962
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_timeout_trigger_send	4633
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_alloc_bytes	1722991712
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_outgoing_items	1157405
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_cpu_seconds	83
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_batch_send_size_sum	1157405
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_accepted_spans	1121245
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_sys_memory_bytes	198674744
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_size	999
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_accepted_spans	1121245
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_incoming_items	1551045
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_outgoing_items	1121245
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_batch_send_size_sum	969250
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_enqueue_failed_spans	151995
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-bfddt	otelcol_process_cpu_seconds	81
