pod	metric	value
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_batch_send_size_sum	1031446
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_uptime	3780
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_alloc_bytes	1595858872
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_memory_rss	235139072
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_total_sys_memory_bytes	197077304
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_incoming_items	1490710
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_enqueue_failed_spans	55238
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_accepted_spans	1086684
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_runtime_heap_alloc_bytes	67099072
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_outgoing_items	1086684
otelcol-v-esrev0-ctr-l4kzt	otelcol_process_cpu_seconds	71
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_refused_spans	404026
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_batch_timeout_trigger_send	3663
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_batch_send_size_sum	1086684
otelcol-v-esrev0-ctr-l4kzt	otelcol_processor_accepted_spans	1086684
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_sent_spans	956783
otelcol-v-esrev0-ctr-l4kzt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-l4kzt	otelcol_exporter_queue_size	153
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_accepted_spans	982405
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_batch_send_size_sum	922325
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_accepted_spans	982405
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_uptime	3778
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_sent_spans	849911
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_size	147
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_refused_spans	396858
otelcol-v-esrev0-ctr-vn5tk	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_memory_rss	231309312
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_incoming_items	1379263
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_sys_memory_bytes	198682936
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_heap_alloc_bytes	53340848
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_enqueue_failed_spans	60080
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_batch_timeout_trigger_send	3623
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_runtime_total_alloc_bytes	1497238264
otelcol-v-esrev0-ctr-vn5tk	otelcol_processor_outgoing_items	982405
otelcol-v-esrev0-ctr-vn5tk	otelcol_process_cpu_seconds	72
otelcol-v-esrev0-ctr-vn5tk	otelcol_exporter_queue_batch_send_size_sum	982405
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_accepted_spans	946245
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_sys_memory_bytes	198674744
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_size	161
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_refused_spans	429800
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-bfddt	otelcol_receiver_accepted_spans	946245
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_incoming_items	1376045
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_outgoing_items	946245
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_batch_send_size_sum	853943
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_enqueue_failed_spans	92302
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-bfddt	otelcol_process_cpu_seconds	71
otelcol-v-esrev0-ctr-bfddt	otelcol_processor_batch_timeout_trigger_send	3284
otelcol-v-esrev0-ctr-bfddt	otelcol_process_memory_rss	234053632
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_sent_spans	775523
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_heap_alloc_bytes	55043256
otelcol-v-esrev0-ctr-bfddt	otelcol_process_uptime	3777
otelcol-v-esrev0-ctr-bfddt	otelcol_process_runtime_total_alloc_bytes	1510451624
otelcol-v-esrev0-ctr-bfddt	otelcol_exporter_queue_batch_send_size_sum	946245
otelcol-v-esrev0-ctr-g62pv	otelcol_process_uptime	3778
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_outgoing_items	1003456
otelcol-v-esrev0-ctr-g62pv	otelcol_process_memory_rss	230600704
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_size	168
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_enqueue_failed_spans	74880
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_refused_spans	405508
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_accepted_spans	1003456
otelcol-v-esrev0-ctr-g62pv	otelcol_process_cpu_seconds	69
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_accepted_spans	1003456
otelcol-v-esrev0-ctr-g62pv	otelcol_processor_batch_timeout_trigger_send	3577
otelcol-v-esrev0-ctr-g62pv	otelcol_receiver_refused_spans	405508
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_heap_alloc_bytes	60314816
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-g62pv	otelcol_exporter_sent_spans	846549
otelcol-v-esrev0-ctr-g62pv	otelcol_process_runtime_total_sys_memory_bytes	202537256
