phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	2m	36Mi	4m	2876Mi
running	11s		4m	2876Mi
running	21s		390m	2893Mi
running	31s	713m	28Mi	812m	2927Mi
running	41s	713m	28Mi	812m	2927Mi
running	51s	736m	27Mi	723m	2960Mi
running	62s	755m	30Mi	660m	2994Mi
running	72s	755m	30Mi	660m	2994Mi
running	82s	1108m	192Mi	844m	3039Mi
running	92s	1428m	516Mi	1009m	3070Mi
running	102s	983m	689Mi	1039m	3070Mi
running	113s	983m	689Mi	1039m	3070Mi
running	123s	845m	695Mi	942m	3071Mi
running	133s	724m	711Mi	1110m	3071Mi
running	143s	724m	711Mi	1110m	3071Mi
running	154s	693m	712Mi	1050m	3071Mi
running	164s	623m	712Mi	1889m	3059Mi
running	174s	623m	712Mi	1889m	3059Mi
running	184s	744m	712Mi	1958m	3071Mi
running	194s	714m	712Mi	2161m	3070Mi
running	205s	714m	712Mi	2161m	3070Mi
running	215s	773m	712Mi	1265m	3070Mi
running	225s	743m	712Mi	1228m	3047Mi
running	235s	743m	712Mi	1228m	3047Mi
running	245s	755m	712Mi	997m	3071Mi
running	256s	796m	712Mi	1267m	3021Mi
running	266s	796m	712Mi	1267m	3021Mi
running	276s	758m	712Mi	990m	3070Mi
running	286s	771m	712Mi	949m	3070Mi
running	297s	771m	712Mi	949m	3070Mi
running	307s	644m	715Mi	980m	3045Mi
running	317s	744m	718Mi	959m	3070Mi
running	327s	744m	718Mi	959m	3070Mi
running	337s	751m	718Mi	1213m	3071Mi
running	348s	735m	718Mi	953m	3070Mi
running	358s	748m	704Mi	1075m	3071Mi
running	368s	748m	704Mi	1075m	3071Mi
running	378s	715m	696Mi	1068m	3070Mi
running	389s	840m	658Mi	978m	3071Mi
running	399s	840m	658Mi	978m	3071Mi
running	409s	756m	663Mi	1233m	3067Mi
running	419s	774m	674Mi	943m	3071Mi
running	429s	774m	674Mi	943m	3071Mi
running	440s	720m	675Mi	1221m	3051Mi
running	450s	731m	661Mi	1039m	3070Mi
running	460s	731m	661Mi	1039m	3070Mi
