pod	metric	value
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_total_sys_memory_bytes	85010712
otelcol-sbrev1-ctr-tp9t8	otelcol_processor_incoming_items	168853
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_batch_send_size_sum	168853
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_accepted_spans	168853
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_total_alloc_bytes	715372856
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_capacity	1001
otelcol-sbrev1-ctr-tp9t8	otelcol_process_uptime	687
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-tp9t8	otelcol_processor_outgoing_items	168853
otelcol-sbrev1-ctr-tp9t8	otelcol_process_memory_rss	213463040
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_heap_alloc_bytes	51763584
otelcol-sbrev1-ctr-tp9t8	otelcol_process_cpu_seconds	46
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_sent_spans	168853
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_process_uptime	688
otelcol-sbrev1-ctr-stqxp	otelcol_process_memory_rss	231239680
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_accepted_spans	1628451
otelcol-sbrev1-ctr-stqxp	otelcol_processor_incoming_items	1628451
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_total_sys_memory_bytes	102648088
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_total_alloc_bytes	4135408928
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_heap_alloc_bytes	43210096
otelcol-sbrev1-ctr-stqxp	otelcol_process_cpu_seconds	73
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_queue_capacity	1001
