pod	metric	value
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_total_sys_memory_bytes	84470040
otelcol-sbrev1-ctr-tp9t8	otelcol_processor_incoming_items	36853
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_batch_send_size_sum	36853
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_accepted_spans	36853
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_total_alloc_bytes	250255664
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_queue_capacity	1001
otelcol-sbrev1-ctr-tp9t8	otelcol_process_uptime	380
otelcol-sbrev1-ctr-tp9t8	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-tp9t8	otelcol_processor_outgoing_items	36853
otelcol-sbrev1-ctr-tp9t8	otelcol_process_memory_rss	216948736
otelcol-sbrev1-ctr-tp9t8	otelcol_process_runtime_heap_alloc_bytes	47779136
otelcol-sbrev1-ctr-tp9t8	otelcol_process_cpu_seconds	16
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_sent_spans	36853
otelcol-sbrev1-ctr-tp9t8	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_process_uptime	380
otelcol-sbrev1-ctr-stqxp	otelcol_process_memory_rss	235204608
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_receiver_accepted_spans	296451
otelcol-sbrev1-ctr-stqxp	otelcol_processor_incoming_items	296451
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_total_sys_memory_bytes	102574360
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_total_alloc_bytes	915801008
otelcol-sbrev1-ctr-stqxp	otelcol_process_runtime_heap_alloc_bytes	43670520
otelcol-sbrev1-ctr-stqxp	otelcol_process_cpu_seconds	21
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_queue_capacity	1001
otelcol-sbrev1-ctr-stqxp	otelcol_processor_outgoing_items	296451
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_sent_spans	296451
otelcol-sbrev1-ctr-stqxp	otelcol_exporter_queue_batch_send_size_sum	296451
otelcol-sbrev1-ctr-7rf4j	otelcol_process_uptime	380
otelcol-sbrev1-ctr-7rf4j	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-7rf4j	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-7rf4j	otelcol_process_runtime_heap_alloc_bytes	43682904
otelcol-sbrev1-ctr-7rf4j	otelcol_receiver_accepted_spans	168957
otelcol-sbrev1-ctr-7rf4j	otelcol_process_runtime_total_alloc_bytes	593502208
otelcol-sbrev1-ctr-7rf4j	otelcol_process_memory_rss	229793792
otelcol-sbrev1-ctr-7rf4j	otelcol_processor_incoming_items	168957
otelcol-sbrev1-ctr-7rf4j	otelcol_process_runtime_total_sys_memory_bytes	93128984
otelcol-sbrev1-ctr-7rf4j	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-7rf4j	otelcol_exporter_queue_capacity	1001
otelcol-sbrev1-ctr-7rf4j	otelcol_processor_outgoing_items	168957
otelcol-sbrev1-ctr-7rf4j	otelcol_process_cpu_seconds	15
otelcol-sbrev1-ctr-7rf4j	otelcol_exporter_queue_batch_send_size_sum	168957
otelcol-sbrev1-ctr-7rf4j	otelcol_exporter_sent_spans	168957
otelcol-sbrev1-ctr-7rf4j	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-xgtb7	otelcol_exporter_send_failed_spans	0
