phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev1-ctr-975b75cc9-p5hrh	Running	0	node-1
pre_steady	hometimeline-cache-sbrev1-ctr-fb469dbcc-kdn6s	Running	0	node-1
pre_steady	hometimeline-service-sbrev1-ctr-c7cc8786d-jfmmr	Running	0	node-1
pre_steady	jaeger-sbrev1-ctr-69cfbd6f7f-c9xwk	Running	0	node-9
pre_steady	media-service-sbrev1-ctr-57b76d9ddf-4c92b	Running	0	node-5
pre_steady	otelcol-sbrev1-ctr-7rf4j	Running	0	node-8
pre_steady	otelcol-sbrev1-ctr-8c8c7	Running	0	node-6
pre_steady	otelcol-sbrev1-ctr-g6bqc	Running	0	node-2
pre_steady	otelcol-sbrev1-ctr-lr2ln	Running	0	node-1
pre_steady	otelcol-sbrev1-ctr-stqxp	Running	0	node-3
pre_steady	otelcol-sbrev1-ctr-tp9t8	Running	0	node-9
pre_steady	otelcol-sbrev1-ctr-tz78t	Running	0	node-7
pre_steady	otelcol-sbrev1-ctr-wtdms	Running	0	node-4
pre_steady	otelcol-sbrev1-ctr-xgtb7	Running	0	node-5
pre_steady	post-cache-sbrev1-ctr-58f86b7b9d-2dn5q	Running	0	node-6
pre_steady	post-db-sbrev1-ctr-6bb7b54779-9jttf	Running	0	node-6
pre_steady	post-storage-service-sbrev1-ctr-57b7649cb8-49kmm	Running	0	node-6
pre_steady	social-cache-sbrev1-ctr-79b66979f7-r49qk	Running	0	node-2
pre_steady	social-db-sbrev1-ctr-f585649c8-nss9f	Running	0	node-2
pre_steady	socialgraph-service-sbrev1-ctr-868b679869-vgdzq	Running	0	node-2
pre_steady	text-service-sbrev1-ctr-57b4d78484-bzf8c	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-5zm97	Running	0	node-4
pre_steady	tracepressure-service-sbrev1-ctr-8gfzq	Running	0	node-3
pre_steady	tracepressure-service-sbrev1-ctr-fmch2	Running	0	node-8
pre_steady	tracepressure-service-sbrev1-ctr-hdchs	Running	0	node-2
pre_steady	tracepressure-service-sbrev1-ctr-kjpkg	Running	0	node-7
pre_steady	tracepressure-service-sbrev1-ctr-ltz46	Running	0	node-9
pre_steady	tracepressure-service-sbrev1-ctr-sbrcl	Running	0	node-6
pre_steady	tracepressure-service-sbrev1-ctr-z6gdt	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-zgtff	Running	0	node-1
pre_steady	uniqueid-service-sbrev1-ctr-586dc54497-2wbkf	Running	0	node-3
pre_steady	urlshorten-db-sbrev1-ctr-b4675dcd6-sxmj6	Running	0	node-7
pre_steady	urlshorten-service-sbrev1-ctr-845d7cd7dd-xdpc6	Running	0	node-7
pre_steady	user-cache-sbrev1-ctr-76d45577c5-8qtdl	Running	0	node-8
pre_steady	user-db-sbrev1-ctr-8564bf54f8-64tlq	Running	0	node-8
pre_steady	user-service-sbrev1-ctr-665c7d676f-zbpl5	Running	0	node-8
pre_steady	userid-service-sbrev1-ctr-794487c7fc-krtww	Running	0	node-5
pre_steady	usermention-service-sbrev1-ctr-b7d57b686-szhh7	Running	0	node-3
pre_steady	usertimeline-cache-sbrev1-ctr-58d6fbc658-jnkbm	Running	0	node-4
pre_steady	usertimeline-db-sbrev1-ctr-679b6cd86c-cr55l	Running	0	node-4
pre_steady	usertimeline-service-sbrev1-ctr-757577c9fd-kr62m	Running	0	node-4
pre_steady	wrk2api-service-sbrev1-ctr-dd4nt	Running	0	node-2
pre_steady	wrk2api-service-sbrev1-ctr-fk77r	Running	0	node-9
pre_steady	wrk2api-service-sbrev1-ctr-jgpxf	Running	0	node-8
pre_steady	wrk2api-service-sbrev1-ctr-lp7zt	Running	0	node-7
pre_steady	wrk2api-service-sbrev1-ctr-m58kx	Running	0	node-1
pre_steady	wrk2api-service-sbrev1-ctr-nqlbs	Running	0	node-6
pre_steady	wrk2api-service-sbrev1-ctr-rhtwm	Running	0	node-4
pre_steady	wrk2api-service-sbrev1-ctr-vmgdn	Running	0	node-3
pre_steady	wrk2api-service-sbrev1-ctr-ztscb	Running	0	node-5
post_steady	composepost-service-sbrev1-ctr-975b75cc9-p5hrh	Running	0	node-1
post_steady	hometimeline-cache-sbrev1-ctr-fb469dbcc-kdn6s	Running	0	node-1
post_steady	hometimeline-service-sbrev1-ctr-c7cc8786d-jfmmr	Running	0	node-1
post_steady	jaeger-sbrev1-ctr-69cfbd6f7f-c9xwk	Running	0	node-9
post_steady	media-service-sbrev1-ctr-57b76d9ddf-4c92b	Running	0	node-5
post_steady	otelcol-sbrev1-ctr-7rf4j	Running	0	node-8
post_steady	otelcol-sbrev1-ctr-8c8c7	Running	0	node-6
post_steady	otelcol-sbrev1-ctr-g6bqc	Running	0	node-2
post_steady	otelcol-sbrev1-ctr-lr2ln	Running	0	node-1
post_steady	otelcol-sbrev1-ctr-stqxp	Running	0	node-3
post_steady	otelcol-sbrev1-ctr-tp9t8	Running	0	node-9
post_steady	otelcol-sbrev1-ctr-tz78t	Running	0	node-7
post_steady	otelcol-sbrev1-ctr-wtdms	Running	0	node-4
post_steady	otelcol-sbrev1-ctr-xgtb7	Running	0	node-5
post_steady	post-cache-sbrev1-ctr-58f86b7b9d-2dn5q	Running	0	node-6
post_steady	post-db-sbrev1-ctr-6bb7b54779-9jttf	Running	0	node-6
post_steady	post-storage-service-sbrev1-ctr-57b7649cb8-49kmm	Running	0	node-6
post_steady	social-cache-sbrev1-ctr-79b66979f7-r49qk	Running	0	node-2
post_steady	social-db-sbrev1-ctr-f585649c8-nss9f	Running	0	node-2
post_steady	socialgraph-service-sbrev1-ctr-868b679869-vgdzq	Running	0	node-2
post_steady	text-service-sbrev1-ctr-57b4d78484-bzf8c	Running	0	node-5
post_steady	tracepressure-service-sbrev1-ctr-5zm97	Running	0	node-4
post_steady	tracepressure-service-sbrev1-ctr-8gfzq	Running	0	node-3
post_steady	tracepressure-service-sbrev1-ctr-fmch2	Running	0	node-8
post_steady	tracepressure-service-sbrev1-ctr-hdchs	Running	0	node-2
post_steady	tracepressure-service-sbrev1-ctr-kjpkg	Running	0	node-7
post_steady	tracepressure-service-sbrev1-ctr-ltz46	Running	0	node-9
post_steady	tracepressure-service-sbrev1-ctr-sbrcl	Running	0	node-6
post_steady	tracepressure-service-sbrev1-ctr-z6gdt	Running	0	node-5
post_steady	tracepressure-service-sbrev1-ctr-zgtff	Running	0	node-1
post_steady	uniqueid-service-sbrev1-ctr-586dc54497-2wbkf	Running	0	node-3
post_steady	urlshorten-db-sbrev1-ctr-b4675dcd6-sxmj6	Running	0	node-7
post_steady	urlshorten-service-sbrev1-ctr-845d7cd7dd-xdpc6	Running	0	node-7
post_steady	user-cache-sbrev1-ctr-76d45577c5-8qtdl	Running	0	node-8
post_steady	user-db-sbrev1-ctr-8564bf54f8-64tlq	Running	0	node-8
post_steady	user-service-sbrev1-ctr-665c7d676f-zbpl5	Running	0	node-8
post_steady	userid-service-sbrev1-ctr-794487c7fc-krtww	Running	0	node-5
post_steady	usermention-service-sbrev1-ctr-b7d57b686-szhh7	Running	0	node-3
post_steady	usertimeline-cache-sbrev1-ctr-58d6fbc658-jnkbm	Running	0	node-4
post_steady	usertimeline-db-sbrev1-ctr-679b6cd86c-cr55l	Running	0	node-4
post_steady	usertimeline-service-sbrev1-ctr-757577c9fd-kr62m	Running	0	node-4
post_steady	wrk2api-service-sbrev1-ctr-dd4nt	Running	0	node-2
post_steady	wrk2api-service-sbrev1-ctr-fk77r	Running	0	node-9
post_steady	wrk2api-service-sbrev1-ctr-jgpxf	Running	0	node-8
post_steady	wrk2api-service-sbrev1-ctr-lp7zt	Running	0	node-7
post_steady	wrk2api-service-sbrev1-ctr-m58kx	Running	0	node-1
post_steady	wrk2api-service-sbrev1-ctr-nqlbs	Running	0	node-6
post_steady	wrk2api-service-sbrev1-ctr-rhtwm	Running	0	node-4
post_steady	wrk2api-service-sbrev1-ctr-vmgdn	Running	0	node-3
post_steady	wrk2api-service-sbrev1-ctr-ztscb	Running	0	node-5
