pod	metric	value
otelcol-sbrev1-ctr-wskgr	otelcol_processor_outgoing_items	904922
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_total_sys_memory_bytes	106068264
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_accepted_spans	904922
otelcol-sbrev1-ctr-wskgr	otelcol_process_memory_rss	236601344
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_batch_send_size_sum	904922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_accepted_spans	904922
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-wskgr	otelcol_process_cpu_seconds	38
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_batch_send_size_sum	904922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_sent_spans	904922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_timeout_trigger_send	2454
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_processor_incoming_items	904922
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_process_uptime	762
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_total_alloc_bytes	2025663024
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_heap_alloc_bytes	61309576
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_outgoing_items	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_total_alloc_bytes	2016696664
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_accepted_spans	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_accepted_spans	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_total_sys_memory_bytes	101460248
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_batch_send_size_sum	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_timeout_trigger_send	2458
otelcol-sbrev1-ctr-2rtpb	otelcol_process_cpu_seconds	37
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_batch_send_size_sum	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_uptime	761
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_heap_alloc_bytes	46678424
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_incoming_items	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_sent_spans	907186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_memory_rss	227880960
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-g2nvm	otelcol_process_runtime_total_sys_memory_bytes	281663816
otelcol-sbrev1-ctr-g2nvm	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-g2nvm	otelcol_receiver_refused_spans	978842
otelcol-sbrev1-ctr-g2nvm	otelcol_process_uptime	98
otelcol-sbrev1-ctr-g2nvm	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-g2nvm	otelcol_receiver_failed_spans	0
