pod	metric	value
otelcol-sbrev1-ctr-wskgr	otelcol_processor_outgoing_items	166922
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_total_sys_memory_bytes	101464360
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_accepted_spans	166922
otelcol-sbrev1-ctr-wskgr	otelcol_process_memory_rss	234098688
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_batch_send_size_sum	166922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_accepted_spans	166922
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-wskgr	otelcol_process_cpu_seconds	12
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_batch_send_size_sum	166922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_sent_spans	166922
otelcol-sbrev1-ctr-wskgr	otelcol_processor_batch_timeout_trigger_send	959
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_processor_incoming_items	166922
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-wskgr	otelcol_process_uptime	446
otelcol-sbrev1-ctr-wskgr	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_total_alloc_bytes	472674016
otelcol-sbrev1-ctr-wskgr	otelcol_process_runtime_heap_alloc_bytes	59277488
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_outgoing_items	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_total_alloc_bytes	507826744
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_receiver_accepted_spans	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_accepted_spans	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_total_sys_memory_bytes	101042456
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_batch_send_size_sum	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_timeout_trigger_send	963
otelcol-sbrev1-ctr-2rtpb	otelcol_process_cpu_seconds	11
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_batch_batch_send_size_sum	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_uptime	445
otelcol-sbrev1-ctr-2rtpb	otelcol_process_runtime_heap_alloc_bytes	42398032
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-2rtpb	otelcol_processor_incoming_items	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_sent_spans	169186
otelcol-sbrev1-ctr-2rtpb	otelcol_process_memory_rss	232407040
otelcol-sbrev1-ctr-2rtpb	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-g2nvm	otelcol_process_runtime_total_sys_memory_bytes	281860424
otelcol-sbrev1-ctr-g2nvm	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-g2nvm	otelcol_receiver_refused_spans	488926
otelcol-sbrev1-ctr-g2nvm	otelcol_process_uptime	442
otelcol-sbrev1-ctr-g2nvm	otelcol_exporter_queue_size	4
otelcol-sbrev1-ctr-g2nvm	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-g2nvm	otelcol_processor_incoming_items	706515
