phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev1-ctr-975b75cc9-wkkds	Running	0	node-1
pre_steady	hometimeline-cache-sbrev1-ctr-fb469dbcc-sgcdp	Running	0	node-1
pre_steady	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	Running	0	node-1
pre_steady	jaeger-sbrev1-ctr-85d798b49b-dk7vj	Running	0	node-9
pre_steady	media-service-sbrev1-ctr-57b76d9ddf-k262t	Running	0	node-5
pre_steady	otelcol-sbrev1-ctr-2rtpb	Running	0	node-8
pre_steady	otelcol-sbrev1-ctr-6shgp	Running	0	node-4
pre_steady	otelcol-sbrev1-ctr-f28dq	Running	0	node-5
pre_steady	otelcol-sbrev1-ctr-g2nvm	Running	0	node-1
pre_steady	otelcol-sbrev1-ctr-rct69	Running	0	node-2
pre_steady	otelcol-sbrev1-ctr-t9q9j	Running	0	node-9
pre_steady	otelcol-sbrev1-ctr-vmxdg	Running	0	node-3
pre_steady	otelcol-sbrev1-ctr-wfrcw	Running	0	node-6
pre_steady	otelcol-sbrev1-ctr-wskgr	Running	0	node-7
pre_steady	post-cache-sbrev1-ctr-58f86b7b9d-76flv	Running	0	node-6
pre_steady	post-db-sbrev1-ctr-6bb7b54779-7lznm	Running	0	node-6
pre_steady	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	Running	0	node-6
pre_steady	social-cache-sbrev1-ctr-79b66979f7-sjntl	Running	0	node-2
pre_steady	social-db-sbrev1-ctr-f585649c8-8p8tk	Running	0	node-2
pre_steady	socialgraph-service-sbrev1-ctr-868b679869-65smk	Running	0	node-2
pre_steady	text-service-sbrev1-ctr-57b4d78484-q5ct4	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-4rm95	Running	0	node-4
pre_steady	tracepressure-service-sbrev1-ctr-b5pb8	Running	0	node-7
pre_steady	tracepressure-service-sbrev1-ctr-c9p4j	Running	0	node-3
pre_steady	tracepressure-service-sbrev1-ctr-dlmtv	Running	0	node-9
pre_steady	tracepressure-service-sbrev1-ctr-pq9f5	Running	0	node-6
pre_steady	tracepressure-service-sbrev1-ctr-pqbxl	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-rsx8x	Running	0	node-1
pre_steady	tracepressure-service-sbrev1-ctr-w4nrc	Running	0	node-2
pre_steady	tracepressure-service-sbrev1-ctr-w6qfv	Running	0	node-8
pre_steady	uniqueid-service-sbrev1-ctr-586dc54497-d9qdw	Running	0	node-3
pre_steady	urlshorten-db-sbrev1-ctr-b4675dcd6-8lfjl	Running	0	node-7
pre_steady	urlshorten-service-sbrev1-ctr-845d7cd7dd-jsm8f	Running	0	node-7
pre_steady	user-cache-sbrev1-ctr-76d45577c5-dsjnj	Running	0	node-8
pre_steady	user-db-sbrev1-ctr-8564bf54f8-fr9dj	Running	0	node-8
pre_steady	user-service-sbrev1-ctr-665c7d676f-xlf95	Running	0	node-8
pre_steady	userid-service-sbrev1-ctr-794487c7fc-mhgtk	Running	0	node-5
pre_steady	usermention-service-sbrev1-ctr-b7d57b686-wv5b6	Running	0	node-3
pre_steady	usertimeline-cache-sbrev1-ctr-58d6fbc658-kt8q6	Running	0	node-4
pre_steady	usertimeline-db-sbrev1-ctr-679b6cd86c-4kd2w	Running	0	node-4
pre_steady	usertimeline-service-sbrev1-ctr-757577c9fd-r642w	Running	0	node-4
pre_steady	wrk2api-service-sbrev1-ctr-54qmz	Running	0	node-6
pre_steady	wrk2api-service-sbrev1-ctr-7fbp5	Running	0	node-3
pre_steady	wrk2api-service-sbrev1-ctr-dpgzq	Running	0	node-7
pre_steady	wrk2api-service-sbrev1-ctr-hbgvh	Running	0	node-4
pre_steady	wrk2api-service-sbrev1-ctr-hdh2p	Running	0	node-1
pre_steady	wrk2api-service-sbrev1-ctr-l6hjm	Running	0	node-8
pre_steady	wrk2api-service-sbrev1-ctr-p6tbp	Running	0	node-2
pre_steady	wrk2api-service-sbrev1-ctr-sbrzl	Running	0	node-9
pre_steady	wrk2api-service-sbrev1-ctr-v8774	Running	0	node-5
post_steady	composepost-service-sbrev1-ctr-975b75cc9-wkkds	Running	0	node-1
post_steady	hometimeline-cache-sbrev1-ctr-fb469dbcc-sgcdp	Running	0	node-1
post_steady	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	Running	0	node-1
post_steady	jaeger-sbrev1-ctr-85d798b49b-dk7vj	Running	0	node-9
post_steady	media-service-sbrev1-ctr-57b76d9ddf-k262t	Running	0	node-5
post_steady	otelcol-sbrev1-ctr-2rtpb	Running	0	node-8
post_steady	otelcol-sbrev1-ctr-6shgp	Running	0	node-4
post_steady	otelcol-sbrev1-ctr-f28dq	Running	0	node-5
post_steady	otelcol-sbrev1-ctr-g2nvm	Running	1	12m
post_steady	otelcol-sbrev1-ctr-rct69	Running	0	node-2
post_steady	otelcol-sbrev1-ctr-t9q9j	Running	0	node-9
post_steady	otelcol-sbrev1-ctr-vmxdg	Running	0	node-3
post_steady	otelcol-sbrev1-ctr-wfrcw	Running	0	node-6
post_steady	otelcol-sbrev1-ctr-wskgr	Running	0	node-7
post_steady	post-cache-sbrev1-ctr-58f86b7b9d-76flv	Running	0	node-6
post_steady	post-db-sbrev1-ctr-6bb7b54779-7lznm	Running	0	node-6
post_steady	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	Running	0	node-6
post_steady	social-cache-sbrev1-ctr-79b66979f7-sjntl	Running	0	node-2
post_steady	social-db-sbrev1-ctr-f585649c8-8p8tk	Running	0	node-2
post_steady	socialgraph-service-sbrev1-ctr-868b679869-65smk	Running	0	node-2
post_steady	text-service-sbrev1-ctr-57b4d78484-q5ct4	Running	0	node-5
post_steady	tracepressure-service-sbrev1-ctr-4rm95	Running	0	node-4
post_steady	tracepressure-service-sbrev1-ctr-b5pb8	Running	0	node-7
post_steady	tracepressure-service-sbrev1-ctr-c9p4j	Running	0	node-3
post_steady	tracepressure-service-sbrev1-ctr-dlmtv	Running	0	node-9
post_steady	tracepressure-service-sbrev1-ctr-pq9f5	Running	0	node-6
post_steady	tracepressure-service-sbrev1-ctr-pqbxl	Running	0	node-5
post_steady	tracepressure-service-sbrev1-ctr-rsx8x	Running	0	node-1
post_steady	tracepressure-service-sbrev1-ctr-w4nrc	Running	0	node-2
post_steady	tracepressure-service-sbrev1-ctr-w6qfv	Running	0	node-8
post_steady	uniqueid-service-sbrev1-ctr-586dc54497-d9qdw	Running	0	node-3
post_steady	urlshorten-db-sbrev1-ctr-b4675dcd6-8lfjl	Running	0	node-7
post_steady	urlshorten-service-sbrev1-ctr-845d7cd7dd-jsm8f	Running	0	node-7
post_steady	user-cache-sbrev1-ctr-76d45577c5-dsjnj	Running	0	node-8
post_steady	user-db-sbrev1-ctr-8564bf54f8-fr9dj	Running	0	node-8
post_steady	user-service-sbrev1-ctr-665c7d676f-xlf95	Running	0	node-8
post_steady	userid-service-sbrev1-ctr-794487c7fc-mhgtk	Running	0	node-5
post_steady	usermention-service-sbrev1-ctr-b7d57b686-wv5b6	Running	0	node-3
post_steady	usertimeline-cache-sbrev1-ctr-58d6fbc658-kt8q6	Running	0	node-4
post_steady	usertimeline-db-sbrev1-ctr-679b6cd86c-4kd2w	Running	0	node-4
post_steady	usertimeline-service-sbrev1-ctr-757577c9fd-r642w	Running	0	node-4
post_steady	wrk2api-service-sbrev1-ctr-54qmz	Running	0	node-6
post_steady	wrk2api-service-sbrev1-ctr-7fbp5	Running	0	node-3
post_steady	wrk2api-service-sbrev1-ctr-dpgzq	Running	0	node-7
post_steady	wrk2api-service-sbrev1-ctr-hbgvh	Running	0	node-4
post_steady	wrk2api-service-sbrev1-ctr-hdh2p	Running	0	node-1
post_steady	wrk2api-service-sbrev1-ctr-l6hjm	Running	0	node-8
post_steady	wrk2api-service-sbrev1-ctr-p6tbp	Running	0	node-2
post_steady	wrk2api-service-sbrev1-ctr-sbrzl	Running	0	node-9
post_steady	wrk2api-service-sbrev1-ctr-v8774	Running	0	node-5
