service	pod	key	value
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_received	169271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_flushed	169271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_sent	169271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	batches_sent	9664
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	batches_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_received	169271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_received	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_sent	169271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_sent	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_deadline	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_unavailable	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_exhausted	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_canceled	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_other	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_received	5840031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_flushed	5840031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_sent	1156869
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	batches_sent	13348
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_dropped	4683162
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	batches_dropped	23397
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_received	5840031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_received	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_sent	1156869
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_sent	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_dropped	4683162
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_dropped	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_deadline	14803
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_unavailable	8594
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_exhausted	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_canceled	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_other	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	hp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	spans_received	1459992
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	spans_flushed	1459992
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	spans_sent	258598
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	batches_sent	3179
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	spans_dropped	1201394
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	batches_dropped	6006
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	cp_received	1459992
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	lp_received	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	cp_sent	258598
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	lp_sent	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	cp_dropped	1201394
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	lp_dropped	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	send_deadline	470
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	send_unavailable	5536
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	send_exhausted	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	send_canceled	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	send_other	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	hp_buffer_depth	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	lp_buffer_depth	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	spans_received	730005
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	spans_flushed	730005
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	spans_sent	730005
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	batches_sent	4593
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	spans_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	batches_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	cp_received	730005
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	lp_received	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	cp_sent	730005
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	lp_sent	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	cp_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	lp_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	send_deadline	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	send_unavailable	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	send_exhausted	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	send_canceled	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	send_other	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	hp_buffer_depth	0
media	media-service-sbrev1-ctr-57b76d9ddf-k262t	lp_buffer_depth	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	spans_received	729996
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	spans_flushed	729996
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	spans_sent	729996
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	batches_sent	4593
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	spans_dropped	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	batches_dropped	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	cp_received	729996
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	lp_received	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	cp_sent	729996
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	lp_sent	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	cp_dropped	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	lp_dropped	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	send_deadline	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	send_unavailable	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	send_exhausted	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	send_canceled	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	send_other	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	hp_buffer_depth	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-h94fj	lp_buffer_depth	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	spans_received	843830
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	spans_flushed	843830
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	spans_sent	843830
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	batches_sent	5089
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	spans_dropped	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	batches_dropped	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	cp_received	843830
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	lp_received	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	cp_sent	843830
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	lp_sent	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	cp_dropped	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	lp_dropped	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	send_deadline	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	send_unavailable	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	send_exhausted	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	send_canceled	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	send_other	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	hp_buffer_depth	0
socialgraph	socialgraph-service-sbrev1-ctr-868b679869-65smk	lp_buffer_depth	0
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	spans_received	2190033
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	spans_flushed	2190033
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	spans_sent	2190033
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	batches_sent	13782
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	spans_dropped	0
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	batches_dropped	0
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	cp_received	2190033
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	lp_received	0
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	cp_sent	2190033
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	lp_sent	0
text	text-service-sbrev1-ctr-57b4d78484-q5ct4	cp_dropped	0
