service	pod	key	value
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_received	37271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_flushed	37271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_sent	37271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	batches_sent	3662
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	spans_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	batches_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_received	37271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_received	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_sent	37271
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_sent	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	cp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_deadline	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_unavailable	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_exhausted	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_canceled	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	send_other	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev1-ctr-54qmz	lp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_received	1040031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_flushed	1040031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_sent	156121
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	batches_sent	8323
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	spans_dropped	883910
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	batches_dropped	4419
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_received	1040031
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_received	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_sent	156121
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_sent	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	cp_dropped	883910
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_dropped	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_deadline	3785
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_unavailable	634
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_exhausted	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_canceled	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	send_other	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	hp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-wkkds	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-nvzbq	spans_received	259992
