pod	metric	value
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-796xh	otelcol_processor_accepted_spans	168857
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_timeout_trigger_send	2448
otelcol-sbrev1-ctr-796xh	otelcol_process_memory_rss	219639808
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_batch_send_size_sum	168857
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_heap_alloc_bytes	32695888
otelcol-sbrev1-ctr-796xh	otelcol_receiver_accepted_spans	168857
otelcol-sbrev1-ctr-796xh	otelcol_processor_incoming_items	168857
otelcol-sbrev1-ctr-796xh	otelcol_process_uptime	672
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_total_sys_memory_bytes	90261784
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-796xh	otelcol_process_cpu_seconds	32
otelcol-sbrev1-ctr-796xh	otelcol_exporter_sent_spans	168857
otelcol-sbrev1-ctr-796xh	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_outgoing_items	168857
otelcol-sbrev1-ctr-796xh	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_batch_send_size_sum	168857
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_total_alloc_bytes	633977480
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_accepted_spans	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_total_alloc_bytes	1981379872
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_heap_alloc_bytes	60756632
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_total_sys_memory_bytes	105654552
otelcol-sbrev1-ctr-rzvt2	otelcol_process_memory_rss	232808448
otelcol-sbrev1-ctr-rzvt2	otelcol_process_cpu_seconds	37
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_sent_spans	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_timeout_trigger_send	2456
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_incoming_items	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_accepted_spans	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_outgoing_items	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_batch_send_size_sum	907070
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-rzvt2	otelcol_process_uptime	649
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_batch_send_size_sum	907070
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_timeout_trigger_send	2450
otelcol-sbrev1-ctr-hqjwc	otelcol_process_uptime	656
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_accepted_spans	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_process_cpu_seconds	38
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_batch_send_size_sum	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_total_sys_memory_bytes	105978152
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_batch_send_size_sum	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_sent_spans	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_accepted_spans	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_total_alloc_bytes	1947338224
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_incoming_items	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_heap_alloc_bytes	56066320
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_outgoing_items	899135
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-hqjwc	otelcol_process_memory_rss	235839488
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_incoming_items	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_uptime	668
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-2mdf7	otelcol_process_memory_rss	232726528
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_outgoing_items	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_total_sys_memory_bytes	149403944
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_heap_alloc_bytes	46519504
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_accepted_spans	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_cpu_seconds	38
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_batch_send_size_sum	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_sent_spans	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_timeout_trigger_send	2461
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_accepted_spans	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_batch_send_size_sum	1013767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_total_alloc_bytes	2236802424
otelcol-sbrev1-ctr-rblcl	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-rblcl	otelcol_process_uptime	659
otelcol-sbrev1-ctr-rblcl	otelcol_process_runtime_total_sys_memory_bytes	106195224
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_batch_send_size_sum	904786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_accepted_spans	904786
otelcol-sbrev1-ctr-rblcl	otelcol_receiver_accepted_spans	904786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-rblcl	otelcol_exporter_sent_spans	904786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_timeout_trigger_send	2457
otelcol-sbrev1-ctr-rblcl	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-rblcl	otelcol_process_runtime_total_alloc_bytes	2011455360
otelcol-sbrev1-ctr-rblcl	otelcol_exporter_queue_capacity	1000
