pod	metric	value
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-796xh	otelcol_processor_accepted_spans	36857
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_timeout_trigger_send	957
otelcol-sbrev1-ctr-796xh	otelcol_process_memory_rss	217505792
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_batch_send_size_sum	36857
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_heap_alloc_bytes	47312440
otelcol-sbrev1-ctr-796xh	otelcol_receiver_accepted_spans	36857
otelcol-sbrev1-ctr-796xh	otelcol_processor_incoming_items	36857
otelcol-sbrev1-ctr-796xh	otelcol_process_uptime	356
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_total_sys_memory_bytes	89450776
otelcol-sbrev1-ctr-796xh	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-796xh	otelcol_process_cpu_seconds	11
otelcol-sbrev1-ctr-796xh	otelcol_exporter_sent_spans	36857
otelcol-sbrev1-ctr-796xh	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_outgoing_items	36857
otelcol-sbrev1-ctr-796xh	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-796xh	otelcol_processor_batch_batch_send_size_sum	36857
otelcol-sbrev1-ctr-796xh	otelcol_process_runtime_total_alloc_bytes	218723760
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_accepted_spans	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_total_alloc_bytes	484050184
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_heap_alloc_bytes	44635824
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_process_runtime_total_sys_memory_bytes	96586008
otelcol-sbrev1-ctr-rzvt2	otelcol_process_memory_rss	228175872
otelcol-sbrev1-ctr-rzvt2	otelcol_process_cpu_seconds	11
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_sent_spans	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_timeout_trigger_send	961
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_incoming_items	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-rzvt2	otelcol_receiver_accepted_spans	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_outgoing_items	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_processor_batch_batch_send_size_sum	169070
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-rzvt2	otelcol_process_uptime	333
otelcol-sbrev1-ctr-rzvt2	otelcol_exporter_queue_batch_send_size_sum	169070
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_timeout_trigger_send	956
otelcol-sbrev1-ctr-hqjwc	otelcol_process_uptime	340
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_accepted_spans	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_process_cpu_seconds	11
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_batch_send_size_sum	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_total_sys_memory_bytes	101783848
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_batch_send_size_sum	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_sent_spans	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_receiver_accepted_spans	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_total_alloc_bytes	454348016
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_incoming_items	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-hqjwc	otelcol_process_runtime_heap_alloc_bytes	53868224
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_outgoing_items	167135
otelcol-sbrev1-ctr-hqjwc	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-hqjwc	otelcol_process_memory_rss	235356160
otelcol-sbrev1-ctr-hqjwc	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_failed_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_incoming_items	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_uptime	352
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_size	0
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_capacity	1000
otelcol-sbrev1-ctr-2mdf7	otelcol_process_memory_rss	235995136
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_outgoing_items	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_total_sys_memory_bytes	149141800
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_heap_alloc_bytes	38255672
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_accepted_spans	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_cpu_seconds	13
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_queue_batch_send_size_sum	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_sent_spans	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_timeout_trigger_send	966
otelcol-sbrev1-ctr-2mdf7	otelcol_exporter_send_failed_spans	0
otelcol-sbrev1-ctr-2mdf7	otelcol_receiver_accepted_spans	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_processor_batch_batch_send_size_sum	281767
otelcol-sbrev1-ctr-2mdf7	otelcol_process_runtime_total_alloc_bytes	764760728
otelcol-sbrev1-ctr-rblcl	otelcol_receiver_refused_spans	0
otelcol-sbrev1-ctr-rblcl	otelcol_process_uptime	344
otelcol-sbrev1-ctr-rblcl	otelcol_process_runtime_total_sys_memory_bytes	96872728
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_batch_send_size_sum	166786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_accepted_spans	166786
otelcol-sbrev1-ctr-rblcl	otelcol_receiver_accepted_spans	166786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev1-ctr-rblcl	otelcol_exporter_sent_spans	166786
otelcol-sbrev1-ctr-rblcl	otelcol_processor_batch_timeout_trigger_send	961
