phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	Running	0	node-1
pre_steady	hometimeline-cache-sbrev1-ctr-fb469dbcc-kx262	Running	0	node-1
pre_steady	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	Running	0	node-1
pre_steady	jaeger-sbrev1-ctr-9bdb4b4cd-887d2	Running	0	node-9
pre_steady	media-service-sbrev1-ctr-57b76d9ddf-5grvr	Running	0	node-5
pre_steady	otelcol-sbrev1-ctr-2mdf7	Running	0	node-2
pre_steady	otelcol-sbrev1-ctr-796xh	Running	0	node-9
pre_steady	otelcol-sbrev1-ctr-csmcf	Running	0	node-4
pre_steady	otelcol-sbrev1-ctr-hqjwc	Running	0	node-6
pre_steady	otelcol-sbrev1-ctr-jf56r	Running	0	node-5
pre_steady	otelcol-sbrev1-ctr-jtfh8	Running	0	node-1
pre_steady	otelcol-sbrev1-ctr-rblcl	Running	0	node-7
pre_steady	otelcol-sbrev1-ctr-rzvt2	Running	0	node-8
pre_steady	otelcol-sbrev1-ctr-x8zfj	Running	0	node-3
pre_steady	post-cache-sbrev1-ctr-58f86b7b9d-5tprp	Running	0	node-6
pre_steady	post-db-sbrev1-ctr-6bb7b54779-kcmp5	Running	0	node-6
pre_steady	post-storage-service-sbrev1-ctr-57b7649cb8-jdv48	Running	0	node-6
pre_steady	social-cache-sbrev1-ctr-79b66979f7-f6q8d	Running	0	node-2
pre_steady	social-db-sbrev1-ctr-f585649c8-gh9bb	Running	0	node-2
pre_steady	socialgraph-service-sbrev1-ctr-868b679869-wjnrh	Running	0	node-2
pre_steady	text-service-sbrev1-ctr-57b4d78484-rwlx8	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-6bgc7	Running	0	node-5
pre_steady	tracepressure-service-sbrev1-ctr-6nckd	Running	0	node-6
pre_steady	tracepressure-service-sbrev1-ctr-9bldv	Running	0	node-8
pre_steady	tracepressure-service-sbrev1-ctr-c5nf8	Running	0	node-7
pre_steady	tracepressure-service-sbrev1-ctr-dm845	Running	0	node-3
pre_steady	tracepressure-service-sbrev1-ctr-llkr4	Running	0	node-2
pre_steady	tracepressure-service-sbrev1-ctr-nj4zb	Running	0	node-4
pre_steady	tracepressure-service-sbrev1-ctr-s8gqm	Running	0	node-1
pre_steady	tracepressure-service-sbrev1-ctr-wd8r5	Running	0	node-9
pre_steady	uniqueid-service-sbrev1-ctr-586dc54497-d586z	Running	0	node-3
pre_steady	urlshorten-db-sbrev1-ctr-b4675dcd6-9jtv9	Running	0	node-7
pre_steady	urlshorten-service-sbrev1-ctr-845d7cd7dd-nxhhg	Running	0	node-7
pre_steady	user-cache-sbrev1-ctr-76d45577c5-fqjcb	Running	0	node-8
pre_steady	user-db-sbrev1-ctr-8564bf54f8-zvt54	Running	0	node-8
pre_steady	user-service-sbrev1-ctr-665c7d676f-bdfjk	Running	0	node-8
pre_steady	userid-service-sbrev1-ctr-794487c7fc-nlxwh	Running	0	node-5
pre_steady	usermention-service-sbrev1-ctr-b7d57b686-vwsfx	Running	0	node-3
pre_steady	usertimeline-cache-sbrev1-ctr-58d6fbc658-wgmtn	Running	0	node-4
pre_steady	usertimeline-db-sbrev1-ctr-679b6cd86c-hcdx9	Running	0	node-4
pre_steady	usertimeline-service-sbrev1-ctr-757577c9fd-l7nt2	Running	0	node-4
