service	pod	key	value
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	spans_received	168857
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	spans_flushed	168857
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	spans_sent	168857
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	batches_sent	9613
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	spans_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	batches_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	cp_received	168857
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	lp_received	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	cp_sent	168857
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	lp_sent	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	cp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	lp_dropped	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	send_deadline	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	send_unavailable	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	send_exhausted	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	send_canceled	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	send_other	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev1-ctr-2wkws	lp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	spans_received	5839199
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	spans_flushed	5839199
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	spans_sent	2510833
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	batches_sent	20089
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	spans_dropped	3328366
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	batches_dropped	16665
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	cp_received	5839199
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	lp_received	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	cp_sent	2510833
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	lp_sent	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	cp_dropped	3328366
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	lp_dropped	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	send_deadline	4046
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	send_unavailable	12619
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	send_exhausted	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	send_canceled	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	send_other	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	hp_buffer_depth	0
composepost	composepost-service-sbrev1-ctr-975b75cc9-jzxvx	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	spans_received	1459784
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	spans_flushed	1459784
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	spans_sent	592924
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	batches_sent	4854
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	spans_dropped	866860
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	batches_dropped	4335
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	cp_received	1459784
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	lp_received	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	cp_sent	592924
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	lp_sent	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	cp_dropped	866860
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	lp_dropped	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	send_deadline	122
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	send_unavailable	4213
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	send_exhausted	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	send_canceled	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	send_other	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	hp_buffer_depth	0
hometimeline	hometimeline-service-sbrev1-ctr-c7cc8786d-srkz8	lp_buffer_depth	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	spans_received	729901
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	spans_flushed	729901
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	spans_sent	729901
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	batches_sent	4596
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	spans_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	batches_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	cp_received	729901
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	lp_received	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	cp_sent	729901
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	lp_sent	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	cp_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	lp_dropped	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	send_deadline	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	send_unavailable	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	send_exhausted	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	send_canceled	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	send_other	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	hp_buffer_depth	0
media	media-service-sbrev1-ctr-57b76d9ddf-5grvr	lp_buffer_depth	0
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-jdv48	spans_received	729892
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-jdv48	spans_flushed	729892
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-jdv48	spans_sent	729892
post-storage	post-storage-service-sbrev1-ctr-57b7649cb8-jdv48	batches_sent	4593
