pod	metric	value
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_incoming_items	1042954
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_batch_send_size_sum	376270
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_accepted_spans	376270
otelcol-v-esrev0-ctr-drrqm	otelcol_process_uptime	22362
otelcol-v-esrev0-ctr-drrqm	otelcol_process_cpu_seconds	141
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_outgoing_items	376270
otelcol-v-esrev0-ctr-drrqm	otelcol_process_memory_rss	323829760
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_sent_spans	301691
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_total_alloc_bytes	4022343304
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_refused_spans	666684
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_accepted_spans	376270
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_timeout_trigger_send	2112
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_batch_send_size_sum	376270
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_heap_alloc_bytes	143499896
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_refused_spans	666684
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_total_sys_memory_bytes	206326072
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_size	182
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_sent_spans	211860
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_total_sys_memory_bytes	206629176
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_refused_spans	662439
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_incoming_items	946490
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_total_alloc_bytes	3768747584
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_outgoing_items	284051
otelcol-v-esrev0-ctr-czdxd	otelcol_process_uptime	22360
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_size	192
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_accepted_spans	284051
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_refused_spans	662439
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_accepted_spans	284051
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_heap_alloc_bytes	137959248
otelcol-v-esrev0-ctr-czdxd	otelcol_process_memory_rss	322576384
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_timeout_trigger_send	2179
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_batch_send_size_sum	284051
otelcol-v-esrev0-ctr-czdxd	otelcol_process_cpu_seconds	115
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_batch_send_size_sum	284051
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_sent_spans	277779
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_incoming_items	1654465
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_batch_send_size_sum	349897
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_uptime	22359
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_refused_spans	1304568
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_batch_send_size_sum	349897
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_accepted_spans	349897
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_size	113
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_timeout_trigger_send	2030
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_refused_spans	1304568
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_outgoing_items	349897
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_total_sys_memory_bytes	212379960
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_accepted_spans	349897
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_total_alloc_bytes	5598838480
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_heap_alloc_bytes	139061072
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_memory_rss	323334144
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_cpu_seconds	159
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_incoming_items	1124956
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_batch_send_size_sum	122015
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_accepted_spans	122015
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_size	48
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_refused_spans	1002941
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_memory_rss	323305472
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_uptime	146
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_batch_send_size_sum	122015
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_outgoing_items	122015
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_runtime_total_sys_memory_bytes	237103416
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_runtime_total_alloc_bytes	3695945360
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_cpu_seconds	63
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_timeout_trigger_send	121
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_accepted_spans	122015
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_sent_spans	64818
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_refused_spans	1002941
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_runtime_heap_alloc_bytes	136351864
otelcol-v-esrev0-ctr-5lnsj	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_batch_batch_send_size_sum	268534
otelcol-v-esrev0-ctr-5lnsj	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_incoming_items	928857
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_runtime_heap_alloc_bytes	137544976
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_cpu_seconds	145
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_outgoing_items	268534
otelcol-v-esrev0-ctr-5lnsj	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_refused_spans	660323
otelcol-v-esrev0-ctr-5lnsj	otelcol_exporter_queue_batch_send_size_sum	268534
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_runtime_total_alloc_bytes	3654557792
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_batch_timeout_trigger_send	2128
otelcol-v-esrev0-ctr-5lnsj	otelcol_processor_accepted_spans	268534
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_uptime	22360
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_runtime_total_sys_memory_bytes	202934584
otelcol-v-esrev0-ctr-5lnsj	otelcol_exporter_sent_spans	191271
otelcol-v-esrev0-ctr-5lnsj	otelcol_receiver_accepted_spans	268534
otelcol-v-esrev0-ctr-5lnsj	otelcol_process_memory_rss	319737856
otelcol-v-esrev0-ctr-5lnsj	otelcol_exporter_queue_size	188
otelcol-v-esrev0-ctr-5lnsj	otelcol_receiver_refused_spans	660323
otelcol-v-esrev0-ctr-bst7l	otelcol_receiver_refused_spans	664663
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_incoming_items	928163
otelcol-v-esrev0-ctr-bst7l	otelcol_process_uptime	22360
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_refused_spans	664663
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_outgoing_items	263500
otelcol-v-esrev0-ctr-bst7l	otelcol_receiver_accepted_spans	263500
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-bst7l	otelcol_exporter_queue_batch_send_size_sum	263500
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_batch_timeout_trigger_send	2124
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_accepted_spans	263500
otelcol-v-esrev0-ctr-bst7l	otelcol_process_memory_rss	325148672
otelcol-v-esrev0-ctr-bst7l	otelcol_process_cpu_seconds	134
otelcol-v-esrev0-ctr-bst7l	otelcol_exporter_sent_spans	188770
otelcol-v-esrev0-ctr-bst7l	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-bst7l	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-bst7l	otelcol_processor_batch_batch_send_size_sum	263500
otelcol-v-esrev0-ctr-bst7l	otelcol_process_runtime_heap_alloc_bytes	150642432
otelcol-v-esrev0-ctr-bst7l	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-bst7l	otelcol_exporter_queue_size	177
otelcol-v-esrev0-ctr-bst7l	otelcol_process_runtime_total_sys_memory_bytes	206104888
otelcol-v-esrev0-ctr-bst7l	otelcol_process_runtime_total_alloc_bytes	3550255200
otelcol-v-esrev0-ctr-c8t4h	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-c8t4h	otelcol_process_uptime	22359
otelcol-v-esrev0-ctr-c8t4h	otelcol_process_runtime_total_sys_memory_bytes	189032760
otelcol-v-esrev0-ctr-c8t4h	otelcol_processor_incoming_items	209283
otelcol-v-esrev0-ctr-c8t4h	otelcol_processor_batch_metadata_cardinality	1
