pod	metric	value
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_incoming_items	311074
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_batch_send_size_sum	299850
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_accepted_spans	299850
otelcol-v-esrev0-ctr-drrqm	otelcol_process_uptime	22040
otelcol-v-esrev0-ctr-drrqm	otelcol_process_cpu_seconds	117
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_outgoing_items	299850
otelcol-v-esrev0-ctr-drrqm	otelcol_process_memory_rss	324292608
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_sent_spans	235247
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_total_alloc_bytes	2234577848
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_refused_spans	11224
otelcol-v-esrev0-ctr-drrqm	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_accepted_spans	299850
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_timeout_trigger_send	1927
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_batch_batch_send_size_sum	299850
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_heap_alloc_bytes	127550544
otelcol-v-esrev0-ctr-drrqm	otelcol_processor_refused_spans	11224
otelcol-v-esrev0-ctr-drrqm	otelcol_process_runtime_total_sys_memory_bytes	191990072
otelcol-v-esrev0-ctr-drrqm	otelcol_exporter_queue_size	133
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_sent_spans	132721
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_total_sys_memory_bytes	179345704
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_refused_spans	8973
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_incoming_items	208610
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_total_alloc_bytes	2004251344
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_outgoing_items	199637
otelcol-v-esrev0-ctr-czdxd	otelcol_process_uptime	22038
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_size	137
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_accepted_spans	199637
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_refused_spans	8973
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_accepted_spans	199637
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-czdxd	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-czdxd	otelcol_process_runtime_heap_alloc_bytes	149639648
otelcol-v-esrev0-ctr-czdxd	otelcol_process_memory_rss	316637184
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_timeout_trigger_send	1957
otelcol-v-esrev0-ctr-czdxd	otelcol_processor_batch_batch_send_size_sum	199637
otelcol-v-esrev0-ctr-czdxd	otelcol_process_cpu_seconds	92
otelcol-v-esrev0-ctr-czdxd	otelcol_exporter_queue_batch_send_size_sum	199637
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_sent_spans	187283
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_incoming_items	322685
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_batch_send_size_sum	262774
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_uptime	22038
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_refused_spans	59911
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_batch_send_size_sum	262774
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_accepted_spans	262774
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_size	89
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_batch_timeout_trigger_send	1893
otelcol-v-esrev0-ctr-m7tgq	otelcol_receiver_refused_spans	59911
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_outgoing_items	262774
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_total_sys_memory_bytes	202828088
otelcol-v-esrev0-ctr-m7tgq	otelcol_exporter_send_failed_spans	0
otelcol-v-esrev0-ctr-m7tgq	otelcol_processor_accepted_spans	262774
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_total_alloc_bytes	2322375832
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_runtime_heap_alloc_bytes	133991824
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_memory_rss	318263296
otelcol-v-esrev0-ctr-m7tgq	otelcol_process_cpu_seconds	119
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_incoming_items	127772
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_batch_send_size_sum	35274
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_accepted_spans	35274
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_size	8
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_refused_spans	92498
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_memory_rss	316628992
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_capacity	1000
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_uptime	10
otelcol-v-esrev0-ctr-zxrx9	otelcol_receiver_failed_spans	0
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_queue_batch_send_size_sum	35274
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_outgoing_items	35274
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_metadata_cardinality	1
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_runtime_total_sys_memory_bytes	264956216
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_runtime_total_alloc_bytes	577732248
otelcol-v-esrev0-ctr-zxrx9	otelcol_process_cpu_seconds	5
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_batch_timeout_trigger_send	11
otelcol-v-esrev0-ctr-zxrx9	otelcol_processor_accepted_spans	35274
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_sent_spans	9114
otelcol-v-esrev0-ctr-zxrx9	otelcol_exporter_send_failed_spans	0
