phase	pod	status	restarts	node
pre_steady	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	Running	0	node-1
pre_steady	elasticsearch-v-esrev0-ctr-556dcffbb-k8kwz	Running	0	node-9
pre_steady	hometimeline-cache-v-esrev0-ctr-6b59cc56f4-nq2m2	Running	0	node-1
pre_steady	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	Running	0	node-1
pre_steady	jaeger-v-esrev0-ctr-54d4fc8695-5tblc	Running	0	node-9
pre_steady	media-service-v-esrev0-ctr-67d69d74bb-sxp56	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-5lnsj	Running	0	node-4
pre_steady	otelcol-v-esrev0-ctr-bst7l	Running	0	node-6
pre_steady	otelcol-v-esrev0-ctr-c8t4h	Running	0	node-9
pre_steady	otelcol-v-esrev0-ctr-czdxd	Running	0	node-8
pre_steady	otelcol-v-esrev0-ctr-drrqm	Running	0	node-2
pre_steady	otelcol-v-esrev0-ctr-lh997	Running	0	node-7
pre_steady	otelcol-v-esrev0-ctr-m7tgq	Running	0	node-3
pre_steady	otelcol-v-esrev0-ctr-pmpcb	Running	0	node-5
pre_steady	otelcol-v-esrev0-ctr-zxrx9	Running	1	6h7m
pre_steady	post-cache-v-esrev0-ctr-5d8475f977-kkch9	Running	0	node-6
pre_steady	post-db-v-esrev0-ctr-59bf66df8d-wrtqn	Running	0	node-6
pre_steady	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	Running	0	node-6
pre_steady	social-cache-v-esrev0-ctr-c4d8946fb-qlrl2	Running	0	node-2
pre_steady	social-db-v-esrev0-ctr-6d689855cf-mt9n7	Running	0	node-2
pre_steady	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	Running	0	node-2
pre_steady	text-service-v-esrev0-ctr-5965f66997-t67tv	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-4m6t6	Running	0	node-5
pre_steady	tracepressure-service-v-esrev0-ctr-4xctc	Running	0	node-9
pre_steady	tracepressure-service-v-esrev0-ctr-bl7r6	Running	0	node-4
pre_steady	tracepressure-service-v-esrev0-ctr-dgpx7	Running	0	node-7
pre_steady	tracepressure-service-v-esrev0-ctr-dsgh9	Running	0	node-8
pre_steady	tracepressure-service-v-esrev0-ctr-gd7kq	Running	0	node-3
