service	pod	key	value
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_received	202667
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_flushed	202667
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_sent	73329
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	batches_sent	5100
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_dropped	129338
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	batches_dropped	5883
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_deadline	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_unavailable	5883
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_exhausted	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_canceled	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_other	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	buffer_depth	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_received	5807183
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_flushed	5807183
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_sent	591988
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	batches_sent	7483
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_dropped	5215195
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	batches_dropped	26082
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_deadline	13173
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_unavailable	12909
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_exhausted	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_canceled	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_other	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	buffer_depth	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_received	1451780
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_flushed	1451780
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_sent	225821
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	batches_sent	2260
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_dropped	1225959
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	batches_dropped	6130
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_deadline	831
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_unavailable	5299
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_exhausted	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_canceled	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_other	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	buffer_depth	0
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_received	725899
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_flushed	725899
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_sent	113526
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	batches_sent	1134
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_dropped	612373
