service	pod	key	value
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_received	70687
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_flushed	70687
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_sent	64757
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	batches_sent	4709
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	spans_dropped	5930
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	batches_dropped	272
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_deadline	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_unavailable	272
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_exhausted	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_canceled	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	send_other	0
wrk2api	wrk2api-service-v-esrev0-ctr-289n9	buffer_depth	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_received	1007983
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_flushed	1007983
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_sent	385386
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	batches_sent	6439
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	spans_dropped	622597
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	batches_dropped	3118
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_deadline	1650
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_unavailable	1468
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_exhausted	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_canceled	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	send_other	0
composepost	composepost-service-v-esrev0-ctr-5b589446d4-blwjt	buffer_depth	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_received	251980
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_flushed	251980
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_sent	93381
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	batches_sent	1597
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	spans_dropped	158599
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	batches_dropped	793
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_deadline	124
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_unavailable	669
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_exhausted	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_canceled	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	send_other	0
hometimeline	hometimeline-service-v-esrev0-ctr-546bd9fd99-xspdc	buffer_depth	0
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_received	125999
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_flushed	125999
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_sent	78806
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	batches_sent	959
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	spans_dropped	47193
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	batches_dropped	236
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	send_deadline	1
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	send_unavailable	235
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	send_exhausted	0
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	send_canceled	0
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	send_other	0
media	media-service-v-esrev0-ctr-67d69d74bb-sxp56	buffer_depth	0
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	spans_received	125990
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	spans_flushed	125990
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	spans_sent	117199
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	batches_sent	1149
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	spans_dropped	8791
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	batches_dropped	44
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	send_deadline	0
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	send_unavailable	44
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	send_exhausted	0
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	send_canceled	0
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	send_other	0
post-storage	post-storage-service-v-esrev0-ctr-5ddd86cf67-kbqdr	buffer_depth	0
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	spans_received	238863
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	spans_flushed	238863
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	spans_sent	229663
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	batches_sent	1615
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	spans_dropped	9200
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	batches_dropped	46
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	send_deadline	0
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	send_unavailable	46
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	send_exhausted	0
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	send_canceled	0
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	send_other	0
socialgraph	socialgraph-service-v-esrev0-ctr-849cd9bbbb-z42rb	buffer_depth	0
text	text-service-v-esrev0-ctr-5965f66997-t67tv	spans_received	378015
text	text-service-v-esrev0-ctr-5965f66997-t67tv	spans_flushed	378015
text	text-service-v-esrev0-ctr-5965f66997-t67tv	spans_sent	236415
text	text-service-v-esrev0-ctr-5965f66997-t67tv	batches_sent	2874
text	text-service-v-esrev0-ctr-5965f66997-t67tv	spans_dropped	141600
text	text-service-v-esrev0-ctr-5965f66997-t67tv	batches_dropped	708
text	text-service-v-esrev0-ctr-5965f66997-t67tv	send_deadline	257
text	text-service-v-esrev0-ctr-5965f66997-t67tv	send_unavailable	451
text	text-service-v-esrev0-ctr-5965f66997-t67tv	send_exhausted	0
text	text-service-v-esrev0-ctr-5965f66997-t67tv	send_canceled	0
text	text-service-v-esrev0-ctr-5965f66997-t67tv	send_other	0
text	text-service-v-esrev0-ctr-5965f66997-t67tv	buffer_depth	0
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	spans_received	125999
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	spans_flushed	125999
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	spans_sent	99009
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	batches_sent	1059
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	spans_dropped	26990
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	batches_dropped	135
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	send_deadline	0
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	send_unavailable	135
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	send_exhausted	0
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	send_canceled	0
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	send_other	0
uniqueid	uniqueid-service-v-esrev0-ctr-6b597c8c94-b5dp9	buffer_depth	0
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	spans_received	125999
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	spans_flushed	125999
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	spans_sent	117517
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	batches_sent	1152
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	spans_dropped	8482
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	batches_dropped	43
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	send_deadline	0
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	send_unavailable	43
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	send_exhausted	0
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	send_canceled	0
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	send_other	0
urlshorten	urlshorten-service-v-esrev0-ctr-74bb54db6f-8th48	buffer_depth	0
