pod	metric	value
otelcol-vrev1-ctr-wv9c6	otelcol_process_uptime	1257
otelcol-vrev1-ctr-wv9c6	otelcol_processor_incoming_items	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_batch_send_size_sum	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_processor_outgoing_items	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_batch_send_size_sum	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_total_alloc_bytes	5159204512
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_accepted_spans	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_heap_alloc_bytes	53448072
otelcol-vrev1-ctr-wv9c6	otelcol_process_cpu_seconds	84
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_processor_accepted_spans	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_total_sys_memory_bytes	147716392
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_timeout_trigger_send	5452
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_sent_spans	2477903
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_process_memory_rss	237207552
otelcol-vrev1-ctr-whm44	otelcol_process_runtime_total_sys_memory_bytes	109603096
otelcol-vrev1-ctr-whm44	otelcol_processor_incoming_items	2363267
otelcol-vrev1-ctr-whm44	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-whm44	otelcol_process_runtime_heap_alloc_bytes	56193592
otelcol-vrev1-ctr-whm44	otelcol_processor_batch_timeout_trigger_send	5441
otelcol-vrev1-ctr-whm44	otelcol_processor_outgoing_items	2363267
otelcol-vrev1-ctr-whm44	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-whm44	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-whm44	otelcol_exporter_queue_batch_send_size_sum	2363267
otelcol-vrev1-ctr-whm44	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-whm44	otelcol_processor_batch_batch_send_size_sum	2363267
otelcol-vrev1-ctr-whm44	otelcol_processor_accepted_spans	2363267
otelcol-vrev1-ctr-whm44	otelcol_process_cpu_seconds	83
otelcol-vrev1-ctr-whm44	otelcol_process_runtime_total_alloc_bytes	4824277296
otelcol-vrev1-ctr-whm44	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-whm44	otelcol_receiver_accepted_spans	2363267
otelcol-vrev1-ctr-whm44	otelcol_process_memory_rss	238018560
otelcol-vrev1-ctr-whm44	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-whm44	otelcol_exporter_sent_spans	2363267
otelcol-vrev1-ctr-whm44	otelcol_process_uptime	1253
otelcol-vrev1-ctr-vjsm9	otelcol_processor_accepted_spans	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_exporter_sent_spans	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-vjsm9	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-vjsm9	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-vjsm9	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-vjsm9	otelcol_processor_batch_timeout_trigger_send	5441
otelcol-vrev1-ctr-vjsm9	otelcol_process_runtime_total_sys_memory_bytes	110848280
otelcol-vrev1-ctr-vjsm9	otelcol_exporter_queue_batch_send_size_sum	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_process_memory_rss	229859328
otelcol-vrev1-ctr-vjsm9	otelcol_processor_incoming_items	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_processor_batch_batch_send_size_sum	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_process_cpu_seconds	85
otelcol-vrev1-ctr-vjsm9	otelcol_processor_outgoing_items	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_process_uptime	1253
otelcol-vrev1-ctr-vjsm9	otelcol_process_runtime_total_alloc_bytes	4780539416
otelcol-vrev1-ctr-vjsm9	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-vjsm9	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-vjsm9	otelcol_receiver_accepted_spans	2380898
otelcol-vrev1-ctr-vjsm9	otelcol_process_runtime_heap_alloc_bytes	33125072
otelcol-vrev1-ctr-nbfqj	otelcol_receiver_accepted_spans	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_process_cpu_seconds	86
otelcol-vrev1-ctr-nbfqj	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-nbfqj	otelcol_processor_accepted_spans	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_process_memory_rss	233181184
otelcol-vrev1-ctr-nbfqj	otelcol_exporter_sent_spans	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-nbfqj	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-nbfqj	otelcol_process_runtime_total_sys_memory_bytes	114510104
otelcol-vrev1-ctr-nbfqj	otelcol_exporter_queue_batch_send_size_sum	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-nbfqj	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-nbfqj	otelcol_processor_batch_timeout_trigger_send	5435
otelcol-vrev1-ctr-nbfqj	otelcol_processor_batch_batch_send_size_sum	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_process_runtime_heap_alloc_bytes	37470408
otelcol-vrev1-ctr-nbfqj	otelcol_processor_incoming_items	2364075
otelcol-vrev1-ctr-nbfqj	otelcol_process_uptime	1253
otelcol-vrev1-ctr-nbfqj	otelcol_process_runtime_total_alloc_bytes	4909004688
otelcol-vrev1-ctr-nbfqj	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-nbfqj	otelcol_processor_outgoing_items	2364075
otelcol-vrev1-ctr-n8gg4	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-n8gg4	otelcol_exporter_queue_batch_send_size_sum	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_processor_batch_batch_send_size_sum	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-n8gg4	otelcol_process_runtime_total_alloc_bytes	9795695136
otelcol-vrev1-ctr-n8gg4	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-n8gg4	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-n8gg4	otelcol_processor_incoming_items	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_receiver_accepted_spans	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-n8gg4	otelcol_process_uptime	1253
otelcol-vrev1-ctr-n8gg4	otelcol_processor_outgoing_items	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_processor_batch_timeout_trigger_send	5440
otelcol-vrev1-ctr-n8gg4	otelcol_process_cpu_seconds	122
otelcol-vrev1-ctr-n8gg4	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-n8gg4	otelcol_exporter_sent_spans	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_processor_accepted_spans	4292903
otelcol-vrev1-ctr-n8gg4	otelcol_process_runtime_total_sys_memory_bytes	154016040
otelcol-vrev1-ctr-n8gg4	otelcol_process_runtime_heap_alloc_bytes	72267144
otelcol-vrev1-ctr-n8gg4	otelcol_process_memory_rss	259940352
otelcol-vrev1-ctr-t96zb	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-t96zb	otelcol_process_memory_rss	281956352
otelcol-vrev1-ctr-t96zb	otelcol_process_runtime_total_sys_memory_bytes	183834920
otelcol-vrev1-ctr-t96zb	otelcol_process_runtime_total_alloc_bytes	18893462984
otelcol-vrev1-ctr-t96zb	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-t96zb	otelcol_process_uptime	1249
otelcol-vrev1-ctr-t96zb	otelcol_processor_incoming_items	8230151
otelcol-vrev1-ctr-t96zb	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-t96zb	otelcol_processor_outgoing_items	8230151
otelcol-vrev1-ctr-t96zb	otelcol_processor_batch_timeout_trigger_send	5449
otelcol-vrev1-ctr-t96zb	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-t96zb	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-t96zb	otelcol_receiver_accepted_spans	8230151
otelcol-vrev1-ctr-t96zb	otelcol_processor_accepted_spans	8230151
otelcol-vrev1-ctr-t96zb	otelcol_process_cpu_seconds	206
otelcol-vrev1-ctr-t96zb	otelcol_exporter_sent_spans	8230151
otelcol-vrev1-ctr-t96zb	otelcol_exporter_queue_batch_send_size_sum	8230151
otelcol-vrev1-ctr-t96zb	otelcol_processor_batch_batch_send_size_sum	8230151
otelcol-vrev1-ctr-t96zb	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-t96zb	otelcol_process_runtime_heap_alloc_bytes	72446320
otelcol-vrev1-ctr-mxs2r	otelcol_processor_batch_timeout_trigger_send	5445
otelcol-vrev1-ctr-mxs2r	otelcol_receiver_accepted_spans	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_exporter_sent_spans	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_processor_incoming_items	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_process_runtime_total_alloc_bytes	4915239448
otelcol-vrev1-ctr-mxs2r	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-mxs2r	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-mxs2r	otelcol_processor_outgoing_items	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_process_runtime_total_sys_memory_bytes	106518824
otelcol-vrev1-ctr-mxs2r	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-mxs2r	otelcol_exporter_queue_batch_send_size_sum	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-mxs2r	otelcol_process_runtime_heap_alloc_bytes	50098208
otelcol-vrev1-ctr-mxs2r	otelcol_processor_accepted_spans	2383192
otelcol-vrev1-ctr-mxs2r	otelcol_process_cpu_seconds	81
otelcol-vrev1-ctr-mxs2r	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-mxs2r	otelcol_process_memory_rss	235028480
otelcol-vrev1-ctr-mxs2r	otelcol_processor_batch_metadata_cardinality	1
